; Candidate 5463
; ADRP+ADD at VM 0xfffffff0087f2354 (fileoff 0x17ee354): page=0x1fea21000 add_imm=0xd2e

0xfffffff0087f22d4: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0087f22d8: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0087f22dc: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff0087f22e0: ff030391  add	sp, sp, #0xc0
0xfffffff0087f22e4: ff0f5fd6  retab	
0xfffffff0087f22e8: 7f2303d5  pacibsp	
0xfffffff0087f22ec: ff0302d1  sub	sp, sp, #0x80
0xfffffff0087f22f0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0087f22f4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0087f22f8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0087f22fc: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0087f2300: fdc30191  add	x29, sp, #0x70
0xfffffff0087f2304: f40301aa  mov	x20, x1
0xfffffff0087f2308: f30300aa  mov	x19, x0
0xfffffff0087f230c: e00e8052  mov	w0, #0x77
0xfffffff0087f2310: c1008052  mov	w1, #6
0xfffffff0087f2314: 2f250294  bl	#0xfffffff00887b7d0
0xfffffff0087f2318: 40020034  cbz	w0, #0xfffffff0087f2360
0xfffffff0087f231c: e00e8052  mov	w0, #0x77
0xfffffff0087f2320: 3e250294  bl	#0xfffffff00887b818
0xfffffff0087f2324: f60300aa  mov	x22, x0
0xfffffff0087f2328: a1070394  bl	#0xfffffff0088b41ac
0xfffffff0087f232c: f50300aa  mov	x21, x0
0xfffffff0087f2330: c0008052  mov	w0, #6
0xfffffff0087f2334: 47250294  bl	#0xfffffff00887b850
0xfffffff0087f2338: f6030034  cbz	w22, #0xfffffff0087f23b4
0xfffffff0087f233c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f2340: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f2344: 08d51291  add	x8, x8, #0x4b5
0xfffffff0087f2348: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f234c: e80e8052  mov	w8, #0x77
0xfffffff0087f2350: f52300a9  stp	x21, x8, [sp]
0xfffffff0087f2354: 0051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087f2358: 00b83491  add	x0, x0, #0xd2e
0xfffffff0087f235c: 4114d797  bl	#0xfffffff007db7460
0xfffffff0087f2360: 130500b4  cbz	x19, #0xfffffff0087f2400
0xfffffff0087f2364: f40400b4  cbz	x20, #0xfffffff0087f2400
0xfffffff0087f2368: e00313aa  mov	x0, x19
0xfffffff0087f236c: 01008052  mov	w1, #0
0xfffffff0087f2370: 02499752  mov	w2, #0xba48
0xfffffff0087f2374: 6200a072  movk	w2, #3, lsl #16
0xfffffff0087f2378: 126ad597  bl	#0xfffffff007d4cbc0
0xfffffff0087f237c: e00313aa  mov	x0, x19
0xfffffff0087f2380: 14f40094  bl	#0xfffffff00882f3d0
0xfffffff0087f2384: 150080d2  mov	x21, #0
0xfffffff0087f2388: 740a00f9  str	x20, [x19, #0x10]
0xfffffff0087f238c: 76a20091  add	x22, x19, #0x28
0xfffffff0087f2390: c002158b  add	x0, x22, x21
0xfffffff0087f2394: 0ff40094  bl	#0xfffffff00882f3d0
0xfffffff0087f2398: b5420091  add	x21, x21, #0x10
0xfffffff0087f239c: bf0201f1  cmp	x21, #0x40
0xfffffff0087f23a0: 81ffff54  b.ne	#0xfffffff0087f2390
0xfffffff0087f23a4: 15008052  mov	w21, #0
0xfffffff0087f23a8: 28008052  mov	w8, #1
0xfffffff0087f23ac: 687e00b9  str	w8, [x19, #0x7c]
0xfffffff0087f23b0: 45000014  b	#0xfffffff0087f24c4
0xfffffff0087f23b4: 7e070394  bl	#0xfffffff0088b41ac
0xfffffff0087f23b8: f50300aa  mov	x21, x0
0xfffffff0087f23bc: c0008052  mov	w0, #6
0xfffffff0087f23c0: 24250294  bl	#0xfffffff00887b850
0xfffffff0087f23c4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f23c8: 0851fff0  adrp	x8, #0xfffffff007215000
0xfffffff0087f23cc: 08d51291  add	x8, x8, #0x4b5
0xfffffff0087f23d0: e02301a9  stp	x0, x8, [sp, #0x10]
