; Candidate 6151
; ADRP+ADD at VM 0xfffffff008817748 (fileoff 0x1813748): page=0x1fea07000 add_imm=0xecd

0xfffffff0088176c8: c0080034  cbz	w0, #0xfffffff0088177e0
0xfffffff0088176cc: b30318f8  stur	x19, [x29, #-0x80]
0xfffffff0088176d0: f30314aa  mov	x19, x20
0xfffffff0088176d4: f40315aa  mov	x20, x21
0xfffffff0088176d8: f50319aa  mov	x21, x25
0xfffffff0088176dc: 800e8052  mov	w0, #0x74
0xfffffff0088176e0: 4e900194  bl	#0xfffffff00887b818
0xfffffff0088176e4: f90300aa  mov	x25, x0
0xfffffff0088176e8: b1720294  bl	#0xfffffff0088b41ac
0xfffffff0088176ec: fc0300aa  mov	x28, x0
0xfffffff0088176f0: c0008052  mov	w0, #6
0xfffffff0088176f4: 57900194  bl	#0xfffffff00887b850
0xfffffff0088176f8: 39030034  cbz	w25, #0xfffffff00881775c
0xfffffff0088176fc: fb4300f9  str	x27, [sp, #0x80]
0xfffffff008817700: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008817704: e83f00f9  str	x8, [sp, #0x78]
0xfffffff008817708: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff00881770c: e83b00f9  str	x8, [sp, #0x70]
0xfffffff008817710: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff008817714: e83700f9  str	x8, [sp, #0x68]
0xfffffff008817718: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff00881771c: e8031aaa  mov	x8, x26
0xfffffff008817720: e8a705a9  stp	x8, x9, [sp, #0x58]
0xfffffff008817724: f8d704a9  stp	x24, x21, [sp, #0x48]
0xfffffff008817728: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff00881772c: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff008817730: a90358f8  ldur	x9, [x29, #-0x80]
0xfffffff008817734: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008817738: 080d3491  add	x8, x8, #0xd03
0xfffffff00881773c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008817740: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008817744: 880e8052  mov	w8, #0x74
0xfffffff008817748: 2050fff0  adrp	x0, #0xfffffff00721e000
0xfffffff00881774c: 00343b91  add	x0, x0, #0xecd
0xfffffff008817750: fc2300a9  stp	x28, x8, [sp]
0xfffffff008817754: 437fd697  bl	#0xfffffff007db7460
0xfffffff008817758: 22000014  b	#0xfffffff0088177e0
0xfffffff00881775c: 94720294  bl	#0xfffffff0088b41ac
0xfffffff008817760: f90300aa  mov	x25, x0
0xfffffff008817764: c0008052  mov	w0, #6
0xfffffff008817768: 3a900194  bl	#0xfffffff00887b850
0xfffffff00881776c: e8031baa  mov	x8, x27
0xfffffff008817770: e84300f9  str	x8, [sp, #0x80]
0xfffffff008817774: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008817778: e83f00f9  str	x8, [sp, #0x78]
0xfffffff00881777c: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff008817780: e83b00f9  str	x8, [sp, #0x70]
0xfffffff008817784: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff008817788: e83700f9  str	x8, [sp, #0x68]
0xfffffff00881778c: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff008817790: e8031aaa  mov	x8, x26
0xfffffff008817794: e8a705a9  stp	x8, x9, [sp, #0x58]
0xfffffff008817798: f8d704a9  stp	x24, x21, [sp, #0x48]
0xfffffff00881779c: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff0088177a0: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0088177a4: a90358f8  ldur	x9, [x29, #-0x80]
0xfffffff0088177a8: 2850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff0088177ac: 080d3491  add	x8, x8, #0xd03
0xfffffff0088177b0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088177b4: 880e8052  mov	w8, #0x74
0xfffffff0088177b8: 8351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff0088177bc: 636c3191  add	x3, x3, #0xc5b
0xfffffff0088177c0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088177c4: f90300f9  str	x25, [sp]
