; Candidate 12586
; ADRP+ADD at VM 0xfffffff0090c1b14 (fileoff 0x20bdb14): page=0x1fe398000 add_imm=0xe24

0xfffffff0090c1a94: 02028052  mov	w2, #0x10
0xfffffff0090c1a98: 6e78b797  bl	#0xfffffff007e9fc50
0xfffffff0090c1a9c: b50000b4  cbz	x21, #0xfffffff0090c1ab0
0xfffffff0090c1aa0: 20930091  add	x0, x25, #0x24
0xfffffff0090c1aa4: e10315aa  mov	x1, x21
0xfffffff0090c1aa8: e2031aaa  mov	x2, x26
0xfffffff0090c1aac: b92bb297  bl	#0xfffffff007d4c990
0xfffffff0090c1ab0: e00314aa  mov	x0, x20
0xfffffff0090c1ab4: c1018052  mov	w1, #0xe
0xfffffff0090c1ab8: 02008052  mov	w2, #0
0xfffffff0090c1abc: e30319aa  mov	x3, x25
0xfffffff0090c1ac0: e40318aa  mov	x4, x24
0xfffffff0090c1ac4: 050080d2  mov	x5, #0
0xfffffff0090c1ac8: 060080d2  mov	x6, #0
0xfffffff0090c1acc: 519081d2  mov	x17, #0xc82
0xfffffff0090c1ad0: 710a3fd7  blraa	x19, x17
0xfffffff0090c1ad4: f30300aa  mov	x19, x0
0xfffffff0090c1ad8: c0060035  cbnz	w0, #0xfffffff0090c1bb0
0xfffffff0090c1adc: 9f030091  mov	sp, x28
0xfffffff0090c1ae0: 48018052  mov	w8, #0xa
0xfffffff0090c1ae4: fa031baa  mov	x26, x27
0xfffffff0090c1ae8: fb1cff90  adrp	x27, #0xfffffff00745d000
0xfffffff0090c1aec: 7b433c91  add	x27, x27, #0xf10
0xfffffff0090c1af0: 7c9200d0  adrp	x28, #0xfffffff00a30f000
0xfffffff0090c1af4: 9c430c91  add	x28, x28, #0x310
0xfffffff0090c1af8: 89034039  ldrb	w9, [x28]
0xfffffff0090c1afc: 1f01096b  cmp	w8, w9
0xfffffff0090c1b00: 23010054  b.lo	#0xfffffff0090c1b24
0xfffffff0090c1b04: e80313aa  mov	x8, x19
0xfffffff0090c1b08: 087d4093  sxtw	x8, w8
0xfffffff0090c1b0c: fb6bbea9  stp	x27, x26, [sp, #-0x20]!
0xfffffff0090c1b10: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c1b14: c01cff90  adrp	x0, #0xfffffff007459000
0xfffffff0090c1b18: 00903891  add	x0, x0, #0xe24
0xfffffff0090c1b1c: 4155ca97  bl	#0xfffffff008357020
0xfffffff0090c1b20: ff830091  add	sp, sp, #0x20
0xfffffff0090c1b24: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0090c1b28: 4954ff90  adrp	x9, #0xfffffff007b49000
0xfffffff0090c1b2c: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090c1b30: 290140f9  ldr	x9, [x9]
0xfffffff0090c1b34: 3f0108eb  cmp	x9, x8
0xfffffff0090c1b38: 61080054  b.ne	#0xfffffff0090c1c44
0xfffffff0090c1b3c: e00313aa  mov	x0, x19
0xfffffff0090c1b40: bf4301d1  sub	sp, x29, #0x50
0xfffffff0090c1b44: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090c1b48: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090c1b4c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090c1b50: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0090c1b54: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0090c1b58: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0090c1b5c: ff0f5fd6  retab	
0xfffffff0090c1b60: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090c1b64: 68fb8052  mov	w8, #0x7db
0xfffffff0090c1b68: 291dffd0  adrp	x9, #0xfffffff007467000
0xfffffff0090c1b6c: 29693f91  add	x9, x9, #0xfda
0xfffffff0090c1b70: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090c1b74: c81cff90  adrp	x8, #0xfffffff007459000
0xfffffff0090c1b78: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090c1b7c: 4a1dff90  adrp	x10, #0xfffffff007469000
0xfffffff0090c1b80: 4a290891  add	x10, x10, #0x20a
0xfffffff0090c1b84: 27000014  b	#0xfffffff0090c1c20
0xfffffff0090c1b88: ffc300d1  sub	sp, sp, #0x30
0xfffffff0090c1b8c: 88fb8052  mov	w8, #0x7dc
0xfffffff0090c1b90: 291dffd0  adrp	x9, #0xfffffff007467000
