; Candidate 16374
; ADRP+ADD at VM 0xfffffff009e7743c (fileoff 0x2e7343c): page=0x1fd9ba000 add_imm=0xdd7

0xfffffff009e773bc: 07000014  b	#0xfffffff009e773d8
0xfffffff009e773c0: e0f5fef0  adrp	x0, #0xfffffff007d36000
0xfffffff009e773c4: 00601491  add	x0, x0, #0x518
0xfffffff009e773c8: e10318aa  mov	x1, x24
0xfffffff009e773cc: d07c9397  bl	#0xfffffff00835670c
0xfffffff009e773d0: e8048092  mov	x8, #-0x28
0xfffffff009e773d4: 280328f8  ldadd	x8, x8, [x25]
0xfffffff009e773d8: e82a00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e773dc: 000143f9  ldr	x0, [x8, #0x600]
0xfffffff009e773e0: d7d47c97  bl	#0xfffffff007dac73c
0xfffffff009e773e4: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff009e773e8: a9f5fef0  adrp	x9, #0xfffffff007d2e000
0xfffffff009e773ec: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009e773f0: 290140f9  ldr	x9, [x9]
0xfffffff009e773f4: 3f0108eb  cmp	x9, x8
0xfffffff009e773f8: a1020054  b.ne	#0xfffffff009e7744c
0xfffffff009e773fc: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009e77400: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009e77404: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009e77408: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009e7740c: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff009e77410: ff830291  add	sp, sp, #0xa0
0xfffffff009e77414: ff0f5fd6  retab	
0xfffffff009e77418: e82a00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e7741c: 000143f9  ldr	x0, [x8, #0x600]
0xfffffff009e77420: c7d47c97  bl	#0xfffffff007dac73c
0xfffffff009e77424: e8830091  add	x8, sp, #0x20
0xfffffff009e77428: e84f01a9  stp	x8, x19, [sp, #0x10]
0xfffffff009e7742c: c8cdfed0  adrp	x8, #0xfffffff007831000
0xfffffff009e77430: 08413891  add	x8, x8, #0xe10
0xfffffff009e77434: e9558652  mov	w9, #0x32af
0xfffffff009e77438: e82700a9  stp	x8, x9, [sp]
0xfffffff009e7743c: c0cdfed0  adrp	x0, #0xfffffff007831000
0xfffffff009e77440: 005c3791  add	x0, x0, #0xdd7
0xfffffff009e77444: ff200094  bl	#0xfffffff009e7f840
0xfffffff009e77448: e7ffff17  b	#0xfffffff009e773e4
0xfffffff009e7744c: 809a7b97  bl	#0xfffffff007d5de4c
0xfffffff009e77450: 7f2303d5  pacibsp	
0xfffffff009e77454: ffc301d1  sub	sp, sp, #0x70
0xfffffff009e77458: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009e7745c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009e77460: fd830191  add	x29, sp, #0x60
0xfffffff009e77464: f40300aa  mov	x20, x0
0xfffffff009e77468: a8f5fef0  adrp	x8, #0xfffffff007d2e000
0xfffffff009e7746c: 08d147f9  ldr	x8, [x8, #0xfa0]
0xfffffff009e77470: 080140f9  ldr	x8, [x8]
0xfffffff009e77474: a8831ef8  stur	x8, [x29, #-0x18]
0xfffffff009e77478: ffd303f8  stur	xzr, [sp, #0x3d]
0xfffffff009e7747c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e77480: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff009e77484: e1830091  add	x1, sp, #0x20
0xfffffff009e77488: eeee9297  bl	#0xfffffff008333040
0xfffffff009e7748c: f32a00b0  adrp	x19, #0xfffffff00a3d4000
0xfffffff009e77490: 73021891  add	x19, x19, #0x600
0xfffffff009e77494: 600641f8  ldr	x0, [x19], #0x10
0xfffffff009e77498: 8dd17c97  bl	#0xfffffff007dabacc
0xfffffff009e7749c: 730240f9  ldr	x19, [x19]
0xfffffff009e774a0: 530400b4  cbz	x19, #0xfffffff009e77528
0xfffffff009e774a4: 60220091  add	x0, x19, #8
0xfffffff009e774a8: e10314aa  mov	x1, x20
0xfffffff009e774ac: 9fed9297  bl	#0xfffffff008332b28
0xfffffff009e774b0: 60ffff35  cbnz	w0, #0xfffffff009e7749c
0xfffffff009e774b4: e82a00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e774b8: 08411891  add	x8, x8, #0x610
