; Candidate 14744
; ADRP+ADD at VM 0xfffffff0098b8098 (fileoff 0x28b4098): page=0xadc000 add_imm=0xd88

0xfffffff0098b8018: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0098b801c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0098b8020: ff0f5fd6  retab	
0xfffffff0098b8024: 5f2403d5  bti	c
0xfffffff0098b8028: 40008052  mov	w0, #2
0xfffffff0098b802c: c0035fd6  ret	
0xfffffff0098b8030: 5f2403d5  bti	c
0xfffffff0098b8034: b0b1a817  b	#0xfffffff0082e46f4
0xfffffff0098b8038: 5f2403d5  bti	c
0xfffffff0098b803c: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff0098b8040: c0035fd6  ret	
0xfffffff0098b8044: 7f2303d5  pacibsp	
0xfffffff0098b8048: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0098b804c: fd030091  mov	x29, sp
0xfffffff0098b8050: e0560090  adrp	x0, #0xfffffff00a394000
0xfffffff0098b8054: 00203691  add	x0, x0, #0xd88
0xfffffff0098b8058: 21e9fe90  adrp	x1, #0xfffffff0075dc000
0xfffffff0098b805c: 21a01191  add	x1, x1, #0x468
0xfffffff0098b8060: a21dffd0  adrp	x2, #0xfffffff007c6e000
0xfffffff0098b8064: 42ec42f9  ldr	x2, [x2, #0x5d8]
0xfffffff0098b8068: 03168052  mov	w3, #0xb0
0xfffffff0098b806c: b3aea897  bl	#0xfffffff0082e3b38
0xfffffff0098b8070: b01dfff0  adrp	x16, #0xfffffff007c6f000
0xfffffff0098b8074: 10c22f91  add	x16, x16, #0xbf0
0xfffffff0098b8078: 10420091  add	x16, x16, #0x10
0xfffffff0098b807c: f10300aa  mov	x17, x0
0xfffffff0098b8080: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098b8084: 300ac1da  pacda	x16, x17
0xfffffff0098b8088: 100000f9  str	x16, [x0]
0xfffffff0098b808c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0098b8090: ff0f5fd6  retab	
0xfffffff0098b8094: 5f2403d5  bti	c
0xfffffff0098b8098: e0560090  adrp	x0, #0xfffffff00a394000
0xfffffff0098b809c: 00203691  add	x0, x0, #0xd88
0xfffffff0098b80a0: 95b1a817  b	#0xfffffff0082e46f4
0xfffffff0098b80a4: 7f2303d5  pacibsp	
0xfffffff0098b80a8: ff8303d1  sub	sp, sp, #0xe0
0xfffffff0098b80ac: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff0098b80b0: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff0098b80b4: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff0098b80b8: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff0098b80bc: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff0098b80c0: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff0098b80c4: fd430391  add	x29, sp, #0xd0
0xfffffff0098b80c8: f30301aa  mov	x19, x1
0xfffffff0098b80cc: 3b0040f9  ldr	x27, [x1]
0xfffffff0098b80d0: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0098b80d4: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff0098b80d8: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff0098b80dc: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff0098b80e0: e007803d  str	q0, [sp, #0x10]
0xfffffff0098b80e4: 10000090  adrp	x16, #0xfffffff0098b8000
0xfffffff0098b80e8: 10121091  add	x16, x16, #0x404
0xfffffff0098b80ec: b10185d2  mov	x17, #0x280d
0xfffffff0098b80f0: 3002c1da  pacia	x16, x17
0xfffffff0098b80f4: f02b00f9  str	x16, [sp, #0x50]
0xfffffff0098b80f8: 10000090  adrp	x16, #0xfffffff0098b8000
0xfffffff0098b80fc: 10f21091  add	x16, x16, #0x43c
0xfffffff0098b8100: 117b8ed2  mov	x17, #0x73d8
0xfffffff0098b8104: 3002c1da  pacia	x16, x17
0xfffffff0098b8108: f02f00f9  str	x16, [sp, #0x58]
0xfffffff0098b810c: 5f0000eb  cmp	x2, x0
0xfffffff0098b8110: c2000054  b.hs	#0xfffffff0098b8128
0xfffffff0098b8114: 4800038b  add	x8, x2, x3
