; Candidate 1142
; ADRP+ADD at VM 0xfffffff00822a518 (fileoff 0x1226518): page=0x1fee60000 add_imm=0xeb4

0xfffffff00822a498: 0873ff90  adrp	x8, #0xfffffff00708a000
0xfffffff00822a49c: 08dd3491  add	x8, x8, #0xd37
0xfffffff00822a4a0: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff00822a4a4: f7d301a9  stp	x23, x20, [sp, #0x18]
0xfffffff00822a4a8: f6e300a9  stp	x22, x24, [sp, #8]
0xfffffff00822a4ac: 0073ff90  adrp	x0, #0xfffffff00708a000
0xfffffff00822a4b0: 00e03991  add	x0, x0, #0xe78
0xfffffff00822a4b4: f30300f9  str	x19, [sp]
0xfffffff00822a4b8: 15a80994  bl	#0xfffffff00849450c
0xfffffff00822a4bc: 7f2303d5  pacibsp	
0xfffffff00822a4c0: ff4301d1  sub	sp, sp, #0x50
0xfffffff00822a4c4: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00822a4c8: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00822a4cc: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00822a4d0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00822a4d4: fd030191  add	x29, sp, #0x40
0xfffffff00822a4d8: f30304aa  mov	x19, x4
0xfffffff00822a4dc: f70303aa  mov	x23, x3
0xfffffff00822a4e0: f50302aa  mov	x21, x2
0xfffffff00822a4e4: f40301aa  mov	x20, x1
0xfffffff00822a4e8: f60300aa  mov	x22, x0
0xfffffff00822a4ec: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff00822a4f0: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff00822a4f4: a80000b4  cbz	x8, #0xfffffff00822a508
0xfffffff00822a4f8: e00316aa  mov	x0, x22
0xfffffff00822a4fc: 01008052  mov	w1, #0
0xfffffff00822a500: b1679ed2  mov	x17, #0xf33d
0xfffffff00822a504: 11093fd7  blraa	x8, x17
0xfffffff00822a508: 950000b4  cbz	x21, #0xfffffff00822a518
0xfffffff00822a50c: a83e4079  ldrh	w8, [x21, #0x1e]
0xfffffff00822a510: 170100b4  cbz	x23, #0xfffffff00822a530
0xfffffff00822a514: 48040837  tbnz	w8, #1, #0xfffffff00822a59c
0xfffffff00822a518: 0073ff90  adrp	x0, #0xfffffff00708a000
0xfffffff00822a51c: 00d03a91  add	x0, x0, #0xeb4
0xfffffff00822a520: 0173ff90  adrp	x1, #0xfffffff00708a000
0xfffffff00822a524: 21c03291  add	x1, x1, #0xcb0
0xfffffff00822a528: 024d8152  mov	w2, #0xa68
0xfffffff00822a52c: bad40994  bl	#0xfffffff00849f814
0xfffffff00822a530: c8020837  tbnz	w8, #1, #0xfffffff00822a588
0xfffffff00822a534: 080080d2  mov	x8, #0
0xfffffff00822a538: 170080d2  mov	x23, #0
0xfffffff00822a53c: e90315aa  mov	x9, x21
0xfffffff00822a540: 03000014  b	#0xfffffff00822a54c
0xfffffff00822a544: 290140f9  ldr	x9, [x9]
0xfffffff00822a548: 690200b4  cbz	x9, #0xfffffff00822a594
0xfffffff00822a54c: 2a3d4079  ldrh	w10, [x9, #0x1e]
0xfffffff00822a550: 0a020837  tbnz	w10, #1, #0xfffffff00822a590
0xfffffff00822a554: 2a394079  ldrh	w10, [x9, #0x1c]
0xfffffff00822a558: 5f390071  cmp	w10, #0xe
0xfffffff00822a55c: 41ffff54  b.ne	#0xfffffff00822a544
0xfffffff00822a560: ff0200f1  cmp	x23, #0
0xfffffff00822a564: 3701979a  csel	x23, x9, x23, eq
0xfffffff00822a568: 2a0140f9  ldr	x10, [x9]
0xfffffff00822a56c: 4a0100b4  cbz	x10, #0xfffffff00822a594
0xfffffff00822a570: 4b394079  ldrh	w11, [x10, #0x1c]
0xfffffff00822a574: 7f390071  cmp	w11, #0xe
0xfffffff00822a578: 0801899a  csel	x8, x8, x9, eq
0xfffffff00822a57c: e9030aaa  mov	x9, x10
0xfffffff00822a580: 69feffb5  cbnz	x9, #0xfffffff00822a54c
0xfffffff00822a584: 04000014  b	#0xfffffff00822a594
0xfffffff00822a588: 170080d2  mov	x23, #0
0xfffffff00822a58c: 04000014  b	#0xfffffff00822a59c
0xfffffff00822a590: f50309aa  mov	x21, x9
0xfffffff00822a594: 480000b4  cbz	x8, #0xfffffff00822a59c
