; Candidate 6532
; ADRP+ADD at VM 0xfffffff00883223c (fileoff 0x182e23c): page=0x1fe9f0000 add_imm=0xda7

0xfffffff0088321bc: a18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088321c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088321c4: c350fff0  adrp	x3, #0xfffffff00724d000
0xfffffff0088321c8: 63ec1891  add	x3, x3, #0x63b
0xfffffff0088321cc: 02008052  mov	w2, #0
0xfffffff0088321d0: d803ec97  bl	#0xfffffff008333130
0xfffffff0088321d4: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff0088321d8: e8030034  cbz	w8, #0xfffffff008832254
0xfffffff0088321dc: 000b8052  mov	w0, #0x58
0xfffffff0088321e0: c1008052  mov	w1, #6
0xfffffff0088321e4: 7b250194  bl	#0xfffffff00887b7d0
0xfffffff0088321e8: 800a0034  cbz	w0, #0xfffffff008832338
0xfffffff0088321ec: 000b8052  mov	w0, #0x58
0xfffffff0088321f0: 8a250194  bl	#0xfffffff00887b818
0xfffffff0088321f4: f70300aa  mov	x23, x0
0xfffffff0088321f8: ed070294  bl	#0xfffffff0088b41ac
0xfffffff0088321fc: f50300aa  mov	x21, x0
0xfffffff008832200: c0008052  mov	w0, #6
0xfffffff008832204: 93250194  bl	#0xfffffff00887b850
0xfffffff008832208: f60300aa  mov	x22, x0
0xfffffff00883220c: 600640f9  ldr	x0, [x19, #8]
0xfffffff008832210: d2e4ff97  bl	#0xfffffff00882b558
0xfffffff008832214: f7050034  cbz	w23, #0xfffffff0088322d0
0xfffffff008832218: 68264529  ldp	w8, w9, [x19, #0x28]
0xfffffff00883221c: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff008832220: e90314aa  mov	x9, x20
0xfffffff008832224: e0a702a9  stp	x0, x9, [sp, #0x28]
0xfffffff008832228: aa2f8052  mov	w10, #0x17d
0xfffffff00883222c: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832230: 088d3691  add	x8, x8, #0xda3
0xfffffff008832234: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008832238: 080b8052  mov	w8, #0x58
0xfffffff00883223c: 804fff90  adrp	x0, #0xfffffff007222000
0xfffffff008832240: 009c3691  add	x0, x0, #0xda7
0xfffffff008832244: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff008832248: f50300f9  str	x21, [sp]
0xfffffff00883224c: 8514d697  bl	#0xfffffff007db7460
0xfffffff008832250: 3a000014  b	#0xfffffff008832338
0xfffffff008832254: 000b8052  mov	w0, #0x58
0xfffffff008832258: 81008052  mov	w1, #4
0xfffffff00883225c: 5d250194  bl	#0xfffffff00887b7d0
0xfffffff008832260: 400f0034  cbz	w0, #0xfffffff008832448
0xfffffff008832264: 000b8052  mov	w0, #0x58
0xfffffff008832268: 6c250194  bl	#0xfffffff00887b818
0xfffffff00883226c: f60300aa  mov	x22, x0
0xfffffff008832270: cf070294  bl	#0xfffffff0088b41ac
0xfffffff008832274: f50300aa  mov	x21, x0
0xfffffff008832278: 80008052  mov	w0, #4
0xfffffff00883227c: 75250194  bl	#0xfffffff00887b850
0xfffffff008832280: f60a0034  cbz	w22, #0xfffffff0088323dc
0xfffffff008832284: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008832288: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff00883228c: ea4efff0  adrp	x10, #0xfffffff007211000
0xfffffff008832290: 4a591891  add	x10, x10, #0x616
0xfffffff008832294: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008832298: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff00883229c: 482f8052  mov	w8, #0x17a
0xfffffff0088322a0: 894fff90  adrp	x9, #0xfffffff007222000
0xfffffff0088322a4: 298d3691  add	x9, x9, #0xda3
0xfffffff0088322a8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088322ac: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff0088322b0: 08813991  add	x8, x8, #0xe60
0xfffffff0088322b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088322b8: 080b8052  mov	w8, #0x58
