; Candidate 6182
; ADRP+ADD at VM 0xfffffff008818df0 (fileoff 0x1814df0): page=0x1fe9d1000 add_imm=0xe80

0xfffffff008818d70: 29238152  mov	w9, #0x919
0xfffffff008818d74: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008818d78: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff008818d7c: 08210091  add	x8, x8, #8
0xfffffff008818d80: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008818d84: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008818d88: 880e8052  mov	w8, #0x74
0xfffffff008818d8c: 2050fff0  adrp	x0, #0xfffffff00721f000
0xfffffff008818d90: 00440791  add	x0, x0, #0x1d1
0xfffffff008818d94: 60010014  b	#0xfffffff008819314
0xfffffff008818d98: 056d0294  bl	#0xfffffff0088b41ac
0xfffffff008818d9c: f90300aa  mov	x25, x0
0xfffffff008818da0: 80008052  mov	w0, #4
0xfffffff008818da4: ab8a0194  bl	#0xfffffff00887b850
0xfffffff008818da8: e80318aa  mov	x8, x24
0xfffffff008818dac: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008818db0: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff008818db4: e80316aa  mov	x8, x22
0xfffffff008818db8: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff008818dbc: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008818dc0: c84fff90  adrp	x8, #0xfffffff007210000
0xfffffff008818dc4: 08b92791  add	x8, x8, #0x9ee
0xfffffff008818dc8: 69218152  mov	w9, #0x90b
0xfffffff008818dcc: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008818dd0: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff008818dd4: 08210091  add	x8, x8, #8
0xfffffff008818dd8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008818ddc: 880e8052  mov	w8, #0x74
0xfffffff008818de0: 8351ff90  adrp	x3, #0xfffffff007248000
0xfffffff008818de4: 63083f91  add	x3, x3, #0xfc2
0xfffffff008818de8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008818dec: f90300f9  str	x25, [sp]
0xfffffff008818df0: 804effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008818df4: 00003a91  add	x0, x0, #0xe80
0xfffffff008818df8: 818fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008818dfc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008818e00: 02008052  mov	w2, #0
0xfffffff008818e04: cb68ec97  bl	#0xfffffff008333130
0xfffffff008818e08: ccfeff17  b	#0xfffffff008818938
0xfffffff008818e0c: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff008818e10: a04a0094  bl	#0xfffffff00882b890
0xfffffff008818e14: 1f040071  cmp	w0, #1
0xfffffff008818e18: 81040054  b.ne	#0xfffffff008818ea8
0xfffffff008818e1c: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008818e20: e10313aa  mov	x1, x19
0xfffffff008818e24: 6decfe97  bl	#0xfffffff0087d3fd8
0xfffffff008818e28: 00040034  cbz	w0, #0xfffffff008818ea8
0xfffffff008818e2c: f80300aa  mov	x24, x0
0xfffffff008818e30: 800e8052  mov	w0, #0x74
0xfffffff008818e34: 81008052  mov	w1, #4
0xfffffff008818e38: 668a0194  bl	#0xfffffff00887b7d0
0xfffffff008818e3c: e0d7ff34  cbz	w0, #0xfffffff008818938
0xfffffff008818e40: 800e8052  mov	w0, #0x74
0xfffffff008818e44: 758a0194  bl	#0xfffffff00887b818
0xfffffff008818e48: fa0300aa  mov	x26, x0
0xfffffff008818e4c: d86c0294  bl	#0xfffffff0088b41ac
0xfffffff008818e50: f90300aa  mov	x25, x0
0xfffffff008818e54: 80008052  mov	w0, #4
0xfffffff008818e58: 7e8a0194  bl	#0xfffffff00887b850
0xfffffff008818e5c: fa190034  cbz	w26, #0xfffffff008819198
0xfffffff008818e60: e80318aa  mov	x8, x24
0xfffffff008818e64: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008818e68: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff008818e6c: e80316aa  mov	x8, x22
