; Candidate 4891
; ADRP+ADD at VM 0xfffffff0087cbeac (fileoff 0x17c7eac): page=0x1fea44000 add_imm=0xe86

0xfffffff0087cbe2c: a84359b8  ldur	w8, [x29, #-0x6c]
0xfffffff0087cbe30: 091840b9  ldr	w9, [x0, #0x18]
0xfffffff0087cbe34: 492f00b9  str	w9, [x26, #0x2c]
0xfffffff0087cbe38: 080c088b  add	x8, x0, x8, lsl #3
0xfffffff0087cbe3c: 083540f9  ldr	x8, [x8, #0x68]
0xfffffff0087cbe40: a98356f8  ldur	x9, [x29, #-0x98]
0xfffffff0087cbe44: 280900f9  str	x8, [x9, #0x10]
0xfffffff0087cbe48: 081c40b9  ldr	w8, [x0, #0x1c]
0xfffffff0087cbe4c: 285500b9  str	w8, [x9, #0x54]
0xfffffff0087cbe50: 083c40f9  ldr	x8, [x0, #0x78]
0xfffffff0087cbe54: 280d00f9  str	x8, [x9, #0x18]
0xfffffff0087cbe58: a00f8052  mov	w0, #0x7d
0xfffffff0087cbe5c: e1008052  mov	w1, #7
0xfffffff0087cbe60: 5cbe0294  bl	#0xfffffff00887b7d0
0xfffffff0087cbe64: 40180034  cbz	w0, #0xfffffff0087cc16c
0xfffffff0087cbe68: a00f8052  mov	w0, #0x7d
0xfffffff0087cbe6c: 6bbe0294  bl	#0xfffffff00887b818
0xfffffff0087cbe70: f40300aa  mov	x20, x0
0xfffffff0087cbe74: cea00394  bl	#0xfffffff0088b41ac
0xfffffff0087cbe78: f50300aa  mov	x21, x0
0xfffffff0087cbe7c: e0008052  mov	w0, #7
0xfffffff0087cbe80: 74be0294  bl	#0xfffffff00887b850
0xfffffff0087cbe84: 94140034  cbz	w20, #0xfffffff0087cc114
0xfffffff0087cbe88: 683751f9  ldr	x8, [x27, #0x2268]
0xfffffff0087cbe8c: 691b40b9  ldr	w9, [x27, #0x18]
0xfffffff0087cbe90: 0ac740b9  ldr	w10, [x24, #0xc4]
0xfffffff0087cbe94: 0b1140b9  ldr	w11, [x8, #0x10]
0xfffffff0087cbe98: e8031caa  mov	x8, x28
0xfffffff0087cbe9c: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff0087cbea0: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0087cbea4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087cbea8: a80f8052  mov	w8, #0x7d
0xfffffff0087cbeac: 2052ff90  adrp	x0, #0xfffffff00720f000
0xfffffff0087cbeb0: 00183a91  add	x0, x0, #0xe86
0xfffffff0087cbeb4: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cbeb8: 6aadd797  bl	#0xfffffff007db7460
0xfffffff0087cbebc: ac000014  b	#0xfffffff0087cc16c
0xfffffff0087cbec0: bba00394  bl	#0xfffffff0088b41ac
0xfffffff0087cbec4: f50300aa  mov	x21, x0
0xfffffff0087cbec8: 80008052  mov	w0, #4
0xfffffff0087cbecc: 61be0294  bl	#0xfffffff00887b850
0xfffffff0087cbed0: 6b1b40b9  ldr	w11, [x27, #0x18]
0xfffffff0087cbed4: 09c740b9  ldr	w9, [x24, #0xc4]
0xfffffff0087cbed8: 6a6b4bb9  ldr	w10, [x27, #0xb68]
0xfffffff0087cbedc: e9ab03a9  stp	x9, x10, [sp, #0x38]
0xfffffff0087cbee0: 0852ffd0  adrp	x8, #0xfffffff00720d000
0xfffffff0087cbee4: 08cd1991  add	x8, x8, #0x673
0xfffffff0087cbee8: 498e8052  mov	w9, #0x472
0xfffffff0087cbeec: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff0087cbef0: 2852ff90  adrp	x8, #0xfffffff00720f000
0xfffffff0087cbef4: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cbef8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cbefc: 68008052  mov	w8, #3
0xfffffff0087cbf00: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cbf04: f50300f9  str	x21, [sp]
0xfffffff0087cbf08: e050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cbf0c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cbf10: e191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cbf14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cbf18: 6353ffb0  adrp	x3, #0xfffffff007238000
0xfffffff0087cbf1c: 63003d91  add	x3, x3, #0xf40
0xfffffff0087cbf20: 02008052  mov	w2, #0
0xfffffff0087cbf24: 839ced97  bl	#0xfffffff008333130
0xfffffff0087cbf28: 1f000014  b	#0xfffffff0087cbfa4
