; Candidate 4475
; ADRP+ADD at VM 0xfffffff0087b4058 (fileoff 0x17b0058): page=0x1fe97d000 add_imm=0xd90

0xfffffff0087b3fd8: e2130491  add	x2, sp, #0x104
0xfffffff0087b3fdc: e00313aa  mov	x0, x19
0xfffffff0087b3fe0: 01008052  mov	w1, #0
0xfffffff0087b3fe4: f10309aa  mov	x17, x9
0xfffffff0087b3fe8: 715ee3f2  movk	x17, #0x1af3, lsl #48
0xfffffff0087b3fec: 11093fd7  blraa	x8, x17
0xfffffff0087b3ff0: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0087b3ff4: 100040f9  ldr	x16, [x0]
0xfffffff0087b3ff8: f10300aa  mov	x17, x0
0xfffffff0087b3ffc: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0087b4000: 301ac1da  autda	x16, x17
0xfffffff0087b4004: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff0087b4008: e90310aa  mov	x9, x16
0xfffffff0087b400c: f10309aa  mov	x17, x9
0xfffffff0087b4010: 91a4f1f2  movk	x17, #0x8d24, lsl #48
0xfffffff0087b4014: 11093fd7  blraa	x8, x17
0xfffffff0087b4018: 7f461fb9  str	wzr, [x19, #0x1f44]
0xfffffff0087b401c: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0087b4020: 100040f9  ldr	x16, [x0]
0xfffffff0087b4024: f10300aa  mov	x17, x0
0xfffffff0087b4028: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0087b402c: 301ac1da  autda	x16, x17
0xfffffff0087b4030: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff0087b4034: e90310aa  mov	x9, x16
0xfffffff0087b4038: e17340f9  ldr	x1, [sp, #0xe0]
0xfffffff0087b403c: f10309aa  mov	x17, x9
0xfffffff0087b4040: d113e8f2  movk	x17, #0x409e, lsl #48
0xfffffff0087b4044: 11093fd7  blraa	x8, x17
0xfffffff0087b4048: 40020034  cbz	w0, #0xfffffff0087b4090
0xfffffff0087b404c: 484dffd0  adrp	x8, #0xfffffff00715e000
0xfffffff0087b4050: 08011c91  add	x8, x8, #0x700
0xfffffff0087b4054: e80300f9  str	x8, [sp]
0xfffffff0087b4058: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b405c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b4060: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4064: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4068: 02008052  mov	w2, #0
0xfffffff0087b406c: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b4070: 63b01391  add	x3, x3, #0x4ec
0xfffffff0087b4074: 2ffced97  bl	#0xfffffff008333130
0xfffffff0087b4078: 48008052  mov	w8, #2
0xfffffff0087b407c: 09268052  mov	w9, #0x130
0xfffffff0087b4080: e97f00b9  str	w9, [sp, #0x7c]
0xfffffff0087b4084: f6bf40b9  ldr	w22, [sp, #0xbc]
0xfffffff0087b4088: 28c5ff34  cbz	w8, #0xfffffff0087b392c
0xfffffff0087b408c: 41000014  b	#0xfffffff0087b4190
0xfffffff0087b4090: 28008052  mov	w8, #1
0xfffffff0087b4094: 68461fb9  str	w8, [x19, #0x1f44]
0xfffffff0087b4098: 684a5fb9  ldr	w8, [x19, #0x1f48]
0xfffffff0087b409c: 1f010071  cmp	w8, #0
0xfffffff0087b40a0: e8179f1a  cset	w8, eq
0xfffffff0087b40a4: 0803082a  orr	w8, w24, w8
0xfffffff0087b40a8: 0801162a  orr	w8, w8, w22
0xfffffff0087b40ac: 1f050071  cmp	w8, #1
0xfffffff0087b40b0: f6bf40b9  ldr	w22, [sp, #0xbc]
0xfffffff0087b40b4: c1050054  b.ne	#0xfffffff0087b416c
0xfffffff0087b40b8: 884b8052  mov	w8, #0x25c
0xfffffff0087b40bc: ea274ca9  ldp	x10, x9, [sp, #0xc0]
0xfffffff0087b40c0: 5825089b  madd	x24, x10, x8, x9
0xfffffff0087b40c4: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0087b40c8: 100040f9  ldr	x16, [x0]
0xfffffff0087b40cc: f10300aa  mov	x17, x0
0xfffffff0087b40d0: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0087b40d4: 301ac1da  autda	x16, x17
