; Candidate 13802
; ADRP+ADD at VM 0xfffffff009594278 (fileoff 0x2590278): page=0x1fdfcc000 add_imm=0xd9c

0xfffffff0095941f8: 42000054  b.hs	#0xfffffff009594200
0xfffffff0095941fc: a90319b8  stur	w9, [x29, #-0x70]
0xfffffff009594200: 3f050871  cmp	w9, #0x201
0xfffffff009594204: c3010054  b.lo	#0xfffffff00959423c
0xfffffff009594208: 08408052  mov	w8, #0x200
0xfffffff00959420c: e85300b9  str	w8, [sp, #0x50]
0xfffffff009594210: e2430191  add	x2, sp, #0x50
0xfffffff009594214: e00317aa  mov	x0, x23
0xfffffff009594218: 01838c52  mov	w1, #0x6418
0xfffffff00959421c: 8100b072  movk	w1, #0x8004, lsl #16
0xfffffff009594220: 43008052  mov	w3, #2
0xfffffff009594224: e40316aa  mov	x4, x22
0xfffffff009594228: eea0a697  bl	#0xfffffff007f3c5e0
0xfffffff00959422c: 80000034  cbz	w0, #0xfffffff00959423c
0xfffffff009594230: 60fefe90  adrp	x0, #0xfffffff007560000
0xfffffff009594234: 00d03591  add	x0, x0, #0xd74
0xfffffff009594238: 15000014  b	#0xfffffff00959428c
0xfffffff00959423c: a2a301d1  sub	x2, x29, #0x68
0xfffffff009594240: e00317aa  mov	x0, x23
0xfffffff009594244: 21838c52  mov	w1, #0x6419
0xfffffff009594248: 0101a872  movk	w1, #0x4008, lsl #16
0xfffffff00959424c: 03008052  mov	w3, #0
0xfffffff009594250: e40316aa  mov	x4, x22
0xfffffff009594254: e3a0a697  bl	#0xfffffff007f3c5e0
0xfffffff009594258: e0080034  cbz	w0, #0xfffffff009594374
0xfffffff00959425c: a2b301d1  sub	x2, x29, #0x6c
0xfffffff009594260: e00317aa  mov	x0, x23
0xfffffff009594264: 01838c52  mov	w1, #0x6418
0xfffffff009594268: 8100b072  movk	w1, #0x8004, lsl #16
0xfffffff00959426c: 43008052  mov	w3, #2
0xfffffff009594270: e40316aa  mov	x4, x22
0xfffffff009594274: dba0a697  bl	#0xfffffff007f3c5e0
0xfffffff009594278: 60fefe90  adrp	x0, #0xfffffff007560000
0xfffffff00959427c: 00703691  add	x0, x0, #0xd9c
0xfffffff009594280: 03000014  b	#0xfffffff00959428c
0xfffffff009594284: 60fefe90  adrp	x0, #0xfffffff007560000
0xfffffff009594288: 00303491  add	x0, x0, #0xd0c
0xfffffff00959428c: 758ca097  bl	#0xfffffff007db7460
0xfffffff009594290: 140080d2  mov	x20, #0
0xfffffff009594294: 150080d2  mov	x21, #0
0xfffffff009594298: dc008052  mov	w28, #6
0xfffffff00959429c: a0035af8  ldur	x0, [x29, #-0x60]
0xfffffff0095942a0: 400000b4  cbz	x0, #0xfffffff0095942a8
0xfffffff0095942a4: a25ca597  bl	#0xfffffff007eeb52c
0xfffffff0095942a8: 150100b4  cbz	x21, #0xfffffff0095942c8
0xfffffff0095942ac: e00315aa  mov	x0, x21
0xfffffff0095942b0: 01408052  mov	w1, #0x200
0xfffffff0095942b4: b30ab797  bl	#0xfffffff008356d80
0xfffffff0095942b8: a16f00b0  adrp	x1, #0xfffffff00a389000
0xfffffff0095942bc: 21c00391  add	x1, x1, #0xf0
0xfffffff0095942c0: e03f8092  mov	x0, #-0x200
0xfffffff0095942c4: 033cb597  bl	#0xfffffff0082e32d0
0xfffffff0095942c8: e00314aa  mov	x0, x20
0xfffffff0095942cc: e7520094  bl	#0xfffffff0095a8e68
0xfffffff0095942d0: 140400b4  cbz	x20, #0xfffffff009594350
0xfffffff0095942d4: 801e40f9  ldr	x0, [x20, #0x38]
0xfffffff0095942d8: 400000b4  cbz	x0, #0xfffffff0095942e0
0xfffffff0095942dc: 11e3a597  bl	#0xfffffff007f0cf20
0xfffffff0095942e0: e00314aa  mov	x0, x20
0xfffffff0095942e4: a8030094  bl	#0xfffffff009595184
0xfffffff0095942e8: 80622091  add	x0, x20, #0x818
0xfffffff0095942ec: a86f0090  adrp	x8, #0xfffffff00a388000
0xfffffff0095942f0: 01d147f9  ldr	x1, [x8, #0xfa0]
0xfffffff0095942f4: b95da097  bl	#0xfffffff007dab9d8
