; Candidate 9943
; ADRP+ADD at VM 0xfffffff008bce504 (fileoff 0x1bca504): page=0x1fe762000 add_imm=0xdf3

0xfffffff008bce484: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff008bce488: 1f0113eb  cmp	x8, x19
0xfffffff008bce48c: a9020054  b.ls	#0xfffffff008bce4e0
0xfffffff008bce490: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff008bce494: 007933bc  str	s0, [x8, x19, lsl #2]
0xfffffff008bce498: 0c000014  b	#0xfffffff008bce4c8
0xfffffff008bce49c: 283bffd0  adrp	x8, #0xfffffff007334000
0xfffffff008bce4a0: 08dd0291  add	x8, x8, #0xb7
0xfffffff008bce4a4: e80300f9  str	x8, [sp]
0xfffffff008bce4a8: a039fff0  adrp	x0, #0xfffffff007305000
0xfffffff008bce4ac: 00400c91  add	x0, x0, #0x310
0xfffffff008bce4b0: e175fff0  adrp	x1, #0xfffffff007a8d000
0xfffffff008bce4b4: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bce4b8: e33aff90  adrp	x3, #0xfffffff00732a000
0xfffffff008bce4bc: 63343391  add	x3, x3, #0xccd
0xfffffff008bce4c0: 02008052  mov	w2, #0
0xfffffff008bce4c4: 1b93dd97  bl	#0xfffffff008333130
0xfffffff008bce4c8: 9f0213eb  cmp	x20, x19
0xfffffff008bce4cc: e0979f1a  cset	w0, hi
0xfffffff008bce4d0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008bce4d4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008bce4d8: ff030191  add	sp, sp, #0x40
0xfffffff008bce4dc: ff0f5fd6  retab	
0xfffffff008bce4e0: 083bffd0  adrp	x8, #0xfffffff007330000
0xfffffff008bce4e4: 08e13c91  add	x8, x8, #0xf38
0xfffffff008bce4e8: 093bffd0  adrp	x9, #0xfffffff007330000
0xfffffff008bce4ec: 29a53c91  add	x9, x9, #0xf29
0xfffffff008bce4f0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008bce4f4: 083bffd0  adrp	x8, #0xfffffff007330000
0xfffffff008bce4f8: 08493891  add	x8, x8, #0xe12
0xfffffff008bce4fc: 093f8052  mov	w9, #0x1f8
0xfffffff008bce500: e82700a9  stp	x8, x9, [sp]
0xfffffff008bce504: 003bffd0  adrp	x0, #0xfffffff007330000
0xfffffff008bce508: 00cc3791  add	x0, x0, #0xdf3
0xfffffff008bce50c: d2cdff97  bl	#0xfffffff008bc1c54
0xfffffff008bce510: 7f2303d5  pacibsp	
0xfffffff008bce514: ff8300d1  sub	sp, sp, #0x20
0xfffffff008bce518: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008bce51c: fd430091  add	x29, sp, #0x10
0xfffffff008bce520: 283bffd0  adrp	x8, #0xfffffff007334000
0xfffffff008bce524: 08990091  add	x8, x8, #0x26
0xfffffff008bce528: e80300f9  str	x8, [sp]
0xfffffff008bce52c: a039fff0  adrp	x0, #0xfffffff007305000
0xfffffff008bce530: 00400c91  add	x0, x0, #0x310
0xfffffff008bce534: e175fff0  adrp	x1, #0xfffffff007a8d000
0xfffffff008bce538: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bce53c: e33aff90  adrp	x3, #0xfffffff00732a000
0xfffffff008bce540: 631c3291  add	x3, x3, #0xc87
0xfffffff008bce544: 02008052  mov	w2, #0
0xfffffff008bce548: fa92dd97  bl	#0xfffffff008333130
0xfffffff008bce54c: 00008052  mov	w0, #0
0xfffffff008bce550: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008bce554: ff830091  add	sp, sp, #0x20
0xfffffff008bce558: ff0f5fd6  retab	
0xfffffff008bce55c: 7f2303d5  pacibsp	
0xfffffff008bce560: ff8300d1  sub	sp, sp, #0x20
0xfffffff008bce564: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008bce568: fd430091  add	x29, sp, #0x10
0xfffffff008bce56c: 283bffd0  adrp	x8, #0xfffffff007334000
0xfffffff008bce570: 08990091  add	x8, x8, #0x26
0xfffffff008bce574: e80300f9  str	x8, [sp]
0xfffffff008bce578: a039fff0  adrp	x0, #0xfffffff007305000
0xfffffff008bce57c: 00400c91  add	x0, x0, #0x310
0xfffffff008bce580: e175fff0  adrp	x1, #0xfffffff007a8d000
