; Candidate 7730
; ADRP+ADD at VM 0xfffffff00887bad0 (fileoff 0x1877ad0): page=0x1fe96e000 add_imm=0xe80

0xfffffff00887ba50: fd830191  add	x29, sp, #0x60
0xfffffff00887ba54: 1ffc0271  cmp	w0, #0xbf
0xfffffff00887ba58: 69000054  b.ls	#0xfffffff00887ba64
0xfffffff00887ba5c: 007d8012  mov	w0, #-0x3e9
0xfffffff00887ba60: 35000014  b	#0xfffffff00887bb34
0xfffffff00887ba64: f40301aa  mov	x20, x1
0xfffffff00887ba68: f30300aa  mov	x19, x0
0xfffffff00887ba6c: e8d200f0  adrp	x8, #0xfffffff00a2da000
0xfffffff00887ba70: 08e13b91  add	x8, x8, #0xef8
0xfffffff00887ba74: 09496038  ldrb	w9, [x8, w0, uxtw]
0xfffffff00887ba78: 290d1c12  and	w9, w9, #0xf0
0xfffffff00887ba7c: 290c0033  bfxil	w9, w1, #0, #4
0xfffffff00887ba80: 09492038  strb	w9, [x8, w0, uxtw]
0xfffffff00887ba84: 08014139  ldrb	w8, [x8, #0x40]
0xfffffff00887ba88: 080d0012  and	w8, w8, #0xf
0xfffffff00887ba8c: 1f1d0071  cmp	w8, #7
0xfffffff00887ba90: 03050054  b.lo	#0xfffffff00887bb30
0xfffffff00887ba94: e8d200f0  adrp	x8, #0xfffffff00a2da000
0xfffffff00887ba98: 15e17c39  ldrb	w21, [x8, #0xf38]
0xfffffff00887ba9c: c4e10094  bl	#0xfffffff0088b41ac
0xfffffff00887baa0: d5022037  tbnz	w21, #4, #0xfffffff00887baf8
0xfffffff00887baa4: c2e10094  bl	#0xfffffff0088b41ac
0xfffffff00887baa8: c81d8052  mov	w8, #0xee
0xfffffff00887baac: 894dff90  adrp	x9, #0xfffffff00722b000
0xfffffff00887bab0: 29513d91  add	x9, x9, #0xf54
0xfffffff00887bab4: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff00887bab8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00887babc: 884dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887bac0: 0abd0291  add	x10, x8, #0xaf
0xfffffff00887bac4: 08088052  mov	w8, #0x40
0xfffffff00887bac8: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff00887bacc: e00300f9  str	x0, [sp]
0xfffffff00887bad0: 604bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887bad4: 00003a91  add	x0, x0, #0xe80
0xfffffff00887bad8: 618cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887badc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887bae0: e34efff0  adrp	x3, #0xfffffff00725a000
0xfffffff00887bae4: 63803091  add	x3, x3, #0xc20
0xfffffff00887bae8: 02008052  mov	w2, #0
0xfffffff00887baec: 91ddea97  bl	#0xfffffff008333130
0xfffffff00887baf0: 00008052  mov	w0, #0
0xfffffff00887baf4: 10000014  b	#0xfffffff00887bb34
0xfffffff00887baf8: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff00887bafc: ca1d8052  mov	w10, #0xee
0xfffffff00887bb00: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887bb04: 08513d91  add	x8, x8, #0xf54
0xfffffff00887bb08: 894dffb0  adrp	x9, #0xfffffff00722c000
0xfffffff00887bb0c: 2bbd0291  add	x11, x9, #0xaf
0xfffffff00887bb10: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00887bb14: 09088052  mov	w9, #0x40
0xfffffff00887bb18: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887bb1c: 08693c91  add	x8, x8, #0xf1a
0xfffffff00887bb20: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff00887bb24: e00300f9  str	x0, [sp]
0xfffffff00887bb28: e00308aa  mov	x0, x8
0xfffffff00887bb2c: 4deed497  bl	#0xfffffff007db7460
0xfffffff00887bb30: 00008052  mov	w0, #0
0xfffffff00887bb34: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00887bb38: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00887bb3c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00887bb40: ffc30191  add	sp, sp, #0x70
0xfffffff00887bb44: ff0f5fd6  retab	
0xfffffff00887bb48: 5f2403d5  bti	c
0xfffffff00887bb4c: 1ffc0271  cmp	w0, #0xbf
