; Candidate 15316
; ADRP+ADD at VM 0xfffffff009b4e328 (fileoff 0x2b4a328): page=0x1fdada000 add_imm=0xed0

0xfffffff009b4e2a8: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4e2ac: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4e2b0: e00313aa  mov	x0, x19
0xfffffff009b4e2b4: 010080d2  mov	x1, #0
0xfffffff009b4e2b8: f10308aa  mov	x17, x8
0xfffffff009b4e2bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4e2c0: 31093fd7  blraa	x9, x17
0xfffffff009b4e2c4: fa0300aa  mov	x26, x0
0xfffffff009b4e2c8: 700240f9  ldr	x16, [x19]
0xfffffff009b4e2cc: f10313aa  mov	x17, x19
0xfffffff009b4e2d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4e2d4: 301ac1da  autda	x16, x17
0xfffffff009b4e2d8: f10310aa  mov	x17, x16
0xfffffff009b4e2dc: f147c1da  xpacd	x17
0xfffffff009b4e2e0: 1f0211eb  cmp	x16, x17
0xfffffff009b4e2e4: 40000054  b.eq	#0xfffffff009b4e2ec
0xfffffff009b4e2e8: 408e38d4  brk	#0xc472
0xfffffff009b4e2ec: 08620891  add	x8, x16, #0x218
0xfffffff009b4e2f0: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4e2f4: e00313aa  mov	x0, x19
0xfffffff009b4e2f8: 010080d2  mov	x1, #0
0xfffffff009b4e2fc: f10308aa  mov	x17, x8
0xfffffff009b4e300: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4e304: 31093fd7  blraa	x9, x17
0xfffffff009b4e308: f56703a9  stp	x21, x25, [sp, #0x30]
0xfffffff009b4e30c: f65302a9  stp	x22, x20, [sp, #0x20]
0xfffffff009b4e310: e8d6fe90  adrp	x8, #0xfffffff00762a000
0xfffffff009b4e314: 08551491  add	x8, x8, #0x515
0xfffffff009b4e318: c9d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b4e31c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4e320: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4e324: fa0300a9  stp	x26, x0, [sp]
0xfffffff009b4e328: c0d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b4e32c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4e330: e3d6fed0  adrp	x3, #0xfffffff00762c000
0xfffffff009b4e334: 63980891  add	x3, x3, #0x226
0xfffffff009b4e338: e10318aa  mov	x1, x24
0xfffffff009b4e33c: e20317aa  mov	x2, x23
0xfffffff009b4e340: 7c939f97  bl	#0xfffffff008333130
0xfffffff009b4e344: 68424739  ldrb	w8, [x19, #0x1d0]
0xfffffff009b4e348: e8050034  cbz	w8, #0xfffffff009b4e404
0xfffffff009b4e34c: d71a0012  and	w23, w22, #0x7f
0xfffffff009b4e350: dc021912  and	w28, w22, #0x80
0xfffffff009b4e354: 887f0753  lsr	w8, w28, #7
0xfffffff009b4e358: e81a1f33  bfi	w8, w23, #1, #7
0xfffffff009b4e35c: 08010052  eor	w8, w8, #1
0xfffffff009b4e360: 684e288b  add	x8, x19, w8, uxtw #3
0xfffffff009b4e364: 1ac10891  add	x26, x8, #0x230
0xfffffff009b4e368: 181941f9  ldr	x24, [x8, #0x230]
0xfffffff009b4e36c: b80100b5  cbnz	x24, #0xfffffff009b4e3a0
0xfffffff009b4e370: 64ba42b9  ldr	w4, [x19, #0x2b8]
0xfffffff009b4e374: 67f240f9  ldr	x7, [x19, #0x1e0]
0xfffffff009b4e378: e00313aa  mov	x0, x19
0xfffffff009b4e37c: e10316aa  mov	x1, x22
0xfffffff009b4e380: e20314aa  mov	x2, x20
0xfffffff009b4e384: e30315aa  mov	x3, x21
0xfffffff009b4e388: 05008052  mov	w5, #0
0xfffffff009b4e38c: e60319aa  mov	x6, x25
0xfffffff009b4e390: 63cbff97  bl	#0xfffffff009b4111c
0xfffffff009b4e394: f80300aa  mov	x24, x0
0xfffffff009b4e398: 400300f9  str	x0, [x26]
0xfffffff009b4e39c: 606600b4  cbz	x0, #0xfffffff009b4f068
0xfffffff009b4e3a0: 8803142a  orr	w8, w28, w20
0xfffffff009b4e3a4: 1ffd0171  cmp	w8, #0x7f
