; Candidate 4499
; ADRP+ADD at VM 0xfffffff0087b4914 (fileoff 0x17b0914): page=0x1fe97d000 add_imm=0xd90

0xfffffff0087b4894: 3f0315eb  cmp	x25, x21
0xfffffff0087b4898: 61feff54  b.ne	#0xfffffff0087b4864
0xfffffff0087b489c: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff0087b48a0: 086c40f9  ldr	x8, [x0, #0xd8]
0xfffffff0087b48a4: 08494a39  ldrb	w8, [x8, #0x292]
0xfffffff0087b48a8: 08020034  cbz	w8, #0xfffffff0087b48e8
0xfffffff0087b48ac: 700240f9  ldr	x16, [x19]
0xfffffff0087b48b0: f94340f9  ldr	x25, [sp, #0x80]
0xfffffff0087b48b4: 301bc1da  autda	x16, x25
0xfffffff0087b48b8: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0087b48bc: e90310aa  mov	x9, x16
0xfffffff0087b48c0: e00313aa  mov	x0, x19
0xfffffff0087b48c4: f43b40f9  ldr	x20, [sp, #0x70]
0xfffffff0087b48c8: e10314aa  mov	x1, x20
0xfffffff0087b48cc: e2031baa  mov	x2, x27
0xfffffff0087b48d0: f10309aa  mov	x17, x9
0xfffffff0087b48d4: 5144fcf2  movk	x17, #0xe222, lsl #48
0xfffffff0087b48d8: 11093fd7  blraa	x8, x17
0xfffffff0087b48dc: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff0087b48e0: f83740f9  ldr	x24, [sp, #0x68]
0xfffffff0087b48e4: 03000014  b	#0xfffffff0087b48f0
0xfffffff0087b48e8: f8d346a9  ldp	x24, x20, [sp, #0x68]
0xfffffff0087b48ec: f94340f9  ldr	x25, [sp, #0x80]
0xfffffff0087b48f0: 61422c91  add	x1, x19, #0xb10
0xfffffff0087b48f4: 62622c91  add	x2, x19, #0xb18
0xfffffff0087b48f8: 63722c91  add	x3, x19, #0xb1c
0xfffffff0087b48fc: e40314aa  mov	x4, x20
0xfffffff0087b4900: 8a88ff97  bl	#0xfffffff008796b28
0xfffffff0087b4904: a0010034  cbz	w0, #0xfffffff0087b4938
0xfffffff0087b4908: e84cffb0  adrp	x8, #0xfffffff007151000
0xfffffff0087b490c: 08491591  add	x8, x8, #0x552
0xfffffff0087b4910: e80300f9  str	x8, [sp]
0xfffffff0087b4914: e04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b4918: 00403691  add	x0, x0, #0xd90
0xfffffff0087b491c: 4192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b4920: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b4924: c34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b4928: 636c1b91  add	x3, x3, #0x6db
0xfffffff0087b492c: 02008052  mov	w2, #0
0xfffffff0087b4930: 00faed97  bl	#0xfffffff008333130
0xfffffff0087b4934: 8ffbff17  b	#0xfffffff0087b3770
0xfffffff0087b4938: e00313aa  mov	x0, x19
0xfffffff0087b493c: e1031caa  mov	x1, x28
0xfffffff0087b4940: e20314aa  mov	x2, x20
0xfffffff0087b4944: 23008052  mov	w3, #1
0xfffffff0087b4948: 15020094  bl	#0xfffffff0087b519c
0xfffffff0087b494c: f40300aa  mov	x20, x0
0xfffffff0087b4950: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff0087b4954: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff0087b4958: 08494a39  ldrb	w8, [x8, #0x292]
0xfffffff0087b495c: 88000034  cbz	w8, #0xfffffff0087b496c
0xfffffff0087b4960: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0087b4964: d912fe97  bl	#0xfffffff0087394c8
0xfffffff0087b4968: 60f60ab9  str	w0, [x19, #0xaf4]
0xfffffff0087b496c: 68ae7239  ldrb	w8, [x19, #0xcab]
0xfffffff0087b4970: 68000034  cbz	w8, #0xfffffff0087b497c
0xfffffff0087b4974: e00313aa  mov	x0, x19
0xfffffff0087b4978: adfaff97  bl	#0xfffffff0087b342c
0xfffffff0087b497c: 68024fb9  ldr	w8, [x19, #0xf00]
0xfffffff0087b4980: 69064fb9  ldr	w9, [x19, #0xf04]
0xfffffff0087b4984: 1f01096b  cmp	w8, w9
0xfffffff0087b4988: 22030054  b.hs	#0xfffffff0087b49ec
0xfffffff0087b498c: 75559552  mov	w21, #0xaaab
0xfffffff0087b4990: 5555b572  movk	w21, #0xaaaa, lsl #16
