; Candidate 14212
; ADRP+ADD at VM 0xfffffff00974efc0 (fileoff 0x274afc0): page=0xc3d000 add_imm=0xd58

0xfffffff00974ef40: 1002118b  add	x16, x16, x17
0xfffffff00974ef44: 080240f9  ldr	x8, [x16]
0xfffffff00974ef48: e90310aa  mov	x9, x16
0xfffffff00974ef4c: e00314aa  mov	x0, x20
0xfffffff00974ef50: f10309aa  mov	x17, x9
0xfffffff00974ef54: 51ededf2  movk	x17, #0x6f6a, lsl #48
0xfffffff00974ef58: 11093fd7  blraa	x8, x17
0xfffffff00974ef5c: d00e41f8  ldr	x16, [x22, #0x10]!
0xfffffff00974ef60: 700100b4  cbz	x16, #0xfffffff00974ef8c
0xfffffff00974ef64: f10316aa  mov	x17, x22
0xfffffff00974ef68: 311eeef2  movk	x17, #0x70f1, lsl #48
0xfffffff00974ef6c: 301ac1da  autda	x16, x17
0xfffffff00974ef70: f10310aa  mov	x17, x16
0xfffffff00974ef74: f147c1da  xpacd	x17
0xfffffff00974ef78: 1f0211eb  cmp	x16, x17
0xfffffff00974ef7c: 40000054  b.eq	#0xfffffff00974ef84
0xfffffff00974ef80: 408e38d4  brk	#0xc472
0xfffffff00974ef84: f70310aa  mov	x23, x16
0xfffffff00974ef88: 02000014  b	#0xfffffff00974ef90
0xfffffff00974ef8c: 170080d2  mov	x23, #0
0xfffffff00974ef90: e02240f9  ldr	x0, [x23, #0x40]
0xfffffff00974ef94: 100040f9  ldr	x16, [x0]
0xfffffff00974ef98: f10300aa  mov	x17, x0
0xfffffff00974ef9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974efa0: 301ac1da  autda	x16, x17
0xfffffff00974efa4: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff00974efa8: e90310aa  mov	x9, x16
0xfffffff00974efac: f10309aa  mov	x17, x9
0xfffffff00974efb0: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff00974efb4: 11093fd7  blraa	x8, x17
0xfffffff00974efb8: f603002a  mov	w22, w0
0xfffffff00974efbc: 950400b4  cbz	x21, #0xfffffff00974f04c
0xfffffff00974efc0: e06100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00974efc4: 00603591  add	x0, x0, #0xd58
0xfffffff00974efc8: 6456ae97  bl	#0xfffffff0082e4958
0xfffffff00974efcc: f80300aa  mov	x24, x0
0xfffffff00974efd0: b00240f9  ldr	x16, [x21]
0xfffffff00974efd4: f10315aa  mov	x17, x21
0xfffffff00974efd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974efdc: 301ac1da  autda	x16, x17
0xfffffff00974efe0: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974efe4: e90310aa  mov	x9, x16
0xfffffff00974efe8: e00315aa  mov	x0, x21
0xfffffff00974efec: f10309aa  mov	x17, x9
0xfffffff00974eff0: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974eff4: 11093fd7  blraa	x8, x17
0xfffffff00974eff8: f90300aa  mov	x25, x0
0xfffffff00974effc: 900240f9  ldr	x16, [x20]
0xfffffff00974f000: f10314aa  mov	x17, x20
0xfffffff00974f004: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974f008: 301ac1da  autda	x16, x17
0xfffffff00974f00c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974f010: e90310aa  mov	x9, x16
0xfffffff00974f014: e00314aa  mov	x0, x20
0xfffffff00974f018: f10309aa  mov	x17, x9
0xfffffff00974f01c: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974f020: 11093fd7  blraa	x8, x17
0xfffffff00974f024: e50300aa  mov	x5, x0
0xfffffff00974f028: 243f0012  and	w4, w25, #0xffff
0xfffffff00974f02c: 42f2fe90  adrp	x2, #0xfffffff007597000
0xfffffff00974f030: 42a03a91  add	x2, x2, #0xea8
0xfffffff00974f034: e00315aa  mov	x0, x21
0xfffffff00974f038: e10318aa  mov	x1, x24
0xfffffff00974f03c: a3718052  mov	w3, #0x38d
