; Candidate 8835
; ADRP+ADD at VM 0xfffffff0088d7b94 (fileoff 0x18d3b94): page=0x1fe993000 add_imm=0xd91

0xfffffff0088d7b14: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff0088d7b18: 11093fd7  blraa	x8, x17
0xfffffff0088d7b1c: 16020036  tbz	w22, #0, #0xfffffff0088d7b5c
0xfffffff0088d7b20: 700240f9  ldr	x16, [x19]
0xfffffff0088d7b24: f10313aa  mov	x17, x19
0xfffffff0088d7b28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d7b2c: 301ac1da  autda	x16, x17
0xfffffff0088d7b30: 115480d2  mov	x17, #0x2a0
0xfffffff0088d7b34: 1002118b  add	x16, x16, x17
0xfffffff0088d7b38: 080240f9  ldr	x8, [x16]
0xfffffff0088d7b3c: e90310aa  mov	x9, x16
0xfffffff0088d7b40: e00313aa  mov	x0, x19
0xfffffff0088d7b44: 01008052  mov	w1, #0
0xfffffff0088d7b48: f10309aa  mov	x17, x9
0xfffffff0088d7b4c: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff0088d7b50: 11093fd7  blraa	x8, x17
0xfffffff0088d7b54: 33008052  mov	w19, #1
0xfffffff0088d7b58: 2a000014  b	#0xfffffff0088d7c00
0xfffffff0088d7b5c: 700240f9  ldr	x16, [x19]
0xfffffff0088d7b60: f10313aa  mov	x17, x19
0xfffffff0088d7b64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d7b68: 301ac1da  autda	x16, x17
0xfffffff0088d7b6c: 113d80d2  mov	x17, #0x1e8
0xfffffff0088d7b70: 1002118b  add	x16, x16, x17
0xfffffff0088d7b74: 080240f9  ldr	x8, [x16]
0xfffffff0088d7b78: e90310aa  mov	x9, x16
0xfffffff0088d7b7c: e00313aa  mov	x0, x19
0xfffffff0088d7b80: 010080d2  mov	x1, #0
0xfffffff0088d7b84: f10309aa  mov	x17, x9
0xfffffff0088d7b88: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d7b8c: 11093fd7  blraa	x8, x17
0xfffffff0088d7b90: e06700a9  stp	x0, x25, [sp]
0xfffffff0088d7b94: 804cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d7b98: 00443691  add	x0, x0, #0xd91
0xfffffff0088d7b9c: 21fde997  bl	#0xfffffff008357020
0xfffffff0088d7ba0: f7010034  cbz	w23, #0xfffffff0088d7bdc
0xfffffff0088d7ba4: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff0088d7ba8: 100040f9  ldr	x16, [x0]
0xfffffff0088d7bac: f10300aa  mov	x17, x0
0xfffffff0088d7bb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d7bb4: 301ac1da  autda	x16, x17
0xfffffff0088d7bb8: 115980d2  mov	x17, #0x2c8
0xfffffff0088d7bbc: 1002118b  add	x16, x16, x17
0xfffffff0088d7bc0: 080240f9  ldr	x8, [x16]
0xfffffff0088d7bc4: e90310aa  mov	x9, x16
0xfffffff0088d7bc8: e10313aa  mov	x1, x19
0xfffffff0088d7bcc: 02008052  mov	w2, #0
0xfffffff0088d7bd0: f10309aa  mov	x17, x9
0xfffffff0088d7bd4: f173ecf2  movk	x17, #0x639f, lsl #48
0xfffffff0088d7bd8: 11093fd7  blraa	x8, x17
0xfffffff0088d7bdc: 15010034  cbz	w21, #0xfffffff0088d7bfc
0xfffffff0088d7be0: 48230b91  add	x8, x26, #0x2c8
0xfffffff0088d7be4: 496741f9  ldr	x9, [x26, #0x2c8]
0xfffffff0088d7be8: e00313aa  mov	x0, x19
0xfffffff0088d7bec: e10314aa  mov	x1, x20
0xfffffff0088d7bf0: f10308aa  mov	x17, x8
0xfffffff0088d7bf4: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff0088d7bf8: 31093fd7  blraa	x9, x17
0xfffffff0088d7bfc: 13008052  mov	w19, #0
0xfffffff0088d7c00: e0430191  add	x0, sp, #0x50
0xfffffff0088d7c04: 01018052  mov	w1, #8
0xfffffff0088d7c08: f8a2e997  bl	#0xfffffff0083407e8
0xfffffff0088d7c0c: e00313aa  mov	x0, x19
0xfffffff0088d7c10: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
