; Candidate 15283
; ADRP+ADD at VM 0xfffffff009b486e4 (fileoff 0x2b446e4): page=0x1fdae0000 add_imm=0xed0

0xfffffff009b48664: 40000054  b.eq	#0xfffffff009b4866c
0xfffffff009b48668: 408e38d4  brk	#0xc472
0xfffffff009b4866c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b48670: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b48674: e00314aa  mov	x0, x20
0xfffffff009b48678: 010080d2  mov	x1, #0
0xfffffff009b4867c: f10308aa  mov	x17, x8
0xfffffff009b48680: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b48684: 31093fd7  blraa	x9, x17
0xfffffff009b48688: f70300aa  mov	x23, x0
0xfffffff009b4868c: 900240f9  ldr	x16, [x20]
0xfffffff009b48690: f10314aa  mov	x17, x20
0xfffffff009b48694: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b48698: 301ac1da  autda	x16, x17
0xfffffff009b4869c: f10310aa  mov	x17, x16
0xfffffff009b486a0: f147c1da  xpacd	x17
0xfffffff009b486a4: 1f0211eb  cmp	x16, x17
0xfffffff009b486a8: 40000054  b.eq	#0xfffffff009b486b0
0xfffffff009b486ac: 408e38d4  brk	#0xc472
0xfffffff009b486b0: 08620891  add	x8, x16, #0x218
0xfffffff009b486b4: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b486b8: e00314aa  mov	x0, x20
0xfffffff009b486bc: 010080d2  mov	x1, #0
0xfffffff009b486c0: f10308aa  mov	x17, x8
0xfffffff009b486c4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b486c8: 31093fd7  blraa	x9, x17
0xfffffff009b486cc: e80313aa  mov	x8, x19
0xfffffff009b486d0: fca301a9  stp	x28, x8, [sp, #0x18]
0xfffffff009b486d4: 08d7feb0  adrp	x8, #0xfffffff007629000
0xfffffff009b486d8: 08f11f91  add	x8, x8, #0x7fc
0xfffffff009b486dc: e0a300a9  stp	x0, x8, [sp, #8]
0xfffffff009b486e0: f70300f9  str	x23, [sp]
0xfffffff009b486e4: 00d7fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b486e8: 00403b91  add	x0, x0, #0xed0
0xfffffff009b486ec: 03d7fef0  adrp	x3, #0xfffffff00762b000
0xfffffff009b486f0: 63e43591  add	x3, x3, #0xd79
0xfffffff009b486f4: e10316aa  mov	x1, x22
0xfffffff009b486f8: 02028052  mov	w2, #0x10
0xfffffff009b486fc: 8daa9f97  bl	#0xfffffff008333130
0xfffffff009b48700: dae6ff34  cbz	w26, #0xfffffff009b483d8
0xfffffff009b48704: 88c641b9  ldr	w8, [x20, #0x1c4]
0xfffffff009b48708: 3f03286a  bics	wzr, w25, w8
0xfffffff009b4870c: 41050054  b.ne	#0xfffffff009b487b4
0xfffffff009b48710: e3158e97  bl	#0xfffffff007ecde9c
0xfffffff009b48714: 1f040071  cmp	w0, #1
0xfffffff009b48718: e1040054  b.ne	#0xfffffff009b487b4
0xfffffff009b4871c: 900240f9  ldr	x16, [x20]
0xfffffff009b48720: f10314aa  mov	x17, x20
0xfffffff009b48724: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b48728: 301ac1da  autda	x16, x17
0xfffffff009b4872c: 113d80d2  mov	x17, #0x1e8
0xfffffff009b48730: 1002118b  add	x16, x16, x17
0xfffffff009b48734: 080240f9  ldr	x8, [x16]
0xfffffff009b48738: e90310aa  mov	x9, x16
0xfffffff009b4873c: e00314aa  mov	x0, x20
0xfffffff009b48740: 010080d2  mov	x1, #0
0xfffffff009b48744: f10309aa  mov	x17, x9
0xfffffff009b48748: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4874c: 11093fd7  blraa	x8, x17
0xfffffff009b48750: f60300aa  mov	x22, x0
0xfffffff009b48754: 900240f9  ldr	x16, [x20]
0xfffffff009b48758: f10314aa  mov	x17, x20
0xfffffff009b4875c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b48760: 301ac1da  autda	x16, x17
