; Candidate 199
; ADRP+ADD at VM 0xfffffff007e2f174 (fileoff 0xe2b174): page=0x23c8000 add_imm=0xe2c

0xfffffff007e2f0f4: 63ffff17  b	#0xfffffff007e2ee80
0xfffffff007e2f0f8: e00316aa  mov	x0, x22
0xfffffff007e2f0fc: e10313aa  mov	x1, x19
0xfffffff007e2f100: 99f5fd97  bl	#0xfffffff007dac764
0xfffffff007e2f104: 9effff17  b	#0xfffffff007e2ef7c
0xfffffff007e2f108: e00316aa  mov	x0, x22
0xfffffff007e2f10c: e10313aa  mov	x1, x19
0xfffffff007e2f110: 42008052  mov	w2, #2
0xfffffff007e2f114: 79f2fd97  bl	#0xfffffff007dabaf8
0xfffffff007e2f118: bfffff17  b	#0xfffffff007e2f014
0xfffffff007e2f11c: e00316aa  mov	x0, x22
0xfffffff007e2f120: e10313aa  mov	x1, x19
0xfffffff007e2f124: 90f5fd97  bl	#0xfffffff007dac764
0xfffffff007e2f128: ceffff17  b	#0xfffffff007e2f060
0xfffffff007e2f12c: e00314aa  mov	x0, x20
0xfffffff007e2f130: e10313aa  mov	x1, x19
0xfffffff007e2f134: 42008052  mov	w2, #2
0xfffffff007e2f138: 70f2fd97  bl	#0xfffffff007dabaf8
0xfffffff007e2f13c: d3ffff17  b	#0xfffffff007e2f088
0xfffffff007e2f140: e00314aa  mov	x0, x20
0xfffffff007e2f144: e10313aa  mov	x1, x19
0xfffffff007e2f148: 87f5fd97  bl	#0xfffffff007dac764
0xfffffff007e2f14c: e4ffff17  b	#0xfffffff007e2f0dc
0xfffffff007e2f150: 401e0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e2f154: 00b03891  add	x0, x0, #0xe2c
0xfffffff007e2f158: 34fdfd97  bl	#0xfffffff007dae628
0xfffffff007e2f15c: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e2f160: c9220091  add	x9, x22, #8
0xfffffff007e2f164: e20308aa  mov	x2, x8
0xfffffff007e2f168: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e2f16c: 5f00086b  cmp	w2, w8
0xfffffff007e2f170: 41170054  b.ne	#0xfffffff007e2f458
0xfffffff007e2f174: 401e0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e2f178: 00b03891  add	x0, x0, #0xe2c
0xfffffff007e2f17c: 63fafd97  bl	#0xfffffff007dadb08
0xfffffff007e2f180: 080080d2  mov	x8, #0
0xfffffff007e2f184: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e2f188: 6a4a41b9  ldr	w10, [x19, #0x148]
0xfffffff007e2f18c: 4a050011  add	w10, w10, #1
0xfffffff007e2f190: 6a4a01b9  str	w10, [x19, #0x148]
0xfffffff007e2f194: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007e2f198: 8a220091  add	x10, x20, #8
0xfffffff007e2f19c: 497de8c8  casa	x8, x9, [x10]
0xfffffff007e2f1a0: 1f0100f1  cmp	x8, #0
0xfffffff007e2f1a4: 21160054  b.ne	#0xfffffff007e2f468
0xfffffff007e2f1a8: 886a40b9  ldr	w8, [x20, #0x68]
0xfffffff007e2f1ac: e91c01d0  adrp	x9, #0xfffffff00a1cd000
0xfffffff007e2f1b0: 29094fb9  ldr	w9, [x9, #0xf08]
0xfffffff007e2f1b4: 1f01096b  cmp	w8, w9
0xfffffff007e2f1b8: 82000054  b.hs	#0xfffffff007e2f1c8
0xfffffff007e2f1bc: 88ce4079  ldrh	w8, [x20, #0x66]
0xfffffff007e2f1c0: 1f011071  cmp	w8, #0x400
0xfffffff007e2f1c4: 83000054  b.lo	#0xfffffff007e2f1d4
0xfffffff007e2f1c8: e00314aa  mov	x0, x20
0xfffffff007e2f1cc: e10319aa  mov	x1, x25
0xfffffff007e2f1d0: 06fdff97  bl	#0xfffffff007e2e5e8
0xfffffff007e2f1d4: 88924878  ldurh	w8, [x20, #0x89]
0xfffffff007e2f1d8: 09391f12  and	w9, w8, #0xfffe
0xfffffff007e2f1dc: 89920878  sturh	w9, [x20, #0x89]
0xfffffff007e2f1e0: 9f3e00f9  str	xzr, [x20, #0x78]
0xfffffff007e2f1e4: 08011036  tbz	w8, #2, #0xfffffff007e2f204
0xfffffff007e2f1e8: 49ff9f52  mov	w9, #0xfffa
0xfffffff007e2f1ec: 0801090a  and	w8, w8, w9
0xfffffff007e2f1f0: 88920878  sturh	w8, [x20, #0x89]
