; Candidate 1275
; ADRP+ADD at VM 0xfffffff0083332e4 (fileoff 0x132f2e4): page=0x1e98000 add_imm=0xd24

0xfffffff008333264: ff4302d1  sub	sp, sp, #0x90
0xfffffff008333268: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff00833326c: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008333270: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008333274: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008333278: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00833327c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008333280: fd030291  add	x29, sp, #0x80
0xfffffff008333284: f30305aa  mov	x19, x5
0xfffffff008333288: f60304aa  mov	x22, x4
0xfffffff00833328c: f70303aa  mov	x23, x3
0xfffffff008333290: f50302aa  mov	x21, x2
0xfffffff008333294: f40300aa  mov	x20, x0
0xfffffff008333298: ff0702a9  stp	xzr, x1, [sp, #0x20]
0xfffffff00833329c: e00303aa  mov	x0, x3
0xfffffff0083332a0: 2a10ea97  bl	#0xfffffff007db7348
0xfffffff0083332a4: c0060036  tbz	w0, #0, #0xfffffff00833337c
0xfffffff0083332a8: 48f40090  adrp	x8, #0xfffffff00a1bb000
0xfffffff0083332ac: 19c980b9  ldrsw	x25, [x8, #0xc8]
0xfffffff0083332b0: d7090036  tbz	w23, #0, #0xfffffff0083333e8
0xfffffff0083332b4: 76110034  cbz	w22, #0xfffffff0083334e0
0xfffffff0083332b8: 3f070031  cmn	w25, #1
0xfffffff0083332bc: 20110054  b.eq	#0xfffffff0083334e0
0xfffffff0083332c0: 09008012  mov	w9, #-1
0xfffffff0083332c4: 09c900b9  str	w9, [x8, #0xc8]
0xfffffff0083332c8: 58f40090  adrp	x24, #0xfffffff00a1bb000
0xfffffff0083332cc: 086b40f9  ldr	x8, [x24, #0xd0]
0xfffffff0083332d0: 080540b9  ldr	w8, [x8, #4]
0xfffffff0083332d4: 08090011  add	w8, w8, #2
0xfffffff0083332d8: 1f054071  cmp	w8, #1, lsl #12
0xfffffff0083332dc: 09008252  mov	w9, #0x1000
0xfffffff0083332e0: 1631891a  csel	w22, w8, w9, lo
0xfffffff0083332e4: c0f40090  adrp	x0, #0xfffffff00a1cb000
0xfffffff0083332e8: 00903491  add	x0, x0, #0xd24
0xfffffff0083332ec: 82f0e997  bl	#0xfffffff007daf4f4
0xfffffff0083332f0: e0b1ff90  adrp	x0, #0xfffffff00796f000
0xfffffff0083332f4: 00201a91  add	x0, x0, #0x688
0xfffffff0083332f8: e10316aa  mov	x1, x22
0xfffffff0083332fc: 22008052  mov	w2, #1
0xfffffff008333300: 030080d2  mov	x3, #0
0xfffffff008333304: 7fcce997  bl	#0xfffffff007da6500
0xfffffff008333308: c9f40090  adrp	x9, #0xfffffff00a1cb000
0xfffffff00833330c: 29b13491  add	x9, x9, #0xd2c
0xfffffff008333310: caf40090  adrp	x10, #0xfffffff00a1cb000
0xfffffff008333314: 000d00b4  cbz	x0, #0xfffffff0083334b4
0xfffffff008333318: f70300aa  mov	x23, x0
0xfffffff00833331c: 82d038d5  mrs	x2, tpidr_el1
0xfffffff008333320: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff008333324: 08050011  add	w8, w8, #1
0xfffffff008333328: 484801b9  str	w8, [x2, #0x148]
0xfffffff00833332c: 0820a052  mov	w8, #0x1000000
0xfffffff008333330: 2801a8b8  ldadda	w8, w8, [x9]
0xfffffff008333334: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff008333338: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff00833333c: a1130054  b.ne	#0xfffffff0083335b0
0xfffffff008333340: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff008333344: 48310db9  str	w8, [x10, #0xd30]
0xfffffff008333348: 086b40f9  ldr	x8, [x24, #0xd0]
0xfffffff00833334c: 0c0940f9  ldr	x12, [x8, #0x10]
0xfffffff008333350: 8b01198b  add	x11, x12, x25
0xfffffff008333354: 090980b9  ldrsw	x9, [x8, #8]
0xfffffff008333358: 8901098b  add	x9, x12, x9
0xfffffff00833335c: 290500d1  sub	x9, x9, #1
0xfffffff008333360: 7f0109eb  cmp	x11, x9
