; Candidate 4901
; ADRP+ADD at VM 0xfffffff0087cc4a4 (fileoff 0x17c84a4): page=0x1fea43000 add_imm=0xd2e

0xfffffff0087cc424: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087cc428: 69c98052  mov	w9, #0x64b
0xfffffff0087cc42c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cc430: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc434: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cc438: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cc43c: 68008052  mov	w8, #3
0xfffffff0087cc440: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cc444: 2052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087cc448: 00cc0991  add	x0, x0, #0x273
0xfffffff0087cc44c: 75020014  b	#0xfffffff0087cce20
0xfffffff0087cc450: 60008052  mov	w0, #3
0xfffffff0087cc454: 81008052  mov	w1, #4
0xfffffff0087cc458: debc0294  bl	#0xfffffff00887b7d0
0xfffffff0087cc45c: 404e0034  cbz	w0, #0xfffffff0087cce24
0xfffffff0087cc460: 60008052  mov	w0, #3
0xfffffff0087cc464: edbc0294  bl	#0xfffffff00887b818
0xfffffff0087cc468: f40300aa  mov	x20, x0
0xfffffff0087cc46c: 509f0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc470: f30300aa  mov	x19, x0
0xfffffff0087cc474: 80008052  mov	w0, #4
0xfffffff0087cc478: f6bc0294  bl	#0xfffffff00887b850
0xfffffff0087cc47c: f4100034  cbz	w20, #0xfffffff0087cc698
0xfffffff0087cc480: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc484: 088d3591  add	x8, x8, #0xd63
0xfffffff0087cc488: 49c98052  mov	w9, #0x64a
0xfffffff0087cc48c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cc490: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc494: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cc498: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cc49c: 68008052  mov	w8, #3
0xfffffff0087cc4a0: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cc4a4: 0052fff0  adrp	x0, #0xfffffff00720f000
0xfffffff0087cc4a8: 00b83491  add	x0, x0, #0xd2e
0xfffffff0087cc4ac: 5d020014  b	#0xfffffff0087cce20
0xfffffff0087cc4b0: a00f8052  mov	w0, #0x7d
0xfffffff0087cc4b4: e1008052  mov	w1, #7
0xfffffff0087cc4b8: c6bc0294  bl	#0xfffffff00887b7d0
0xfffffff0087cc4bc: 801b0034  cbz	w0, #0xfffffff0087cc82c
0xfffffff0087cc4c0: a00f8052  mov	w0, #0x7d
0xfffffff0087cc4c4: d5bc0294  bl	#0xfffffff00887b818
0xfffffff0087cc4c8: f40300aa  mov	x20, x0
0xfffffff0087cc4cc: 389f0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc4d0: f50300aa  mov	x21, x0
0xfffffff0087cc4d4: e0008052  mov	w0, #7
0xfffffff0087cc4d8: debc0294  bl	#0xfffffff00887b850
0xfffffff0087cc4dc: d4170034  cbz	w20, #0xfffffff0087cc7d4
0xfffffff0087cc4e0: 683751f9  ldr	x8, [x27, #0x2268]
0xfffffff0087cc4e4: 691b40b9  ldr	w9, [x27, #0x18]
0xfffffff0087cc4e8: 0a2140b9  ldr	w10, [x8, #0x20]
0xfffffff0087cc4ec: 082d4229  ldp	w8, w11, [x8, #0x10]
0xfffffff0087cc4f0: ec031caa  mov	x12, x28
0xfffffff0087cc4f4: ec2303a9  stp	x12, x8, [sp, #0x30]
0xfffffff0087cc4f8: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff0087cc4fc: e02701a9  stp	x0, x9, [sp, #0x10]
0xfffffff0087cc500: a80f8052  mov	w8, #0x7d
0xfffffff0087cc504: 2052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087cc508: 00d00391  add	x0, x0, #0xf4
0xfffffff0087cc50c: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cc510: d4abd797  bl	#0xfffffff007db7460
0xfffffff0087cc514: c6000014  b	#0xfffffff0087cc82c
0xfffffff0087cc518: a00f8052  mov	w0, #0x7d
0xfffffff0087cc51c: e1008052  mov	w1, #7
0xfffffff0087cc520: acbc0294  bl	#0xfffffff00887b7d0
