; Candidate 4980
; ADRP+ADD at VM 0xfffffff0087d035c (fileoff 0x17cc35c): page=0x1fea19000 add_imm=0xe80

0xfffffff0087d02dc: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0087d02e0: c81f8052  mov	w8, #0xfe
0xfffffff0087d02e4: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d02e8: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d02ec: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087d02f0: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d02f4: 08712591  add	x8, x8, #0x95c
0xfffffff0087d02f8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d02fc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d0300: 080a8052  mov	w8, #0x50
0xfffffff0087d0304: 0052ffb0  adrp	x0, #0xfffffff007211000
0xfffffff0087d0308: 00bc0291  add	x0, x0, #0xaf
0xfffffff0087d030c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d0310: 549cd797  bl	#0xfffffff007db7460
0xfffffff0087d0314: d5000014  b	#0xfffffff0087d0668
0xfffffff0087d0318: a58f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d031c: f50300aa  mov	x21, x0
0xfffffff0087d0320: 80008052  mov	w0, #4
0xfffffff0087d0324: 4bad0294  bl	#0xfffffff00887b850
0xfffffff0087d0328: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0087d032c: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0330: 0a012a91  add	x10, x8, #0xa80
0xfffffff0087d0334: 681e8052  mov	w8, #0xf3
0xfffffff0087d0338: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d033c: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d0340: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087d0344: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0348: 08712591  add	x8, x8, #0x95c
0xfffffff0087d034c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d0350: 080a8052  mov	w8, #0x50
0xfffffff0087d0354: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d0358: f50300f9  str	x21, [sp]
0xfffffff0087d035c: c050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d0360: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d0364: c191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d0368: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d036c: 4353ffd0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d0370: 63282b91  add	x3, x3, #0xaca
0xfffffff0087d0374: 02008052  mov	w2, #0
0xfffffff0087d0378: 6e8bed97  bl	#0xfffffff008333130
0xfffffff0087d037c: 70010014  b	#0xfffffff0087d093c
0xfffffff0087d0380: 8b8f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0384: f60300aa  mov	x22, x0
0xfffffff0087d0388: 00018052  mov	w0, #8
0xfffffff0087d038c: 31ad0294  bl	#0xfffffff00887b850
0xfffffff0087d0390: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087d0394: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087d0398: 48188052  mov	w8, #0xc2
0xfffffff0087d039c: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d03a0: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d03a4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d03a8: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d03ac: 08712591  add	x8, x8, #0x95c
0xfffffff0087d03b0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d03b4: 080a8052  mov	w8, #0x50
0xfffffff0087d03b8: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d03bc: c050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d03c0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d03c4: c191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d03c8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d03cc: 4353ffd0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d03d0: 63d82191  add	x3, x3, #0x876
0xfffffff0087d03d4: 02008052  mov	w2, #0
0xfffffff0087d03d8: 568bed97  bl	#0xfffffff008333130
