; Candidate 13066
; ADRP+ADD at VM 0xfffffff0091dca98 (fileoff 0x21d8a98): page=0x113b000 add_imm=0xcf0

0xfffffff0091dca18: 0a16ffd0  adrp	x10, #0xfffffff00749e000
0xfffffff0091dca1c: 4abd1191  add	x10, x10, #0x46f
0xfffffff0091dca20: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0091dca24: e00300f9  str	x0, [sp]
0xfffffff0091dca28: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dca2c: 00783391  add	x0, x0, #0xcde
0xfffffff0091dca30: 8c6aaf97  bl	#0xfffffff007db7460
0xfffffff0091dca34: 150080d2  mov	x21, #0
0xfffffff0091dca38: 86feff17  b	#0xfffffff0091dc450
0xfffffff0091dca3c: 0405ae97  bl	#0xfffffff007d5de4c
0xfffffff0091dca40: 5f2403d5  bti	c
0xfffffff0091dca44: 2c1fc417  b	#0xfffffff0082e46f4
0xfffffff0091dca48: 5f2403d5  bti	c
0xfffffff0091dca4c: 2a1fc417  b	#0xfffffff0082e46f4
0xfffffff0091dca50: 7f2303d5  pacibsp	
0xfffffff0091dca54: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091dca58: fd030091  mov	x29, sp
0xfffffff0091dca5c: c08900f0  adrp	x0, #0xfffffff00a317000
0xfffffff0091dca60: 00003391  add	x0, x0, #0xcc0
0xfffffff0091dca64: 0116ffb0  adrp	x1, #0xfffffff00749d000
0xfffffff0091dca68: 21002491  add	x1, x1, #0x900
0xfffffff0091dca6c: 224dfff0  adrp	x2, #0xfffffff007b83000
0xfffffff0091dca70: 42fc46f9  ldr	x2, [x2, #0xdf8]
0xfffffff0091dca74: 03468252  mov	w3, #0x1230
0xfffffff0091dca78: 301cc497  bl	#0xfffffff0082e3b38
0xfffffff0091dca7c: 504dff90  adrp	x16, #0xfffffff007b84000
0xfffffff0091dca80: 10221391  add	x16, x16, #0x4c8
0xfffffff0091dca84: 10420091  add	x16, x16, #0x10
0xfffffff0091dca88: f10300aa  mov	x17, x0
0xfffffff0091dca8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091dca90: 300ac1da  pacda	x16, x17
0xfffffff0091dca94: 100000f9  str	x16, [x0]
0xfffffff0091dca98: c08900f0  adrp	x0, #0xfffffff00a317000
0xfffffff0091dca9c: 00c03391  add	x0, x0, #0xcf0
0xfffffff0091dcaa0: 0116ffd0  adrp	x1, #0xfffffff00749e000
0xfffffff0091dcaa4: 21080c91  add	x1, x1, #0x302
0xfffffff0091dcaa8: 224dfff0  adrp	x2, #0xfffffff007b83000
0xfffffff0091dcaac: 420447f9  ldr	x2, [x2, #0xe08]
0xfffffff0091dcab0: 036f8052  mov	w3, #0x378
0xfffffff0091dcab4: 211cc497  bl	#0xfffffff0082e3b38
0xfffffff0091dcab8: 504dff90  adrp	x16, #0xfffffff007b84000
0xfffffff0091dcabc: 10c21791  add	x16, x16, #0x5f0
0xfffffff0091dcac0: 10420091  add	x16, x16, #0x10
0xfffffff0091dcac4: f10300aa  mov	x17, x0
0xfffffff0091dcac8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091dcacc: 300ac1da  pacda	x16, x17
0xfffffff0091dcad0: 100000f9  str	x16, [x0]
0xfffffff0091dcad4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091dcad8: ff0f5fd6  retab	
0xfffffff0091dcadc: 7f2303d5  pacibsp	
0xfffffff0091dcae0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091dcae4: fd030091  mov	x29, sp
0xfffffff0091dcae8: c08900f0  adrp	x0, #0xfffffff00a317000
0xfffffff0091dcaec: 00c03391  add	x0, x0, #0xcf0
0xfffffff0091dcaf0: 011fc497  bl	#0xfffffff0082e46f4
0xfffffff0091dcaf4: c08900f0  adrp	x0, #0xfffffff00a317000
0xfffffff0091dcaf8: 00003391  add	x0, x0, #0xcc0
0xfffffff0091dcafc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0091dcb00: ff2303d5  autibsp	
0xfffffff0091dcb04: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0091dcb08: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0091dcb10
0xfffffff0091dcb0c: 208e38d4  brk	#0xc471
0xfffffff0091dcb10: f91ec417  b	#0xfffffff0082e46f4
0xfffffff0091dcb14: 5f2403d5  bti	c
