; Candidate 14636
; ADRP+ADD at VM 0xfffffff0098702ec (fileoff 0x286c2ec): page=0x1fdd59000 add_imm=0xce0

0xfffffff00987026c: 61030054  b.ne	#0xfffffff0098702d8
0xfffffff009870270: 8b2600f9  str	x11, [x20, #0x48]
0xfffffff009870274: 6a821191  add	x10, x19, #0x460
0xfffffff009870278: 690100f9  str	x9, [x11]
0xfffffff00987027c: 490140f9  ldr	x9, [x10]
0xfffffff009870280: 490100b4  cbz	x9, #0xfffffff0098702a8
0xfffffff009870284: 8b2e40f9  ldr	x11, [x20, #0x58]
0xfffffff009870288: 690100f9  str	x9, [x11]
0xfffffff00987028c: 892e40f9  ldr	x9, [x20, #0x58]
0xfffffff009870290: 6b3242f9  ldr	x11, [x19, #0x460]
0xfffffff009870294: 695d00f9  str	x9, [x11, #0xb8]
0xfffffff009870298: 693642f9  ldr	x9, [x19, #0x468]
0xfffffff00987029c: 892e00f9  str	x9, [x20, #0x58]
0xfffffff0098702a0: 7f3202f9  str	xzr, [x19, #0x460]
0xfffffff0098702a4: 6a3602f9  str	x10, [x19, #0x468]
0xfffffff0098702a8: 1f6100f9  str	xzr, [x8, #0xc0]
0xfffffff0098702ac: 085940f9  ldr	x8, [x8, #0xb0]
0xfffffff0098702b0: c8ffffb5  cbnz	x8, #0xfffffff0098702a8
0xfffffff0098702b4: 801240f9  ldr	x0, [x20, #0x20]
0xfffffff0098702b8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0098702bc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0098702c0: ff030191  add	sp, sp, #0x40
0xfffffff0098702c4: ff2303d5  autibsp	
0xfffffff0098702c8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0098702cc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0098702d4
0xfffffff0098702d0: 208e38d4  brk	#0xc471
0xfffffff0098702d4: 1af19417  b	#0xfffffff007dac73c
0xfffffff0098702d8: a86b8052  mov	w8, #0x35d
0xfffffff0098702dc: c9eafeb0  adrp	x9, #0xfffffff0075c9000
0xfffffff0098702e0: 29313391  add	x9, x9, #0xccc
0xfffffff0098702e4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0098702e8: f32300a9  stp	x19, x8, [sp]
0xfffffff0098702ec: c0eafeb0  adrp	x0, #0xfffffff0075c9000
0xfffffff0098702f0: 00803391  add	x0, x0, #0xce0
0xfffffff0098702f4: 8690b097  bl	#0xfffffff00849450c
0xfffffff0098702f8: a86b8052  mov	w8, #0x35d
0xfffffff0098702fc: c9eafeb0  adrp	x9, #0xfffffff0075c9000
0xfffffff009870300: 29313391  add	x9, x9, #0xccc
0xfffffff009870304: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009870308: f32300a9  stp	x19, x8, [sp]
0xfffffff00987030c: c0eafeb0  adrp	x0, #0xfffffff0075c9000
0xfffffff009870310: 00703291  add	x0, x0, #0xc9c
0xfffffff009870314: 7e90b097  bl	#0xfffffff00849450c
0xfffffff009870318: 7f2303d5  pacibsp	
0xfffffff00987031c: ff4302d1  sub	sp, sp, #0x90
0xfffffff009870320: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff009870324: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009870328: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00987032c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009870330: fd030291  add	x29, sp, #0x80
0xfffffff009870334: f30306aa  mov	x19, x6
0xfffffff009870338: e00305aa  mov	x0, x5
0xfffffff00987033c: f40304aa  mov	x20, x4
0xfffffff009870340: f50303aa  mov	x21, x3
0xfffffff009870344: f60302aa  mov	x22, x2
0xfffffff009870348: f70301aa  mov	x23, x1
0xfffffff00987034c: 681fffb0  adrp	x8, #0xfffffff007c5d000
0xfffffff009870350: 08c544f9  ldr	x8, [x8, #0x988]
0xfffffff009870354: 080140f9  ldr	x8, [x8]
0xfffffff009870358: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff00987035c: e61700a9  stp	x6, x5, [sp]
0xfffffff009870360: e1230091  add	x1, sp, #8
0xfffffff009870364: 37919997  bl	#0xfffffff007ed4840
0xfffffff009870368: e1030091  mov	x1, sp
