; Candidate 3919
; ADRP+ADD at VM 0xfffffff008773f38 (fileoff 0x176ff38): page=0x1fe9be000 add_imm=0xd90

0xfffffff008773eb8: 680605b9  str	w8, [x19, #0x504]
0xfffffff008773ebc: 28429552  mov	w8, #0xaa11
0xfffffff008773ec0: 4802a072  movk	w8, #0x12, lsl #16
0xfffffff008773ec4: 68ea05b9  str	w8, [x19, #0x5e8]
0xfffffff008773ec8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008773ecc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008773ed0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008773ed4: ff030191  add	sp, sp, #0x40
0xfffffff008773ed8: ff0f5fd6  retab	
0xfffffff008773edc: 7f2303d5  pacibsp	
0xfffffff008773ee0: ff0301d1  sub	sp, sp, #0x40
0xfffffff008773ee4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008773ee8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008773eec: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008773ef0: fdc30091  add	x29, sp, #0x30
0xfffffff008773ef4: f30300aa  mov	x19, x0
0xfffffff008773ef8: 081041b9  ldr	w8, [x0, #0x110]
0xfffffff008773efc: 090c8052  mov	w9, #0x60
0xfffffff008773f00: 0901099b  madd	x9, x8, x9, x0
0xfffffff008773f04: 2aa94b79  ldrh	w10, [x9, #0x5d4]
0xfffffff008773f08: 0b118052  mov	w11, #0x88
0xfffffff008773f0c: 4a010b9b  madd	x10, x10, x11, x0
0xfffffff008773f10: 54d553a9  ldp	x20, x21, [x10, #0x138]
0xfffffff008773f14: 36ad4b79  ldrh	w22, [x9, #0x5d6]
0xfffffff008773f18: 89364079  ldrh	w9, [x20, #0x1a]
0xfffffff008773f1c: 69000034  cbz	w9, #0xfffffff008773f28
0xfffffff008773f20: 0a0080d2  mov	x10, #0
0xfffffff008773f24: 0f000014  b	#0xfffffff008773f60
0xfffffff008773f28: 68558052  mov	w8, #0x2ab
0xfffffff008773f2c: 294ffff0  adrp	x9, #0xfffffff00715a000
0xfffffff008773f30: 29c90691  add	x9, x9, #0x1b2
0xfffffff008773f34: e92300a9  stp	x9, x8, [sp]
0xfffffff008773f38: e04dffd0  adrp	x0, #0xfffffff007131000
0xfffffff008773f3c: 00403691  add	x0, x0, #0xd90
0xfffffff008773f40: 4194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008773f44: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008773f48: 834effb0  adrp	x3, #0xfffffff007144000
0xfffffff008773f4c: 63380391  add	x3, x3, #0xce
0xfffffff008773f50: 02008052  mov	w2, #0
0xfffffff008773f54: 77fcee97  bl	#0xfffffff008333130
0xfffffff008773f58: 681241b9  ldr	w8, [x19, #0x110]
0xfffffff008773f5c: 0a008012  mov	w10, #-1
0xfffffff008773f60: 090c8052  mov	w9, #0x60
0xfffffff008773f64: 084d099b  madd	x8, x8, x9, x19
0xfffffff008773f68: 09411791  add	x9, x8, #0x5d0
0xfffffff008773f6c: 15d905b9  str	w21, [x8, #0x5d8]
0xfffffff008773f70: 8b0a0a8b  add	x11, x20, x10, lsl #2
0xfffffff008773f74: 6a2140b9  ldr	w10, [x11, #0x20]
0xfffffff008773f78: 4a01150b  add	w10, w10, w21
0xfffffff008773f7c: 0afd05b9  str	w10, [x8, #0x5fc]
0xfffffff008773f80: cc160012  and	w12, w22, #0x3f
0xfffffff008773f84: 1f0106b9  str	wzr, [x8, #0x600]
0xfffffff008773f88: aa021811  add	w10, w21, #0x600
0xfffffff008773f8c: 0a1106b9  str	w10, [x8, #0x610]
0xfffffff008773f90: 8d624039  ldrb	w13, [x20, #0x18]
0xfffffff008773f94: 0ae145b9  ldr	w10, [x8, #0x5e0]
0xfffffff008773f98: aa010033  bfxil	w10, w13, #0, #1
0xfffffff008773f9c: 0ae105b9  str	w10, [x8, #0x5e0]
0xfffffff008773fa0: 8d028352  mov	w13, #0x1814
0xfffffff008773fa4: 8c7d0d1b  mul	w12, w12, w13
0xfffffff008773fa8: 0d248652  mov	w13, #0x3120
0xfffffff008773fac: 2d21a072  movk	w13, #0x109, lsl #16
0xfffffff008773fb0: 8d010d0b  add	w13, w12, w13
0xfffffff008773fb4: 0ded05b9  str	w13, [x8, #0x5ec]
