; Candidate 1234
; ADRP+ADD at VM 0xfffffff0082e2d80 (fileoff 0x12ded80): page=0x1f35000 add_imm=0xda8

0xfffffff0082e2d00: b8f900b0  adrp	x24, #0xfffffff00a217000
0xfffffff0082e2d04: 18c33691  add	x24, x24, #0xdb0
0xfffffff0082e2d08: 097fe8c8  casa	x8, x9, [x24]
0xfffffff0082e2d0c: 1f0100f1  cmp	x8, #0
0xfffffff0082e2d10: 81030054  b.ne	#0xfffffff0082e2d80
0xfffffff0082e2d14: a0f900b0  adrp	x0, #0xfffffff00a217000
0xfffffff0082e2d18: 00e03691  add	x0, x0, #0xdb8
0xfffffff0082e2d1c: 39eae997  bl	#0xfffffff007d5d600
0xfffffff0082e2d20: 1f0015eb  cmp	x0, x21
0xfffffff0082e2d24: 62010054  b.hs	#0xfffffff0082e2d50
0xfffffff0082e2d28: f70300aa  mov	x23, x0
0xfffffff0082e2d2c: a1f900b0  adrp	x1, #0xfffffff00a217000
0xfffffff0082e2d30: 21e03691  add	x1, x1, #0xdb8
0xfffffff0082e2d34: e00316aa  mov	x0, x22
0xfffffff0082e2d38: e20315aa  mov	x2, x21
0xfffffff0082e2d3c: 03008092  mov	x3, #-1
0xfffffff0082e2d40: 3df4ee97  bl	#0xfffffff007e9fe34
0xfffffff0082e2d44: 15008052  mov	w21, #0
0xfffffff0082e2d48: 970200f9  str	x23, [x20]
0xfffffff0082e2d4c: 02000014  b	#0xfffffff0082e2d54
0xfffffff0082e2d50: f5078052  mov	w21, #0x3f
0xfffffff0082e2d54: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff0082e2d58: e20308aa  mov	x2, x8
0xfffffff0082e2d5c: 1fffa288  casl	w2, wzr, [x24]
0xfffffff0082e2d60: 5f00086b  cmp	w2, w8
0xfffffff0082e2d64: a1010054  b.ne	#0xfffffff0082e2d98
0xfffffff0082e2d68: e00315aa  mov	x0, x21
0xfffffff0082e2d6c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0082e2d70: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0082e2d74: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0082e2d78: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0082e2d7c: ff0f5fd6  retab	
0xfffffff0082e2d80: a0f900b0  adrp	x0, #0xfffffff00a217000
0xfffffff0082e2d84: 00a03691  add	x0, x0, #0xda8
0xfffffff0082e2d88: e10313aa  mov	x1, x19
0xfffffff0082e2d8c: 02008052  mov	w2, #0
0xfffffff0082e2d90: 5a23eb97  bl	#0xfffffff007dabaf8
0xfffffff0082e2d94: e0ffff17  b	#0xfffffff0082e2d14
0xfffffff0082e2d98: a0f900b0  adrp	x0, #0xfffffff00a217000
0xfffffff0082e2d9c: 00a03691  add	x0, x0, #0xda8
0xfffffff0082e2da0: e10313aa  mov	x1, x19
0xfffffff0082e2da4: 7026eb97  bl	#0xfffffff007dac764
0xfffffff0082e2da8: f0ffff17  b	#0xfffffff0082e2d68
0xfffffff0082e2dac: 7f2303d5  pacibsp	
0xfffffff0082e2db0: ff4302d1  sub	sp, sp, #0x90
0xfffffff0082e2db4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0082e2db8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0082e2dbc: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0082e2dc0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0082e2dc4: fd030291  add	x29, sp, #0x80
0xfffffff0082e2dc8: f60301aa  mov	x22, x1
0xfffffff0082e2dcc: f70300aa  mov	x23, x0
0xfffffff0082e2dd0: c0b4fff0  adrp	x0, #0xfffffff00797d000
0xfffffff0082e2dd4: 00c02691  add	x0, x0, #0x9b0
0xfffffff0082e2dd8: 81008052  mov	w1, #4
0xfffffff0082e2ddc: 3e10eb97  bl	#0xfffffff007da6ed4
0xfffffff0082e2de0: f40300aa  mov	x20, x0
0xfffffff0082e2de4: 080080d2  mov	x8, #0
0xfffffff0082e2de8: 93d038d5  mrs	x19, tpidr_el1
0xfffffff0082e2dec: 130800f9  str	x19, [x0, #0x10]
0xfffffff0082e2df0: 17580329  stp	w23, w22, [x0, #0x18]
0xfffffff0082e2df4: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff0082e2df8: 6a4a41b9  ldr	w10, [x19, #0x148]
0xfffffff0082e2dfc: 4a050011  add	w10, w10, #1
