; Candidate 4207
; ADRP+ADD at VM 0xfffffff0087967b0 (fileoff 0x17927b0): page=0x1fe99b000 add_imm=0xd90

0xfffffff008796730: 284effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008796734: 084d0791  add	x8, x8, #0x1d3
0xfffffff008796738: e80300f9  str	x8, [sp]
0xfffffff00879673c: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796740: 00403691  add	x0, x0, #0xd90
0xfffffff008796744: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796748: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879674c: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796750: 63101d91  add	x3, x3, #0x744
0xfffffff008796754: 02008052  mov	w2, #0
0xfffffff008796758: 7672ee97  bl	#0xfffffff008333130
0xfffffff00879675c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008796760: ff830091  add	sp, sp, #0x20
0xfffffff008796764: ff0f5fd6  retab	
0xfffffff008796768: 7f2303d5  pacibsp	
0xfffffff00879676c: ff8300d1  sub	sp, sp, #0x20
0xfffffff008796770: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008796774: fd430091  add	x29, sp, #0x10
0xfffffff008796778: 2944238b  add	x9, x1, w3, uxtw #1
0xfffffff00879677c: 282d4078  ldrh	w8, [x9, #2]!
0xfffffff008796780: 1f7d0071  cmp	w8, #0x1f
0xfffffff008796784: 08010054  b.hi	#0xfffffff0087967a4
0xfffffff008796788: ea03032a  mov	w10, w3
0xfffffff00879678c: 2a180a8b  add	x10, x1, x10, lsl #6
0xfffffff008796790: 4a05088b  add	x10, x10, x8, lsl #1
0xfffffff008796794: 420d0079  strh	w2, [x10, #6]
0xfffffff008796798: 08050011  add	w8, w8, #1
0xfffffff00879679c: 28010079  strh	w8, [x9]
0xfffffff0087967a0: 0c000014  b	#0xfffffff0087967d0
0xfffffff0087967a4: 294effb0  adrp	x9, #0xfffffff00715b000
0xfffffff0087967a8: 29c10791  add	x9, x9, #0x1f0
0xfffffff0087967ac: e92300a9  stp	x9, x8, [sp]
0xfffffff0087967b0: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087967b4: 00403691  add	x0, x0, #0xd90
0xfffffff0087967b8: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087967bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087967c0: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff0087967c4: 63741d91  add	x3, x3, #0x75d
0xfffffff0087967c8: 02008052  mov	w2, #0
0xfffffff0087967cc: 5972ee97  bl	#0xfffffff008333130
0xfffffff0087967d0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087967d4: ff830091  add	sp, sp, #0x20
0xfffffff0087967d8: ff0f5fd6  retab	
0xfffffff0087967dc: 5f2403d5  bti	c
0xfffffff0087967e0: 085082b9  ldrsw	x8, [x0, #0x250]
0xfffffff0087967e4: 1f7d0071  cmp	w8, #0x1f
0xfffffff0087967e8: cc000054  b.gt	#0xfffffff008796800
0xfffffff0087967ec: 0808088b  add	x8, x0, x8, lsl #2
0xfffffff0087967f0: 015502b9  str	w1, [x8, #0x254]
0xfffffff0087967f4: 085042b9  ldr	w8, [x0, #0x250]
0xfffffff0087967f8: 08050011  add	w8, w8, #1
0xfffffff0087967fc: 085002b9  str	w8, [x0, #0x250]
0xfffffff008796800: c0035fd6  ret	
0xfffffff008796804: 5f2403d5  bti	c
0xfffffff008796808: 08986ab9  ldr	w8, [x0, #0x2a98]
0xfffffff00879680c: 280000b9  str	w8, [x1]
0xfffffff008796810: 089c6ab9  ldr	w8, [x0, #0x2a9c]
0xfffffff008796814: 480000b9  str	w8, [x2]
0xfffffff008796818: c0035fd6  ret	
0xfffffff00879681c: 5f2403d5  bti	c
0xfffffff008796820: 08a86ab9  ldr	w8, [x0, #0x2aa8]
0xfffffff008796824: 280000b9  str	w8, [x1]
0xfffffff008796828: c0035fd6  ret	
0xfffffff00879682c: 5f2403d5  bti	c
