; Candidate 5392
; ADRP+ADD at VM 0xfffffff0087ed9a8 (fileoff 0x17e99a8): page=0x1fe9fc000 add_imm=0xe80

0xfffffff0087ed928: bc370294  bl	#0xfffffff00887b818
0xfffffff0087ed92c: fa0300aa  mov	x26, x0
0xfffffff0087ed930: 1f1a0394  bl	#0xfffffff0088b41ac
0xfffffff0087ed934: f90300aa  mov	x25, x0
0xfffffff0087ed938: e0008052  mov	w0, #7
0xfffffff0087ed93c: c5370294  bl	#0xfffffff00887b850
0xfffffff0087ed940: ba010034  cbz	w26, #0xfffffff0087ed974
0xfffffff0087ed944: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0087ed948: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087ed94c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087ed950: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087ed954: 08fd1d91  add	x8, x8, #0x77f
0xfffffff0087ed958: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ed95c: 080f8052  mov	w8, #0x78
0xfffffff0087ed960: 2051fff0  adrp	x0, #0xfffffff007214000
0xfffffff0087ed964: 00401d91  add	x0, x0, #0x750
0xfffffff0087ed968: f92300a9  stp	x25, x8, [sp]
0xfffffff0087ed96c: bd26d797  bl	#0xfffffff007db7460
0xfffffff0087ed970: 16000014  b	#0xfffffff0087ed9c8
0xfffffff0087ed974: 0e1a0394  bl	#0xfffffff0088b41ac
0xfffffff0087ed978: f90300aa  mov	x25, x0
0xfffffff0087ed97c: e0008052  mov	w0, #7
0xfffffff0087ed980: b4370294  bl	#0xfffffff00887b850
0xfffffff0087ed984: e80318aa  mov	x8, x24
0xfffffff0087ed988: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff0087ed98c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087ed990: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087ed994: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087ed998: 08fd1d91  add	x8, x8, #0x77f
0xfffffff0087ed99c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ed9a0: 080f8052  mov	w8, #0x78
0xfffffff0087ed9a4: f92300a9  stp	x25, x8, [sp]
0xfffffff0087ed9a8: e04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ed9ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ed9b0: c190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ed9b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ed9b8: 8352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087ed9bc: 63c00091  add	x3, x3, #0x30
0xfffffff0087ed9c0: 02008052  mov	w2, #0
0xfffffff0087ed9c4: db15ed97  bl	#0xfffffff008333130
0xfffffff0087ed9c8: e00318aa  mov	x0, x24
0xfffffff0087ed9cc: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0087ed9d0: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0087ed9d4: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0087ed9d8: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0087ed9dc: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0087ed9e0: ffc30291  add	sp, sp, #0xb0
0xfffffff0087ed9e4: ff0f5fd6  retab	
0xfffffff0087ed9e8: 7f2303d5  pacibsp	
0xfffffff0087ed9ec: ffc303d1  sub	sp, sp, #0xf0
0xfffffff0087ed9f0: fc6f09a9  stp	x28, x27, [sp, #0x90]
0xfffffff0087ed9f4: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff0087ed9f8: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff0087ed9fc: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff0087eda00: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff0087eda04: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff0087eda08: fd830391  add	x29, sp, #0xe0
0xfffffff0087eda0c: f70304aa  mov	x23, x4
0xfffffff0087eda10: fa0303aa  mov	x26, x3
0xfffffff0087eda14: f60302aa  mov	x22, x2
0xfffffff0087eda18: f40301aa  mov	x20, x1
0xfffffff0087eda1c: f30300aa  mov	x19, x0
0xfffffff0087eda20: 000f8052  mov	w0, #0x78
0xfffffff0087eda24: e1008052  mov	w1, #7
