; Candidate 13586
; ADRP+ADD at VM 0xfffffff0093ac698 (fileoff 0x23a8698): page=0x1fe156000 add_imm=0xd20

0xfffffff0093ac618: b57e0090  adrp	x21, #0xfffffff00a380000
0xfffffff0093ac61c: b5622b91  add	x21, x21, #0xad8
0xfffffff0093ac620: e00315aa  mov	x0, x21
0xfffffff0093ac624: cde0bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac628: 900240f9  ldr	x16, [x20]
0xfffffff0093ac62c: f10314aa  mov	x17, x20
0xfffffff0093ac630: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ac634: 301ac1da  autda	x16, x17
0xfffffff0093ac638: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ac63c: e90310aa  mov	x9, x16
0xfffffff0093ac640: e00314aa  mov	x0, x20
0xfffffff0093ac644: f10309aa  mov	x17, x9
0xfffffff0093ac648: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ac64c: 11093fd7  blraa	x8, x17
0xfffffff0093ac650: c2e0bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac654: e00315aa  mov	x0, x21
0xfffffff0093ac658: c0e0bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac65c: f50300aa  mov	x21, x0
0xfffffff0093ac660: 900240f9  ldr	x16, [x20]
0xfffffff0093ac664: f10314aa  mov	x17, x20
0xfffffff0093ac668: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ac66c: 301ac1da  autda	x16, x17
0xfffffff0093ac670: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ac674: e90310aa  mov	x9, x16
0xfffffff0093ac678: e00314aa  mov	x0, x20
0xfffffff0093ac67c: f10309aa  mov	x17, x9
0xfffffff0093ac680: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ac684: 11093fd7  blraa	x8, x17
0xfffffff0093ac688: b4e0bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac68c: 680240b9  ldr	w8, [x19]
0xfffffff0093ac690: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0093ac694: f55b00a9  stp	x21, x22, [sp]
0xfffffff0093ac698: a00affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093ac69c: 00803491  add	x0, x0, #0xd20
0xfffffff0093ac6a0: e140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ac6a4: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ac6a8: c30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093ac6ac: 63002391  add	x3, x3, #0x8c0
0xfffffff0093ac6b0: 22008052  mov	w2, #1
0xfffffff0093ac6b4: 9f1abe97  bl	#0xfffffff008333130
0xfffffff0093ac6b8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0093ac6bc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0093ac6c0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0093ac6c4: ff830191  add	sp, sp, #0x60
0xfffffff0093ac6c8: ff0f5fd6  retab	
0xfffffff0093ac6cc: a07e0090  adrp	x0, #0xfffffff00a380000
0xfffffff0093ac6d0: 00602b91  add	x0, x0, #0xad8
0xfffffff0093ac6d4: a1e0bc97  bl	#0xfffffff0082e4958
0xfffffff0093ac6d8: e05b00a9  stp	x0, x22, [sp]
0xfffffff0093ac6dc: a00afff0  adrp	x0, #0xfffffff007503000
0xfffffff0093ac6e0: 006c2591  add	x0, x0, #0x95b
0xfffffff0093ac6e4: 4faabe97  bl	#0xfffffff008357020
0xfffffff0093ac6e8: ccffff17  b	#0xfffffff0093ac618
0xfffffff0093ac6ec: 7f2303d5  pacibsp	
0xfffffff0093ac6f0: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0093ac6f4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0093ac6f8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0093ac6fc: fd830091  add	x29, sp, #0x20
0xfffffff0093ac700: 28781f12  and	w8, w1, #0xfffffffe
0xfffffff0093ac704: 1f090071  cmp	w8, #2
0xfffffff0093ac708: c1080054  b.ne	#0xfffffff0093ac820
0xfffffff0093ac70c: f30302aa  mov	x19, x2
0xfffffff0093ac710: f40301aa  mov	x20, x1
0xfffffff0093ac714: d80a0c94  bl	#0xfffffff0096af274
