; Candidate 15660
; ADRP+ADD at VM 0xfffffff009c86c08 (fileoff 0x2c82c08): page=0x1fe072000 add_imm=0xcf8

0xfffffff009c86b88: 10621c91  add	x16, x16, #0x718
0xfffffff009c86b8c: 10420091  add	x16, x16, #0x10
0xfffffff009c86b90: f10300aa  mov	x17, x0
0xfffffff009c86b94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c86b98: 300ac1da  pacda	x16, x17
0xfffffff009c86b9c: 100000f9  str	x16, [x0]
0xfffffff009c86ba0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c86ba4: ff0f5fd6  retab	
0xfffffff009c86ba8: 5f2403d5  bti	c
0xfffffff009c86bac: e5f49b17  b	#0xfffffff008383f40
0xfffffff009c86bb0: 5f2403d5  bti	c
0xfffffff009c86bb4: e3f49b17  b	#0xfffffff008383f40
0xfffffff009c86bb8: 7f2303d5  pacibsp	
0xfffffff009c86bbc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c86bc0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c86bc4: fd430091  add	x29, sp, #0x10
0xfffffff009c86bc8: f30300aa  mov	x19, x0
0xfffffff009c86bcc: ddf49b97  bl	#0xfffffff008383f40
0xfffffff009c86bd0: 8003ffd0  adrp	x0, #0xfffffff007cf8000
0xfffffff009c86bd4: 00e03391  add	x0, x0, #0xcf8
0xfffffff009c86bd8: e10313aa  mov	x1, x19
0xfffffff009c86bdc: 02118052  mov	w2, #0x88
0xfffffff009c86be0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c86be4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c86be8: ff2303d5  autibsp	
0xfffffff009c86bec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009c86bf0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009c86bf8
0xfffffff009c86bf4: 208e38d4  brk	#0xc471
0xfffffff009c86bf8: a9829917  b	#0xfffffff0082e769c
0xfffffff009c86bfc: 5f2403d5  bti	c
0xfffffff009c86c00: e20301aa  mov	x2, x1
0xfffffff009c86c04: e10300aa  mov	x1, x0
0xfffffff009c86c08: 8003ffd0  adrp	x0, #0xfffffff007cf8000
0xfffffff009c86c0c: 00e03391  add	x0, x0, #0xcf8
0xfffffff009c86c10: a3829917  b	#0xfffffff0082e769c
0xfffffff009c86c14: 5f2403d5  bti	c
0xfffffff009c86c18: a03900b0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009c86c1c: 00e01c91  add	x0, x0, #0x738
0xfffffff009c86c20: c0035fd6  ret	
0xfffffff009c86c24: 7f2303d5  pacibsp	
0xfffffff009c86c28: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c86c2c: fd030091  mov	x29, sp
0xfffffff009c86c30: 81cefed0  adrp	x1, #0xfffffff007658000
0xfffffff009c86c34: 21403191  add	x1, x1, #0xc50
0xfffffff009c86c38: 8203ffd0  adrp	x2, #0xfffffff007cf8000
0xfffffff009c86c3c: 426843f9  ldr	x2, [x2, #0x6d0]
0xfffffff009c86c40: 03118052  mov	w3, #0x88
0xfffffff009c86c44: bd739997  bl	#0xfffffff0082e3b38
0xfffffff009c86c48: 9003ffd0  adrp	x16, #0xfffffff007cf8000
0xfffffff009c86c4c: 10c23191  add	x16, x16, #0xc70
0xfffffff009c86c50: 10420091  add	x16, x16, #0x10
0xfffffff009c86c54: f10300aa  mov	x17, x0
0xfffffff009c86c58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c86c5c: 300ac1da  pacda	x16, x17
0xfffffff009c86c60: 100000f9  str	x16, [x0]
0xfffffff009c86c64: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c86c68: ff0f5fd6  retab	
0xfffffff009c86c6c: 7f2303d5  pacibsp	
0xfffffff009c86c70: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c86c74: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c86c78: fd430091  add	x29, sp, #0x10
0xfffffff009c86c7c: 8003ffd0  adrp	x0, #0xfffffff007cf8000
0xfffffff009c86c80: 00e03391  add	x0, x0, #0xcf8
0xfffffff009c86c84: 01118052  mov	w1, #0x88
