; Candidate 8326
; ADRP+ADD at VM 0xfffffff0088a38d0 (fileoff 0x189f8d0): page=0x1fe98e000 add_imm=0xdc0

0xfffffff0088a3850: 14008052  mov	w20, #0
0xfffffff0088a3854: 42000014  b	#0xfffffff0088a395c
0xfffffff0088a3858: f40300aa  mov	x20, x0
0xfffffff0088a385c: 600f8052  mov	w0, #0x7b
0xfffffff0088a3860: 81008052  mov	w1, #4
0xfffffff0088a3864: db5fff97  bl	#0xfffffff00887b7d0
0xfffffff0088a3868: a0070034  cbz	w0, #0xfffffff0088a395c
0xfffffff0088a386c: 600f8052  mov	w0, #0x7b
0xfffffff0088a3870: ea5fff97  bl	#0xfffffff00887b818
0xfffffff0088a3874: f60300aa  mov	x22, x0
0xfffffff0088a3878: 4d420094  bl	#0xfffffff0088b41ac
0xfffffff0088a387c: f50300aa  mov	x21, x0
0xfffffff0088a3880: 80008052  mov	w0, #4
0xfffffff0088a3884: f35fff97  bl	#0xfffffff00887b850
0xfffffff0088a3888: f6020034  cbz	w22, #0xfffffff0088a38e4
0xfffffff0088a388c: 680240b9  ldr	w8, [x19]
0xfffffff0088a3890: e90240b9  ldr	w9, [x23]
0xfffffff0088a3894: ea1640b9  ldr	w10, [x23, #0x14]
0xfffffff0088a3898: 6b008052  mov	w11, #3
0xfffffff0088a389c: ea2f05a9  stp	x10, x11, [sp, #0x50]
0xfffffff0088a38a0: 6a4bffb0  adrp	x10, #0xfffffff007210000
0xfffffff0088a38a4: 4ab92791  add	x10, x10, #0x9ee
0xfffffff0088a38a8: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088a38ac: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff0088a38b0: e8228052  mov	w8, #0x117
0xfffffff0088a38b4: 094cffb0  adrp	x9, #0xfffffff007224000
0xfffffff0088a38b8: 29611891  add	x9, x9, #0x618
0xfffffff0088a38bc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a38c0: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a38c4: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a38c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a38cc: 680f8052  mov	w8, #0x7b
0xfffffff0088a38d0: 604cffd0  adrp	x0, #0xfffffff007231000
0xfffffff0088a38d4: 00003791  add	x0, x0, #0xdc0
0xfffffff0088a38d8: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a38dc: e14ed497  bl	#0xfffffff007db7460
0xfffffff0088a38e0: 1f000014  b	#0xfffffff0088a395c
0xfffffff0088a38e4: 32420094  bl	#0xfffffff0088b41ac
0xfffffff0088a38e8: f50300aa  mov	x21, x0
0xfffffff0088a38ec: 80008052  mov	w0, #4
0xfffffff0088a38f0: d85fff97  bl	#0xfffffff00887b850
0xfffffff0088a38f4: 680240b9  ldr	w8, [x19]
0xfffffff0088a38f8: e90240b9  ldr	w9, [x23]
0xfffffff0088a38fc: ea1640b9  ldr	w10, [x23, #0x14]
0xfffffff0088a3900: 6b008052  mov	w11, #3
0xfffffff0088a3904: ea2f05a9  stp	x10, x11, [sp, #0x50]
0xfffffff0088a3908: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff0088a390c: 684bffb0  adrp	x8, #0xfffffff007210000
0xfffffff0088a3910: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088a3914: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a3918: e8228052  mov	w8, #0x117
0xfffffff0088a391c: 094cffb0  adrp	x9, #0xfffffff007224000
0xfffffff0088a3920: 29611891  add	x9, x9, #0x618
0xfffffff0088a3924: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a3928: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a392c: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a3930: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a3934: 680f8052  mov	w8, #0x7b
0xfffffff0088a3938: e34dffd0  adrp	x3, #0xfffffff007261000
0xfffffff0088a393c: 63043a91  add	x3, x3, #0xe81
0xfffffff0088a3940: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a3944: 204affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a3948: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a394c: 218bffb0  adrp	x1, #0xfffffff007a08000
