; Candidate 5203
; ADRP+ADD at VM 0xfffffff0087df3fc (fileoff 0x17db3fc): page=0x1fea0a000 add_imm=0xe80

0xfffffff0087df37c: 37020034  cbz	w23, #0xfffffff0087df3c0
0xfffffff0087df380: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087df384: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087df388: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087df38c: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df390: 09b53591  add	x9, x8, #0xd6d
0xfffffff0087df394: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df398: 081d0291  add	x8, x8, #0x87
0xfffffff0087df39c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087df3a0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087df3a4: 280a8052  mov	w8, #0x51
0xfffffff0087df3a8: 8051fff0  adrp	x0, #0xfffffff007212000
0xfffffff0087df3ac: 000c2191  add	x0, x0, #0x843
0xfffffff0087df3b0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087df3b4: 2b60d797  bl	#0xfffffff007db7460
0xfffffff0087df3b8: 540300b5  cbnz	x20, #0xfffffff0087df420
0xfffffff0087df3bc: 22000014  b	#0xfffffff0087df444
0xfffffff0087df3c0: 7b530394  bl	#0xfffffff0088b41ac
0xfffffff0087df3c4: f60300aa  mov	x22, x0
0xfffffff0087df3c8: e0008052  mov	w0, #7
0xfffffff0087df3cc: 21710294  bl	#0xfffffff00887b850
0xfffffff0087df3d0: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087df3d4: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087df3d8: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087df3dc: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df3e0: 09b53591  add	x9, x8, #0xd6d
0xfffffff0087df3e4: 8851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087df3e8: 081d0291  add	x8, x8, #0x87
0xfffffff0087df3ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087df3f0: 280a8052  mov	w8, #0x51
0xfffffff0087df3f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087df3f8: f60300f9  str	x22, [sp]
0xfffffff0087df3fc: 4050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087df400: 00003a91  add	x0, x0, #0xe80
0xfffffff0087df404: 4191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087df408: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087df40c: e352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087df410: 63241591  add	x3, x3, #0x549
0xfffffff0087df414: 02008052  mov	w2, #0
0xfffffff0087df418: 464fed97  bl	#0xfffffff008333130
0xfffffff0087df41c: 540100b4  cbz	x20, #0xfffffff0087df444
0xfffffff0087df420: 350100b4  cbz	x21, #0xfffffff0087df444
0xfffffff0087df424: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff0087df428: c00400b4  cbz	x0, #0xfffffff0087df4c0
0xfffffff0087df42c: 68aa40f9  ldr	x8, [x19, #0x150]
0xfffffff0087df430: 880400b4  cbz	x8, #0xfffffff0087df4c0
0xfffffff0087df434: 01008012  mov	w1, #-1
0xfffffff0087df438: fad6ff97  bl	#0xfffffff0087d5020
0xfffffff0087df43c: f60300aa  mov	x22, x0
0xfffffff0087df440: 7c000014  b	#0xfffffff0087df630
0xfffffff0087df444: 200a8052  mov	w0, #0x51
0xfffffff0087df448: 81008052  mov	w1, #4
0xfffffff0087df44c: e1700294  bl	#0xfffffff00887b7d0
0xfffffff0087df450: 000b0034  cbz	w0, #0xfffffff0087df5b0
0xfffffff0087df454: 200a8052  mov	w0, #0x51
0xfffffff0087df458: f0700294  bl	#0xfffffff00887b818
0xfffffff0087df45c: f70300aa  mov	x23, x0
0xfffffff0087df460: 53530394  bl	#0xfffffff0088b41ac
0xfffffff0087df464: f60300aa  mov	x22, x0
0xfffffff0087df468: 80008052  mov	w0, #4
0xfffffff0087df46c: f9700294  bl	#0xfffffff00887b850
0xfffffff0087df470: b7060034  cbz	w23, #0xfffffff0087df544
0xfffffff0087df474: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087df478: f4d704a9  stp	x20, x21, [sp, #0x48]
