; Candidate 6171
; ADRP+ADD at VM 0xfffffff008818404 (fileoff 0x1814404): page=0x1fe9fb000 add_imm=0xd2e

0xfffffff008818384: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008818388: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00881838c: ffc30291  add	sp, sp, #0xb0
0xfffffff008818390: ff0f5fd6  retab	
0xfffffff008818394: a2ac0294  bl	#0xfffffff0088c361c
0xfffffff008818398: 7f2303d5  pacibsp	
0xfffffff00881839c: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088183a0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088183a4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088183a8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088183ac: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088183b0: fdc30191  add	x29, sp, #0x70
0xfffffff0088183b4: f40301aa  mov	x20, x1
0xfffffff0088183b8: f30300aa  mov	x19, x0
0xfffffff0088183bc: 800e8052  mov	w0, #0x74
0xfffffff0088183c0: c1008052  mov	w1, #6
0xfffffff0088183c4: 038d0194  bl	#0xfffffff00887b7d0
0xfffffff0088183c8: 40020034  cbz	w0, #0xfffffff008818410
0xfffffff0088183cc: 800e8052  mov	w0, #0x74
0xfffffff0088183d0: 128d0194  bl	#0xfffffff00887b818
0xfffffff0088183d4: f60300aa  mov	x22, x0
0xfffffff0088183d8: 756f0294  bl	#0xfffffff0088b41ac
0xfffffff0088183dc: f50300aa  mov	x21, x0
0xfffffff0088183e0: c0008052  mov	w0, #6
0xfffffff0088183e4: 1b8d0194  bl	#0xfffffff00887b850
0xfffffff0088183e8: b6020034  cbz	w22, #0xfffffff00881843c
0xfffffff0088183ec: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088183f0: 2850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff0088183f4: 08413f91  add	x8, x8, #0xfd0
0xfffffff0088183f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088183fc: 880e8052  mov	w8, #0x74
0xfffffff008818400: f52300a9  stp	x21, x8, [sp]
0xfffffff008818404: c04ffff0  adrp	x0, #0xfffffff007213000
0xfffffff008818408: 00b83491  add	x0, x0, #0xd2e
0xfffffff00881840c: 157cd697  bl	#0xfffffff007db7460
0xfffffff008818410: d30300b4  cbz	x19, #0xfffffff008818488
0xfffffff008818414: b40300b4  cbz	x20, #0xfffffff008818488
0xfffffff008818418: 48018452  mov	w8, #0x200a
0xfffffff00881841c: e801a072  movk	w8, #0xf, lsl #16
0xfffffff008818420: 29008052  mov	w9, #1
0xfffffff008818424: 696a2838  strb	w9, [x19, x8]
0xfffffff008818428: e00313aa  mov	x0, x19
0xfffffff00881842c: e10314aa  mov	x1, x20
0xfffffff008818430: d5feff97  bl	#0xfffffff008817f84
0xfffffff008818434: f50300aa  mov	x21, x0
0xfffffff008818438: 45000014  b	#0xfffffff00881854c
0xfffffff00881843c: 5c6f0294  bl	#0xfffffff0088b41ac
0xfffffff008818440: f50300aa  mov	x21, x0
0xfffffff008818444: c0008052  mov	w0, #6
0xfffffff008818448: 028d0194  bl	#0xfffffff00887b850
0xfffffff00881844c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008818450: 2850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff008818454: 08413f91  add	x8, x8, #0xfd0
0xfffffff008818458: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881845c: 880e8052  mov	w8, #0x74
0xfffffff008818460: f52300a9  stp	x21, x8, [sp]
0xfffffff008818464: 804effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008818468: 00003a91  add	x0, x0, #0xe80
0xfffffff00881846c: 818fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008818470: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008818474: 8351ff90  adrp	x3, #0xfffffff007248000
0xfffffff008818478: 63783891  add	x3, x3, #0xe1e
0xfffffff00881847c: 02008052  mov	w2, #0
0xfffffff008818480: 2c6bec97  bl	#0xfffffff008333130
