; Candidate 1440
; ADRP+ADD at VM 0xfffffff0083e35a4 (fileoff 0x13df5a4): page=0x1ff59c000 add_imm=0xe30

0xfffffff0083e3524: 21383891  add	x1, x1, #0xe0e
0xfffffff0083e3528: a2f100f0  adrp	x2, #0xfffffff00a21a000
0xfffffff0083e352c: 42e02391  add	x2, x2, #0x8f8
0xfffffff0083e3530: 03178052  mov	w3, #0xb8
0xfffffff0083e3534: 8101fc97  bl	#0xfffffff0082e3b38
0xfffffff0083e3538: b0aaffb0  adrp	x16, #0xfffffff007938000
0xfffffff0083e353c: 10e20b91  add	x16, x16, #0x2f8
0xfffffff0083e3540: 10420091  add	x16, x16, #0x10
0xfffffff0083e3544: f10300aa  mov	x17, x0
0xfffffff0083e3548: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083e354c: 300ac1da  pacda	x16, x17
0xfffffff0083e3550: 100000f9  str	x16, [x0]
0xfffffff0083e3554: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0083e3558: ff0f5fd6  retab	
0xfffffff0083e355c: 7f2303d5  pacibsp	
0xfffffff0083e3560: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0083e3564: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0083e3568: fd430091  add	x29, sp, #0x10
0xfffffff0083e356c: f30300aa  mov	x19, x0
0xfffffff0083e3570: e8acff90  adrp	x8, #0xfffffff00797f000
0xfffffff0083e3574: 085d4eb9  ldr	w8, [x8, #0xe5c]
0xfffffff0083e3578: 085d4092  and	x8, x8, #0xffffff
0xfffffff0083e357c: 1f0100eb  cmp	x8, x0
0xfffffff0083e3580: 22010054  b.hs	#0xfffffff0083e35a4
0xfffffff0083e3584: 40aaffd0  adrp	x0, #0xfffffff00792d000
0xfffffff0083e3588: 00c01c91  add	x0, x0, #0x730
0xfffffff0083e358c: e10313aa  mov	x1, x19
0xfffffff0083e3590: 82008252  mov	w2, #0x1004
0xfffffff0083e3594: 8200a072  movk	w2, #4, lsl #16
0xfffffff0083e3598: 030080d2  mov	x3, #0
0xfffffff0083e359c: d90be797  bl	#0xfffffff007da6500
0xfffffff0083e35a0: 05000014  b	#0xfffffff0083e35b4
0xfffffff0083e35a4: e0acff90  adrp	x0, #0xfffffff00797f000
0xfffffff0083e35a8: 00c03891  add	x0, x0, #0xe30
0xfffffff0083e35ac: 81008052  mov	w1, #4
0xfffffff0083e35b0: 040de797  bl	#0xfffffff007da69c0
0xfffffff0083e35b4: a8f100f0  adrp	x8, #0xfffffff00a21a000
0xfffffff0083e35b8: 08c10191  add	x8, x8, #0x70
0xfffffff0083e35bc: 080133f8  ldadd	x19, x8, [x8]
0xfffffff0083e35c0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0083e35c4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0083e35c8: ff0f5fd6  retab	
0xfffffff0083e35cc: 5f2403d5  bti	c
0xfffffff0083e35d0: e20301aa  mov	x2, x1
0xfffffff0083e35d4: e10300aa  mov	x1, x0
0xfffffff0083e35d8: e0acff90  adrp	x0, #0xfffffff00797f000
0xfffffff0083e35dc: 00c03891  add	x0, x0, #0xe30
0xfffffff0083e35e0: 2f10fc17  b	#0xfffffff0082e769c
0xfffffff0083e35e4: 7f2303d5  pacibsp	
0xfffffff0083e35e8: ff0302d1  sub	sp, sp, #0x80
0xfffffff0083e35ec: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff0083e35f0: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0083e35f4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0083e35f8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0083e35fc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0083e3600: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0083e3604: fdc30191  add	x29, sp, #0x70
0xfffffff0083e3608: 28f300b0  adrp	x8, #0xfffffff00a248000
0xfffffff0083e360c: 132140f9  ldr	x19, [x8, #0x40]
0xfffffff0083e3610: 3d9be797  bl	#0xfffffff007dca304
0xfffffff0083e3614: e00313aa  mov	x0, x19
0xfffffff0083e3618: e1028052  mov	w1, #0x17
0xfffffff0083e361c: 44fd0194  bl	#0xfffffff008462b2c
0xfffffff0083e3620: 34f300b0  adrp	x20, #0xfffffff00a248000
