; Candidate 9797
; ADRP+ADD at VM 0xfffffff008b43fe0 (fileoff 0x1b3ffe0): page=0x179e000 add_imm=0xcf8

0xfffffff008b43f60: 7f1200f9  str	xzr, [x19, #0x20]
0xfffffff008b43f64: e00313aa  mov	x0, x19
0xfffffff008b43f68: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008b43f6c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008b43f70: ff0f5fd6  retab	
0xfffffff008b43f74: 7f2303d5  pacibsp	
0xfffffff008b43f78: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008b43f7c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008b43f80: fd430091  add	x29, sp, #0x10
0xfffffff008b43f84: f30300aa  mov	x19, x0
0xfffffff008b43f88: 6bffff97  bl	#0xfffffff008b43d34
0xfffffff008b43f8c: 207affd0  adrp	x0, #0xfffffff007a89000
0xfffffff008b43f90: 00e03791  add	x0, x0, #0xdf8
0xfffffff008b43f94: e10313aa  mov	x1, x19
0xfffffff008b43f98: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008b43f9c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008b43fa0: ff2303d5  autibsp	
0xfffffff008b43fa4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008b43fa8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008b43fb0
0xfffffff008b43fac: 208e38d4  brk	#0xc471
0xfffffff008b43fb0: d749e017  b	#0xfffffff00835670c
0xfffffff008b43fb4: 5f2403d5  bti	c
0xfffffff008b43fb8: cf81de17  b	#0xfffffff0082e46f4
0xfffffff008b43fbc: 5f2403d5  bti	c
0xfffffff008b43fc0: cd81de17  b	#0xfffffff0082e46f4
0xfffffff008b43fc4: 5f2403d5  bti	c
0xfffffff008b43fc8: cb81de17  b	#0xfffffff0082e46f4
0xfffffff008b43fcc: 5f2403d5  bti	c
0xfffffff008b43fd0: c981de17  b	#0xfffffff0082e46f4
0xfffffff008b43fd4: 7f2303d5  pacibsp	
0xfffffff008b43fd8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b43fdc: fd030091  mov	x29, sp
0xfffffff008b43fe0: e0bc00d0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b43fe4: 00e03391  add	x0, x0, #0xcf8
0xfffffff008b43fe8: 213dfff0  adrp	x1, #0xfffffff0072ea000
0xfffffff008b43fec: 21b43c91  add	x1, x1, #0xf2d
0xfffffff008b43ff0: c279fff0  adrp	x2, #0xfffffff007a7e000
0xfffffff008b43ff4: 42dc45f9  ldr	x2, [x2, #0xbb8]
0xfffffff008b43ff8: 03038052  mov	w3, #0x18
0xfffffff008b43ffc: cf7ede97  bl	#0xfffffff0082e3b38
0xfffffff008b44000: f079ff90  adrp	x16, #0xfffffff007a80000
0xfffffff008b44004: 10c20e91  add	x16, x16, #0x3b0
0xfffffff008b44008: 10420091  add	x16, x16, #0x10
0xfffffff008b4400c: f10300aa  mov	x17, x0
0xfffffff008b44010: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b44014: 300ac1da  pacda	x16, x17
0xfffffff008b44018: 100000f9  str	x16, [x0]
0xfffffff008b4401c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008b44020: ff0f5fd6  retab	
0xfffffff008b44024: 5f2403d5  bti	c
0xfffffff008b44028: b381de17  b	#0xfffffff0082e46f4
0xfffffff008b4402c: 7f2303d5  pacibsp	
0xfffffff008b44030: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b44034: fd030091  mov	x29, sp
0xfffffff008b44038: e0bc00b0  adrp	x0, #0xfffffff00a2e1000
0xfffffff008b4403c: 00803491  add	x0, x0, #0xd20
0xfffffff008b44040: 213dffd0  adrp	x1, #0xfffffff0072ea000
0xfffffff008b44044: 21103c91  add	x1, x1, #0xf04
0xfffffff008b44048: c279ffd0  adrp	x2, #0xfffffff007a7e000
0xfffffff008b4404c: 42dc45f9  ldr	x2, [x2, #0xbb8]
0xfffffff008b44050: 03038052  mov	w3, #0x18
0xfffffff008b44054: b97ede97  bl	#0xfffffff0082e3b38
0xfffffff008b44058: f079ff90  adrp	x16, #0xfffffff007a80000
0xfffffff008b4405c: 10a20c91  add	x16, x16, #0x328
