; Candidate 11072
; ADRP+ADD at VM 0xfffffff008e499b8 (fileoff 0x1e459b8): page=0x1fe58a000 add_imm=0xde9

0xfffffff008e49938: 3f110071  cmp	w9, #4
0xfffffff008e4993c: e1180054  b.ne	#0xfffffff008e49c58
0xfffffff008e49940: 890e40b9  ldr	w9, [x20, #0xc]
0xfffffff008e49944: 3f150071  cmp	w9, #5
0xfffffff008e49948: 61180054  b.ne	#0xfffffff008e49c54
0xfffffff008e4994c: e00308aa  mov	x0, x8
0xfffffff008e49950: e10d8052  mov	w1, #0x6f
0xfffffff008e49954: 90dfff97  bl	#0xfffffff008e41794
0xfffffff008e49958: 80180035  cbnz	w0, #0xfffffff008e49c68
0xfffffff008e4995c: 402cffd0  adrp	x0, #0xfffffff0073d3000
0xfffffff008e49960: 00543a91  add	x0, x0, #0xe95
0xfffffff008e49964: af35d497  bl	#0xfffffff008357020
0xfffffff008e49968: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008e4996c: 1fdc0194  bl	#0xfffffff008ec09e8
0xfffffff008e49970: b9000014  b	#0xfffffff008e49c54
0xfffffff008e49974: 3f590071  cmp	w9, #0x16
0xfffffff008e49978: 00080054  b.eq	#0xfffffff008e49a78
0xfffffff008e4997c: 3f510071  cmp	w9, #0x14
0xfffffff008e49980: 600d0054  b.eq	#0xfffffff008e49b2c
0xfffffff008e49984: 3f3d0071  cmp	w9, #0xf
0xfffffff008e49988: 81160054  b.ne	#0xfffffff008e49c58
0xfffffff008e4998c: 890e40b9  ldr	w9, [x20, #0xc]
0xfffffff008e49990: 3f1d0071  cmp	w9, #7
0xfffffff008e49994: 800f0054  b.eq	#0xfffffff008e49b84
0xfffffff008e49998: 3f190071  cmp	w9, #6
0xfffffff008e4999c: c1150054  b.ne	#0xfffffff008e49c54
0xfffffff008e499a0: e00308aa  mov	x0, x8
0xfffffff008e499a4: a10d8052  mov	w1, #0x6d
0xfffffff008e499a8: 7bdfff97  bl	#0xfffffff008e41794
0xfffffff008e499ac: 00160035  cbnz	w0, #0xfffffff008e49c6c
0xfffffff008e499b0: 881e40b9  ldr	w8, [x20, #0x1c]
0xfffffff008e499b4: e80300f9  str	x8, [sp]
0xfffffff008e499b8: 402cffd0  adrp	x0, #0xfffffff0073d3000
0xfffffff008e499bc: 00a43791  add	x0, x0, #0xde9
0xfffffff008e499c0: 7f000014  b	#0xfffffff008e49bbc
0xfffffff008e499c4: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff008e499c8: 1f3d0071  cmp	w8, #0xf
0xfffffff008e499cc: 20010054  b.eq	#0xfffffff008e499f0
0xfffffff008e499d0: 1f0d0071  cmp	w8, #3
0xfffffff008e499d4: 01140054  b.ne	#0xfffffff008e49c54
0xfffffff008e499d8: 482cffd0  adrp	x8, #0xfffffff0073d3000
0xfffffff008e499dc: 08553b91  add	x8, x8, #0xed5
0xfffffff008e499e0: e82b00a9  stp	x8, x10, [sp]
0xfffffff008e499e4: 402cffd0  adrp	x0, #0xfffffff0073d3000
0xfffffff008e499e8: 00f43c91  add	x0, x0, #0xf3d
0xfffffff008e499ec: 8d35d497  bl	#0xfffffff008357020
0xfffffff008e499f0: 608640f9  ldr	x0, [x19, #0x108]
0xfffffff008e499f4: 41008052  mov	w1, #2
0xfffffff008e499f8: 22008052  mov	w2, #1
0xfffffff008e499fc: 03008052  mov	w3, #0
0xfffffff008e49a00: 150a0194  bl	#0xfffffff008e8c254
0xfffffff008e49a04: e8f30132  mov	w8, #-0x55555556
0xfffffff008e49a08: a8c31eb8  stur	w8, [x29, #-0x14]
0xfffffff008e49a0c: e81b00b9  str	w8, [sp, #0x18]
0xfffffff008e49a10: 608640f9  ldr	x0, [x19, #0x108]
0xfffffff008e49a14: a15300d1  sub	x1, x29, #0x14
0xfffffff008e49a18: e2630091  add	x2, sp, #0x18
0xfffffff008e49a1c: 03008052  mov	w3, #0
0xfffffff008e49a20: 6b0a0194  bl	#0xfffffff008e8c3cc
0xfffffff008e49a24: 684640f9  ldr	x8, [x19, #0x88]
0xfffffff008e49a28: 01614ff9  ldr	x1, [x8, #0x1ec0]
0xfffffff008e49a2c: a0c35ebc  ldur	s0, [x29, #-0x14]
0xfffffff008e49a30: 00d8217e  ucvtf	s0, s0
0xfffffff008e49a34: e11b40bd  ldr	s1, [sp, #0x18]
