; Candidate 7276
; ADRP+ADD at VM 0xfffffff008864630 (fileoff 0x1860630): page=0x1fe9c4000 add_imm=0xe74

0xfffffff0088645b0: e30316aa  mov	x3, x22
0xfffffff0088645b4: 6bd50094  bl	#0xfffffff008899b60
0xfffffff0088645b8: e0070034  cbz	w0, #0xfffffff0088646b4
0xfffffff0088645bc: f40300aa  mov	x20, x0
0xfffffff0088645c0: 600c8052  mov	w0, #0x63
0xfffffff0088645c4: 81008052  mov	w1, #4
0xfffffff0088645c8: 825c0094  bl	#0xfffffff00887b7d0
0xfffffff0088645cc: a0cfff34  cbz	w0, #0xfffffff008863fc0
0xfffffff0088645d0: 600c8052  mov	w0, #0x63
0xfffffff0088645d4: 915c0094  bl	#0xfffffff00887b818
0xfffffff0088645d8: f60300aa  mov	x22, x0
0xfffffff0088645dc: f43e0194  bl	#0xfffffff0088b41ac
0xfffffff0088645e0: f50300aa  mov	x21, x0
0xfffffff0088645e4: 80008052  mov	w0, #4
0xfffffff0088645e8: 9a5c0094  bl	#0xfffffff00887b850
0xfffffff0088645ec: 360a0034  cbz	w22, #0xfffffff008864730
0xfffffff0088645f0: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff0088645f4: e90314aa  mov	x9, x20
0xfffffff0088645f8: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff0088645fc: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008864600: 694dff90  adrp	x9, #0xfffffff007210000
0xfffffff008864604: 2bb92791  add	x11, x9, #0x9ee
0xfffffff008864608: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff00886460c: e8668052  mov	w8, #0x337
0xfffffff008864610: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff008864614: 29813091  add	x9, x9, #0xc20
0xfffffff008864618: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff00886461c: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff008864620: 08811191  add	x8, x8, #0x460
0xfffffff008864624: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008864628: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00886462c: 680c8052  mov	w8, #0x63
0xfffffff008864630: 204eff90  adrp	x0, #0xfffffff007228000
0xfffffff008864634: 00d03991  add	x0, x0, #0xe74
0xfffffff008864638: 9cfdff17  b	#0xfffffff008863ca8
0xfffffff00886463c: dc3e0194  bl	#0xfffffff0088b41ac
0xfffffff008864640: f50300aa  mov	x21, x0
0xfffffff008864644: 80008052  mov	w0, #4
0xfffffff008864648: 825c0094  bl	#0xfffffff00887b850
0xfffffff00886464c: 685640f9  ldr	x8, [x19, #0xa8]
0xfffffff008864650: e90314aa  mov	x9, x20
0xfffffff008864654: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff008864658: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff00886465c: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff008864660: 684dff90  adrp	x8, #0xfffffff007210000
0xfffffff008864664: 0bb92791  add	x11, x8, #0x9ee
0xfffffff008864668: 28668052  mov	w8, #0x331
0xfffffff00886466c: 294eff90  adrp	x9, #0xfffffff007228000
0xfffffff008864670: 29813091  add	x9, x9, #0xc20
0xfffffff008864674: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff008864678: 084efff0  adrp	x8, #0xfffffff007227000
0xfffffff00886467c: 08811191  add	x8, x8, #0x460
0xfffffff008864680: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008864684: 680c8052  mov	w8, #0x63
0xfffffff008864688: 834fffd0  adrp	x3, #0xfffffff007256000
0xfffffff00886468c: 63bc2391  add	x3, x3, #0x8ef
0xfffffff008864690: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008864694: f50300f9  str	x21, [sp]
0xfffffff008864698: 204cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886469c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088646a0: 218dff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088646a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088646a8: 02008052  mov	w2, #0
0xfffffff0088646ac: a13aeb97  bl	#0xfffffff008333130
