; Candidate 8953
; ADRP+ADD at VM 0xfffffff0088fbb48 (fileoff 0x18f7b48): page=0x1fe975000 add_imm=0xcec

0xfffffff0088fbac8: 94029f1a  csel	w20, w20, wzr, eq
0xfffffff0088fbacc: c3ffff17  b	#0xfffffff0088fb9d8
0xfffffff0088fbad0: 40f80736  tbz	w0, #0, #0xfffffff0088fb9d8
0xfffffff0088fbad4: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088fbad8: e81b00f9  str	x8, [sp, #0x30]
0xfffffff0088fbadc: e8f30132  mov	w8, #-0x55555556
0xfffffff0088fbae0: e82f00b9  str	w8, [sp, #0x2c]
0xfffffff0088fbae4: e0c30091  add	x0, sp, #0x30
0xfffffff0088fbae8: e1b30091  add	x1, sp, #0x2c
0xfffffff0088fbaec: 0662d797  bl	#0xfffffff007ed4304
0xfffffff0088fbaf0: f51b40f9  ldr	x21, [sp, #0x30]
0xfffffff0088fbaf4: 700240f9  ldr	x16, [x19]
0xfffffff0088fbaf8: f10313aa  mov	x17, x19
0xfffffff0088fbafc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fbb00: 301ac1da  autda	x16, x17
0xfffffff0088fbb04: f10310aa  mov	x17, x16
0xfffffff0088fbb08: f147c1da  xpacd	x17
0xfffffff0088fbb0c: 1f0211eb  cmp	x16, x17
0xfffffff0088fbb10: 40000054  b.eq	#0xfffffff0088fbb18
0xfffffff0088fbb14: 408e38d4  brk	#0xc472
0xfffffff0088fbb18: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088fbb1c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088fbb20: f62f40b9  ldr	w22, [sp, #0x2c]
0xfffffff0088fbb24: e00313aa  mov	x0, x19
0xfffffff0088fbb28: 010080d2  mov	x1, #0
0xfffffff0088fbb2c: f10308aa  mov	x17, x8
0xfffffff0088fbb30: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088fbb34: 31093fd7  blraa	x9, x17
0xfffffff0088fbb38: a84bffb0  adrp	x8, #0xfffffff007270000
0xfffffff0088fbb3c: 08253291  add	x8, x8, #0xc89
0xfffffff0088fbb40: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088fbb44: f55b00a9  stp	x21, x22, [sp]
0xfffffff0088fbb48: a04bffb0  adrp	x0, #0xfffffff007270000
0xfffffff0088fbb4c: 00b03391  add	x0, x0, #0xcec
0xfffffff0088fbb50: 346de997  bl	#0xfffffff008357020
0xfffffff0088fbb54: a1ffff17  b	#0xfffffff0088fb9d8
0xfffffff0088fbb58: d40e0094  bl	#0xfffffff0088ff6a8
0xfffffff0088fbb5c: e30e0094  bl	#0xfffffff0088ff6e8
0xfffffff0088fbb60: c20e0094  bl	#0xfffffff0088ff668
0xfffffff0088fbb64: 40000000  udf	#0x40
0xfffffff0088fbb68: 34020000  udf	#0x234
0xfffffff0088fbb6c: 6c020000  udf	#0x26c
0xfffffff0088fbb70: b8020000  udf	#0x2b8
0xfffffff0088fbb74: b8020000  udf	#0x2b8
0xfffffff0088fbb78: 0c000000  udf	#0xc
0xfffffff0088fbb7c: 0c000000  udf	#0xc
0xfffffff0088fbb80: b8020000  udf	#0x2b8
0xfffffff0088fbb84: d4020000  udf	#0x2d4
0xfffffff0088fbb88: 7f2303d5  pacibsp	
0xfffffff0088fbb8c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0088fbb90: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0088fbb94: fd430091  add	x29, sp, #0x10
0xfffffff0088fbb98: f30300aa  mov	x19, x0
0xfffffff0088fbb9c: 009841f9  ldr	x0, [x0, #0x330]
0xfffffff0088fbba0: 600000b4  cbz	x0, #0xfffffff0088fbbac
0xfffffff0088fbba4: c26ee997  bl	#0xfffffff0083576ac
0xfffffff0088fbba8: 7f9a01f9  str	xzr, [x19, #0x330]
0xfffffff0088fbbac: e188ffd0  adrp	x1, #0xfffffff007a19000
0xfffffff0088fbbb0: 21402691  add	x1, x1, #0x990
0xfffffff0088fbbb4: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff0088fbbb8: e00313aa  mov	x0, x19
0xfffffff0088fbbbc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0088fbbc0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0088fbbc4: ff2303d5  autibsp	
