; Candidate 12343
; ADRP+ADD at VM 0xfffffff00908c834 (fileoff 0x2088834): page=0x1fe3d0000 add_imm=0xecb

0xfffffff00908c7b4: 5a330091  add	x26, x26, #0xc
0xfffffff00908c7b8: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff00908c7bc: 08651b9b  madd	x8, x8, x27, x25
0xfffffff00908c7c0: 08210091  add	x8, x8, #8
0xfffffff00908c7c4: 5f0308eb  cmp	x26, x8
0xfffffff00908c7c8: 43fcff54  b.lo	#0xfffffff00908c750
0xfffffff00908c7cc: 14008052  mov	w20, #0
0xfffffff00908c7d0: 48018052  mov	w8, #0xa
0xfffffff00908c7d4: 09034039  ldrb	w9, [x24]
0xfffffff00908c7d8: 1f01096b  cmp	w8, w9
0xfffffff00908c7dc: 03010054  b.lo	#0xfffffff00908c7fc
0xfffffff00908c7e0: e80314aa  mov	x8, x20
0xfffffff00908c7e4: 087d4093  sxtw	x8, w8
0xfffffff00908c7e8: f75b00a9  stp	x23, x22, [sp]
0xfffffff00908c7ec: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908c7f0: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c7f4: 00903891  add	x0, x0, #0xe24
0xfffffff00908c7f8: 0a2acb97  bl	#0xfffffff008357020
0xfffffff00908c7fc: e00314aa  mov	x0, x20
0xfffffff00908c800: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff00908c804: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff00908c808: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff00908c80c: f85f52a9  ldp	x24, x23, [sp, #0x120]
0xfffffff00908c810: fa6751a9  ldp	x26, x25, [sp, #0x110]
0xfffffff00908c814: fc6f50a9  ldp	x28, x27, [sp, #0x100]
0xfffffff00908c818: ff830591  add	sp, sp, #0x160
0xfffffff00908c81c: ff0f5fd6  retab	
0xfffffff00908c820: 09034039  ldrb	w9, [x24]
0xfffffff00908c824: 3f190171  cmp	w9, #0x46
0xfffffff00908c828: c8000054  b.hi	#0xfffffff00908c840
0xfffffff00908c82c: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff00908c830: f70300f9  str	x23, [sp]
0xfffffff00908c834: 801eff90  adrp	x0, #0xfffffff00745c000
0xfffffff00908c838: 002c3b91  add	x0, x0, #0xecb
0xfffffff00908c83c: f929cb97  bl	#0xfffffff008357020
0xfffffff00908c840: 4a378052  mov	w10, #0x1ba
0xfffffff00908c844: 881effb0  adrp	x8, #0xfffffff00745d000
0xfffffff00908c848: 08a12f91  add	x8, x8, #0xbe8
0xfffffff00908c84c: 691effb0  adrp	x9, #0xfffffff007459000
0xfffffff00908c850: 2bb92d91  add	x11, x9, #0xb6e
0xfffffff00908c854: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00908c858: 681effd0  adrp	x8, #0xfffffff00745a000
0xfffffff00908c85c: 08290291  add	x8, x8, #0x8a
0xfffffff00908c860: 89008092  mov	x9, #-5
0xfffffff00908c864: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff00908c868: e80300f9  str	x8, [sp]
0xfffffff00908c86c: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c870: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908c874: eb29cb97  bl	#0xfffffff008357020
0xfffffff00908c878: c8088052  mov	w8, #0x46
0xfffffff00908c87c: 94008012  mov	w20, #-5
0xfffffff00908c880: d5ffff17  b	#0xfffffff00908c7d4
0xfffffff00908c884: f40300aa  mov	x20, x0
0xfffffff00908c888: 887e4093  sxtw	x8, w20
0xfffffff00908c88c: 89368052  mov	w9, #0x1b4
0xfffffff00908c890: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908c894: 4aa12f91  add	x10, x10, #0xbe8
0xfffffff00908c898: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00908c89c: 691effb0  adrp	x9, #0xfffffff007459000
0xfffffff00908c8a0: 29b92d91  add	x9, x9, #0xb6e
0xfffffff00908c8a4: 6b1effd0  adrp	x11, #0xfffffff00745a000
0xfffffff00908c8a8: 6b290291  add	x11, x11, #0x8a
0xfffffff00908c8ac: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00908c8b0: eb0300f9  str	x11, [sp]
