; Candidate 15616
; ADRP+ADD at VM 0xfffffff009c65860 (fileoff 0x2c61860): page=0x1fd9ec000 add_imm=0xd4c

0xfffffff009c657e0: eb179f1a  cset	w11, eq
0xfffffff009c657e4: 6b791f53  lsl	w11, w11, #1
0xfffffff009c657e8: 2c017ff2  ands	x12, x9, #2
0xfffffff009c657ec: 0d028052  mov	w13, #0x10
0xfffffff009c657f0: 75018d1a  csel	w21, w11, w13, eq
0xfffffff009c657f4: 8a010aaa  orr	x10, x12, x10
0xfffffff009c657f8: 8a0800b4  cbz	x10, #0xfffffff009c65908
0xfffffff009c657fc: 290162b2  orr	x9, x9, #0x40000000
0xfffffff009c65800: e803282a  mvn	w8, w8
0xfffffff009c65804: 1f0109ea  tst	x8, x9
0xfffffff009c65808: 41030054  b.ne	#0xfffffff009c65870
0xfffffff009c6580c: a4a18997  bl	#0xfffffff007ecde9c
0xfffffff009c65810: 1f040071  cmp	w0, #1
0xfffffff009c65814: e1020054  b.ne	#0xfffffff009c65870
0xfffffff009c65818: 700240f9  ldr	x16, [x19]
0xfffffff009c6581c: f10313aa  mov	x17, x19
0xfffffff009c65820: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c65824: 301ac1da  autda	x16, x17
0xfffffff009c65828: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c6582c: e90310aa  mov	x9, x16
0xfffffff009c65830: e00313aa  mov	x0, x19
0xfffffff009c65834: f10309aa  mov	x17, x9
0xfffffff009c65838: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c6583c: 11093fd7  blraa	x8, x17
0xfffffff009c65840: 46fc9997  bl	#0xfffffff0082e4958
0xfffffff009c65844: e80314aa  mov	x8, x20
0xfffffff009c65848: 69cffe90  adrp	x9, #0xfffffff007651000
0xfffffff009c6584c: 29292d91  add	x9, x9, #0xb4a
0xfffffff009c65850: 6acffe90  adrp	x10, #0xfffffff007651000
0xfffffff009c65854: 4a591e91  add	x10, x10, #0x796
0xfffffff009c65858: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009c6585c: e02b00a9  stp	x0, x10, [sp]
0xfffffff009c65860: 60cffe90  adrp	x0, #0xfffffff007651000
0xfffffff009c65864: 00303591  add	x0, x0, #0xd4c
0xfffffff009c65868: eec59b97  bl	#0xfffffff008357020
0xfffffff009c6586c: 27000014  b	#0xfffffff009c65908
0xfffffff009c65870: 700240f9  ldr	x16, [x19]
0xfffffff009c65874: f10313aa  mov	x17, x19
0xfffffff009c65878: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c6587c: 301ac1da  autda	x16, x17
0xfffffff009c65880: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c65884: e90310aa  mov	x9, x16
0xfffffff009c65888: e00313aa  mov	x0, x19
0xfffffff009c6588c: f10309aa  mov	x17, x9
0xfffffff009c65890: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c65894: 11093fd7  blraa	x8, x17
0xfffffff009c65898: 30fc9997  bl	#0xfffffff0082e4958
0xfffffff009c6589c: 4804ffd0  adrp	x8, #0xfffffff007cef000
0xfffffff009c658a0: 08e945f9  ldr	x8, [x8, #0xbd0]
0xfffffff009c658a4: 160140f9  ldr	x22, [x8]
0xfffffff009c658a8: 700240f9  ldr	x16, [x19]
0xfffffff009c658ac: f10313aa  mov	x17, x19
0xfffffff009c658b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c658b4: 301ac1da  autda	x16, x17
0xfffffff009c658b8: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c658bc: e90310aa  mov	x9, x16
0xfffffff009c658c0: e00313aa  mov	x0, x19
0xfffffff009c658c4: f10309aa  mov	x17, x9
0xfffffff009c658c8: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c658cc: 11093fd7  blraa	x8, x17
0xfffffff009c658d0: 22fc9997  bl	#0xfffffff0082e4958
0xfffffff009c658d4: 68cffe90  adrp	x8, #0xfffffff007651000
0xfffffff009c658d8: 08292d91  add	x8, x8, #0xb4a
0xfffffff009c658dc: e85301a9  stp	x8, x20, [sp, #0x10]
