; Candidate 2431
; ADRP+ADD at VM 0xfffffff008668f38 (fileoff 0x1664f38): page=0x1feab4000 add_imm=0xe1f

0xfffffff008668eb8: 8a55fff0  adrp	x10, #0xfffffff00711b000
0xfffffff008668ebc: 4a192191  add	x10, x10, #0x846
0xfffffff008668ec0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008668ec4: e02b00a9  stp	x0, x10, [sp]
0xfffffff008668ec8: 8055fff0  adrp	x0, #0xfffffff00711b000
0xfffffff008668ecc: 00902391  add	x0, x0, #0x8e4
0xfffffff008668ed0: 8fadf897  bl	#0xfffffff00849450c
0xfffffff008668ed4: 7f2303d5  pacibsp	
0xfffffff008668ed8: ff4301d1  sub	sp, sp, #0x50
0xfffffff008668edc: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008668ee0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008668ee4: fd030191  add	x29, sp, #0x40
0xfffffff008668ee8: f30303aa  mov	x19, x3
0xfffffff008668eec: f40302aa  mov	x20, x2
0xfffffff008668ef0: 100040f9  ldr	x16, [x0]
0xfffffff008668ef4: 3018c1da  autda	x16, x1
0xfffffff008668ef8: 113d80d2  mov	x17, #0x1e8
0xfffffff008668efc: 1002118b  add	x16, x16, x17
0xfffffff008668f00: 080240f9  ldr	x8, [x16]
0xfffffff008668f04: e90310aa  mov	x9, x16
0xfffffff008668f08: 010080d2  mov	x1, #0
0xfffffff008668f0c: f10309aa  mov	x17, x9
0xfffffff008668f10: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008668f14: 11093fd7  blraa	x8, x17
0xfffffff008668f18: e803142a  mov	w8, w20
0xfffffff008668f1c: e903132a  mov	w9, w19
0xfffffff008668f20: 4bf48052  mov	w11, #0x7a2
0xfffffff008668f24: aa55ff90  adrp	x10, #0xfffffff00711c000
0xfffffff008668f28: 4af90f91  add	x10, x10, #0x3fe
0xfffffff008668f2c: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008668f30: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008668f34: e00300f9  str	x0, [sp]
0xfffffff008668f38: a055ff90  adrp	x0, #0xfffffff00711c000
0xfffffff008668f3c: 007c3891  add	x0, x0, #0xe1f
0xfffffff008668f40: 73adf897  bl	#0xfffffff00849450c
0xfffffff008668f44: 7f2303d5  pacibsp	
0xfffffff008668f48: ffc300d1  sub	sp, sp, #0x30
0xfffffff008668f4c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008668f50: fd830091  add	x29, sp, #0x20
0xfffffff008668f54: 100040f9  ldr	x16, [x0]
0xfffffff008668f58: 3018c1da  autda	x16, x1
0xfffffff008668f5c: 113d80d2  mov	x17, #0x1e8
0xfffffff008668f60: 1002118b  add	x16, x16, x17
0xfffffff008668f64: 080240f9  ldr	x8, [x16]
0xfffffff008668f68: e90310aa  mov	x9, x16
0xfffffff008668f6c: 010080d2  mov	x1, #0
0xfffffff008668f70: f10309aa  mov	x17, x9
0xfffffff008668f74: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008668f78: 11093fd7  blraa	x8, x17
0xfffffff008668f7c: 68d58052  mov	w8, #0x6ab
0xfffffff008668f80: a955ff90  adrp	x9, #0xfffffff00711c000
0xfffffff008668f84: 29f90f91  add	x9, x9, #0x3fe
0xfffffff008668f88: aa55ff90  adrp	x10, #0xfffffff00711c000
0xfffffff008668f8c: 4a013391  add	x10, x10, #0xcc0
0xfffffff008668f90: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008668f94: e02b00a9  stp	x0, x10, [sp]
0xfffffff008668f98: a055ff90  adrp	x0, #0xfffffff00711c000
0xfffffff008668f9c: 00ac3191  add	x0, x0, #0xc6b
0xfffffff008668fa0: 5badf897  bl	#0xfffffff00849450c
0xfffffff008668fa4: 00000000  udf	#0
0xfffffff008668fa8: 00000000  udf	#0
0xfffffff008668fac: 00000000  udf	#0
0xfffffff008668fb0: 7f2303d5  pacibsp	
0xfffffff008668fb4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
