; Candidate 228
; ADRP+ADD at VM 0xfffffff007e34454 (fileoff 0xe30454): page=0x23c3000 add_imm=0xe2c

0xfffffff007e343d4: 3f290071  cmp	w9, #0xa
0xfffffff007e343d8: 48050054  b.hi	#0xfffffff007e34480
0xfffffff007e343dc: 2a008052  mov	w10, #1
0xfffffff007e343e0: 4921c91a  lsl	w9, w10, w9
0xfffffff007e343e4: 0a8e8052  mov	w10, #0x470
0xfffffff007e343e8: 3f010a6a  tst	w9, w10
0xfffffff007e343ec: a0040054  b.eq	#0xfffffff007e34480
0xfffffff007e343f0: 08791e12  and	w8, w8, #0xfffffffd
0xfffffff007e343f4: 68920878  sturh	w8, [x19, #0x89]
0xfffffff007e343f8: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff007e343fc: e20308aa  mov	x2, x8
0xfffffff007e34400: fffea288  casl	w2, wzr, [x23]
0xfffffff007e34404: 5f00086b  cmp	w2, w8
0xfffffff007e34408: e1050054  b.ne	#0xfffffff007e344c4
0xfffffff007e3440c: 68924878  ldurh	w8, [x19, #0x89]
0xfffffff007e34410: 09391f12  and	w9, w8, #0xfffe
0xfffffff007e34414: 69920878  sturh	w9, [x19, #0x89]
0xfffffff007e34418: 7f3e00f9  str	xzr, [x19, #0x78]
0xfffffff007e3441c: 08011036  tbz	w8, #2, #0xfffffff007e3443c
0xfffffff007e34420: 49ff9f52  mov	w9, #0xfffa
0xfffffff007e34424: 0801090a  and	w8, w8, w9
0xfffffff007e34428: 68920878  sturh	w8, [x19, #0x89]
0xfffffff007e3442c: e00313aa  mov	x0, x19
0xfffffff007e34430: 01008052  mov	w1, #0
0xfffffff007e34434: 02008052  mov	w2, #0
0xfffffff007e34438: c03ffe97  bl	#0xfffffff007dc4338
0xfffffff007e3443c: 68220091  add	x8, x19, #8
0xfffffff007e34440: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff007e34444: e20309aa  mov	x2, x9
0xfffffff007e34448: 1ffda288  casl	w2, wzr, [x8]
0xfffffff007e3444c: 5f00096b  cmp	w2, w9
0xfffffff007e34450: 41040054  b.ne	#0xfffffff007e344d8
0xfffffff007e34454: 001e01f0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e34458: 00b03891  add	x0, x0, #0xe2c
0xfffffff007e3445c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007e34460: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007e34464: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff007e34468: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff007e3446c: ff2303d5  autibsp	
0xfffffff007e34470: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007e34474: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007e3447c
0xfffffff007e34478: 208e38d4  brk	#0xc471
0xfffffff007e3447c: 6be8fd17  b	#0xfffffff007dae628
0xfffffff007e34480: 88fb4f37  tbnz	w8, #9, #0xfffffff007e343f0
0xfffffff007e34484: c81c01b0  adrp	x8, #0xfffffff00a1cd000
0xfffffff007e34488: 08611691  add	x8, x8, #0x598
0xfffffff007e3448c: 090540f9  ldr	x9, [x8, #8]
0xfffffff007e34490: 682602a9  stp	x8, x9, [x19, #0x20]
0xfffffff007e34494: 2a810091  add	x10, x9, #0x20
0xfffffff007e34498: 3f0108eb  cmp	x9, x8
0xfffffff007e3449c: 09018a9a  csel	x9, x8, x10, eq
0xfffffff007e344a0: 330100f9  str	x19, [x9]
0xfffffff007e344a4: 130500f9  str	x19, [x8, #8]
0xfffffff007e344a8: 68924878  ldurh	w8, [x19, #0x89]
0xfffffff007e344ac: 08011d32  orr	w8, w8, #8
0xfffffff007e344b0: c91c01b0  adrp	x9, #0xfffffff00a1cd000
0xfffffff007e344b4: 2a1945b9  ldr	w10, [x9, #0x518]
0xfffffff007e344b8: 4a050011  add	w10, w10, #1
0xfffffff007e344bc: 2a1905b9  str	w10, [x9, #0x518]
0xfffffff007e344c0: ccffff17  b	#0xfffffff007e343f0
0xfffffff007e344c4: e01c01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e344c8: 00803491  add	x0, x0, #0xd20
0xfffffff007e344cc: e10314aa  mov	x1, x20
0xfffffff007e344d0: a5e0fd97  bl	#0xfffffff007dac764
