; Candidate 7846
; ADRP+ADD at VM 0xfffffff008882db4 (fileoff 0x187edb4): page=0x1fe967000 add_imm=0xe80

0xfffffff008882d34: 4a110491  add	x10, x10, #0x104
0xfffffff008882d38: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008882d3c: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008882d40: 48408052  mov	w8, #0x202
0xfffffff008882d44: 494dfff0  adrp	x9, #0xfffffff00722d000
0xfffffff008882d48: 29bd0291  add	x9, x9, #0xaf
0xfffffff008882d4c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008882d50: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882d54: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882d58: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882d5c: 880b8052  mov	w8, #0x5c
0xfffffff008882d60: 404dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff008882d64: 00e40291  add	x0, x0, #0xb9
0xfffffff008882d68: f72300a9  stp	x23, x8, [sp]
0xfffffff008882d6c: bdd1d497  bl	#0xfffffff007db7460
0xfffffff008882d70: c4ffff17  b	#0xfffffff008882c80
0xfffffff008882d74: 0ec50094  bl	#0xfffffff0088b41ac
0xfffffff008882d78: f70300aa  mov	x23, x0
0xfffffff008882d7c: 00018052  mov	w0, #8
0xfffffff008882d80: b4e2ff97  bl	#0xfffffff00887b850
0xfffffff008882d84: e80316aa  mov	x8, x22
0xfffffff008882d88: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008882d8c: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008882d90: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008882d94: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882d98: 08bd0291  add	x8, x8, #0xaf
0xfffffff008882d9c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008882da0: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882da4: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882da8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882dac: 880b8052  mov	w8, #0x5c
0xfffffff008882db0: f72300a9  stp	x23, x8, [sp]
0xfffffff008882db4: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008882db8: 00003a91  add	x0, x0, #0xe80
0xfffffff008882dbc: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882dc0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008882dc4: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff008882dc8: 634c3d91  add	x3, x3, #0xf53
0xfffffff008882dcc: 02008052  mov	w2, #0
0xfffffff008882dd0: d8c0ea97  bl	#0xfffffff008333130
0xfffffff008882dd4: e00316aa  mov	x0, x22
0xfffffff008882dd8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008882ddc: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008882de0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008882de4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008882de8: ff830291  add	sp, sp, #0xa0
0xfffffff008882dec: ff0f5fd6  retab	
0xfffffff008882df0: efc40094  bl	#0xfffffff0088b41ac
0xfffffff008882df4: f70300aa  mov	x23, x0
0xfffffff008882df8: 80008052  mov	w0, #4
0xfffffff008882dfc: 95e2ff97  bl	#0xfffffff00887b850
0xfffffff008882e00: e80316aa  mov	x8, x22
0xfffffff008882e04: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008882e08: ea0315aa  mov	x10, x21
0xfffffff008882e0c: ea2305a9  stp	x10, x8, [sp, #0x50]
0xfffffff008882e10: e80314aa  mov	x8, x20
0xfffffff008882e14: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008882e18: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882e1c: 08110491  add	x8, x8, #0x104
0xfffffff008882e20: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008882e24: 48408052  mov	w8, #0x202
0xfffffff008882e28: 494dfff0  adrp	x9, #0xfffffff00722d000
0xfffffff008882e2c: 29bd0291  add	x9, x9, #0xaf
0xfffffff008882e30: e92302a9  stp	x9, x8, [sp, #0x20]
