; Candidate 9112
; ADRP+ADD at VM 0xfffffff0089f7860 (fileoff 0x19f3860): page=0x1fe89d000 add_imm=0xdf4

0xfffffff0089f77e0: bfb20079  strh	wzr, [x21, #0x58]
0xfffffff0089f77e4: e8078052  mov	w8, #0x3f
0xfffffff0089f77e8: a86a0139  strb	w8, [x21, #0x5a]
0xfffffff0089f77ec: bfb205f8  stur	xzr, [x21, #0x5b]
0xfffffff0089f77f0: bfb206f8  stur	xzr, [x21, #0x6b]
0xfffffff0089f77f4: bf3206f8  stur	xzr, [x21, #0x63]
0xfffffff0089f77f8: bf3a00f9  str	xzr, [x21, #0x70]
0xfffffff0089f77fc: e00314aa  mov	x0, x20
0xfffffff0089f7800: e10315aa  mov	x1, x21
0xfffffff0089f7804: 62008052  mov	w2, #3
0xfffffff0089f7808: 03008052  mov	w3, #0
0xfffffff0089f780c: 61ffff97  bl	#0xfffffff0089f7590
0xfffffff0089f7810: f30300aa  mov	x19, x0
0xfffffff0089f7814: a0000034  cbz	w0, #0xfffffff0089f7828
0xfffffff0089f7818: 807e40f9  ldr	x0, [x20, #0xf8]
0xfffffff0089f781c: e10315aa  mov	x1, x21
0xfffffff0089f7820: 3d140094  bl	#0xfffffff0089fc914
0xfffffff0089f7824: daffff17  b	#0xfffffff0089f778c
0xfffffff0089f7828: e00314aa  mov	x0, x20
0xfffffff0089f782c: 01008052  mov	w1, #0
0xfffffff0089f7830: f9feff97  bl	#0xfffffff0089f7414
0xfffffff0089f7834: d6ffff17  b	#0xfffffff0089f778c
0xfffffff0089f7838: e844ffd0  adrp	x8, #0xfffffff007295000
0xfffffff0089f783c: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f7840: 096e8052  mov	w9, #0x370
0xfffffff0089f7844: ea44ffb0  adrp	x10, #0xfffffff007294000
0xfffffff0089f7848: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f784c: eb44ffd0  adrp	x11, #0xfffffff007295000
0xfffffff0089f7850: 6bd52291  add	x11, x11, #0x8b5
0xfffffff0089f7854: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f7858: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f785c: eb0300f9  str	x11, [sp]
0xfffffff0089f7860: e044ffb0  adrp	x0, #0xfffffff007294000
0xfffffff0089f7864: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f7868: fefece97  bl	#0xfffffff007db7460
0xfffffff0089f786c: c8ffff17  b	#0xfffffff0089f778c
0xfffffff0089f7870: 7f2303d5  pacibsp	
0xfffffff0089f7874: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0089f7878: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0089f787c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0089f7880: fd830091  add	x29, sp, #0x20
0xfffffff0089f7884: 280840f9  ldr	x8, [x1, #0x10]
0xfffffff0089f7888: 480300b4  cbz	x8, #0xfffffff0089f78f0
0xfffffff0089f788c: f30301aa  mov	x19, x1
0xfffffff0089f7890: f40300aa  mov	x20, x0
0xfffffff0089f7894: 200c40f9  ldr	x0, [x1, #0x18]
0xfffffff0089f7898: 8dd0ce97  bl	#0xfffffff007dabacc
0xfffffff0089f789c: 75820091  add	x21, x19, #0x20
0xfffffff0089f78a0: 28008052  mov	w8, #1
0xfffffff0089f78a4: a80268b8  ldaddl	w8, w8, [x21]
0xfffffff0089f78a8: e00314aa  mov	x0, x20
0xfffffff0089f78ac: 010080d2  mov	x1, #0
0xfffffff0089f78b0: 6a030094  bl	#0xfffffff0089f8658
0xfffffff0089f78b4: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0089f78b8: e10300aa  mov	x1, x0
0xfffffff0089f78bc: 02008052  mov	w2, #0
0xfffffff0089f78c0: 8f7fe597  bl	#0xfffffff0083576fc
0xfffffff0089f78c4: 08008012  mov	w8, #-1
0xfffffff0089f78c8: a80268b8  ldaddl	w8, w8, [x21]
0xfffffff0089f78cc: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0089f78d0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0089f78d4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0089f78d8: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0089f78dc: ff2303d5  autibsp	
