; Candidate 5451
; ADRP+ADD at VM 0xfffffff0087f173c (fileoff 0x17ed73c): page=0x1fe9f8000 add_imm=0xe80

0xfffffff0087f16bc: f90300aa  mov	x25, x0
0xfffffff0087f16c0: bb0a0394  bl	#0xfffffff0088b41ac
0xfffffff0087f16c4: f80300aa  mov	x24, x0
0xfffffff0087f16c8: e0008052  mov	w0, #7
0xfffffff0087f16cc: 61280294  bl	#0xfffffff00887b850
0xfffffff0087f16d0: d9010034  cbz	w25, #0xfffffff0087f1708
0xfffffff0087f16d4: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087f16d8: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff0087f16dc: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f16e0: 08150e91  add	x8, x8, #0x385
0xfffffff0087f16e4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f16e8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f16ec: 080f8052  mov	w8, #0x78
0xfffffff0087f16f0: 0051fff0  adrp	x0, #0xfffffff007214000
0xfffffff0087f16f4: 00a01991  add	x0, x0, #0x668
0xfffffff0087f16f8: f82300a9  stp	x24, x8, [sp]
0xfffffff0087f16fc: 5917d797  bl	#0xfffffff007db7460
0xfffffff0087f1700: 130300b5  cbnz	x19, #0xfffffff0087f1760
0xfffffff0087f1704: 29000014  b	#0xfffffff0087f17a8
0xfffffff0087f1708: a90a0394  bl	#0xfffffff0088b41ac
0xfffffff0087f170c: f80300aa  mov	x24, x0
0xfffffff0087f1710: e0008052  mov	w0, #7
0xfffffff0087f1714: 4f280294  bl	#0xfffffff00887b850
0xfffffff0087f1718: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087f171c: e80316aa  mov	x8, x22
0xfffffff0087f1720: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087f1724: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f1728: 08150e91  add	x8, x8, #0x385
0xfffffff0087f172c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f1730: 080f8052  mov	w8, #0x78
0xfffffff0087f1734: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f1738: f80300f9  str	x24, [sp]
0xfffffff0087f173c: c04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f1740: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f1744: a190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f1748: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f174c: 6352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f1750: 63c83391  add	x3, x3, #0xcf2
0xfffffff0087f1754: 02008052  mov	w2, #0
0xfffffff0087f1758: 7606ed97  bl	#0xfffffff008333130
0xfffffff0087f175c: 730200b4  cbz	x19, #0xfffffff0087f17a8
0xfffffff0087f1760: 550200b4  cbz	x21, #0xfffffff0087f17a8
0xfffffff0087f1764: 370200b4  cbz	x23, #0xfffffff0087f17a8
0xfffffff0087f1768: 7a0a40f9  ldr	x26, [x19, #0x10]
0xfffffff0087f176c: e00317aa  mov	x0, x23
0xfffffff0087f1770: 01008052  mov	w1, #0
0xfffffff0087f1774: 02098052  mov	w2, #0x48
0xfffffff0087f1778: 126dd597  bl	#0xfffffff007d4cbc0
0xfffffff0087f177c: ff060079  strh	wzr, [x23, #2]
0xfffffff0087f1780: f40600f9  str	x20, [x23, #8]
0xfffffff0087f1784: 28018052  mov	w8, #9
0xfffffff0087f1788: 495b40b9  ldr	w9, [x26, #0x58]
0xfffffff0087f178c: 4adf40b9  ldr	w10, [x26, #0xdc]
0xfffffff0087f1790: e92a0229  stp	w9, w10, [x23, #0x10]
0xfffffff0087f1794: 49e740b9  ldr	w9, [x26, #0xe4]
0xfffffff0087f1798: e9220329  stp	w9, w8, [x23, #0x18]
0xfffffff0087f179c: 16041037  tbnz	w22, #2, #0xfffffff0087f181c
0xfffffff0087f17a0: 49ef40b9  ldr	w9, [x26, #0xec]
0xfffffff0087f17a4: 1f000014  b	#0xfffffff0087f1820
0xfffffff0087f17a8: 000f8052  mov	w0, #0x78
0xfffffff0087f17ac: 81008052  mov	w1, #4
0xfffffff0087f17b0: 08280294  bl	#0xfffffff00887b7d0
0xfffffff0087f17b4: 400b0034  cbz	w0, #0xfffffff0087f191c
0xfffffff0087f17b8: 000f8052  mov	w0, #0x78
