; Candidate 13885
; ADRP+ADD at VM 0xfffffff0095e97e8 (fileoff 0x25e57e8): page=0x1fe613000 add_imm=0xd80

0xfffffff0095e9768: 700240f9  ldr	x16, [x19]
0xfffffff0095e976c: f10313aa  mov	x17, x19
0xfffffff0095e9770: b1c0fdf2  movk	x17, #0xee05, lsl #48
0xfffffff0095e9774: 301ac1da  autda	x16, x17
0xfffffff0095e9778: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff0095e977c: e10310aa  mov	x1, x16
0xfffffff0095e9780: f00308aa  mov	x16, x8
0xfffffff0095e9784: e00313aa  mov	x0, x19
0xfffffff0095e9788: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0095e978c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0095e9790: ff2303d5  autibsp	
0xfffffff0095e9794: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0095e9798: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0095e97a0
0xfffffff0095e979c: 208e38d4  brk	#0xc471
0xfffffff0095e97a0: f10301aa  mov	x17, x1
0xfffffff0095e97a4: 3137eaf2  movk	x17, #0x51b9, lsl #48
0xfffffff0095e97a8: 110a1fd7  braa	x16, x17
0xfffffff0095e97ac: 7c7e0094  bl	#0xfffffff00960919c
0xfffffff0095e97b0: 437e0094  bl	#0xfffffff0096090bc
0xfffffff0095e97b4: 9f2403d5  bti	j
0xfffffff0095e97b8: 5d7e0094  bl	#0xfffffff00960912c
0xfffffff0095e97bc: 9f2403d5  bti	j
0xfffffff0095e97c0: 697e0094  bl	#0xfffffff009609164
0xfffffff0095e97c4: 9f2403d5  bti	j
0xfffffff0095e97c8: 4b7e0094  bl	#0xfffffff0096090f4
0xfffffff0095e97cc: e8000000  udf	#0xe8
0xfffffff0095e97d0: 58000000  udf	#0x58
0xfffffff0095e97d4: d8000000  udf	#0xd8
0xfffffff0095e97d8: 0c000000  udf	#0xc
0xfffffff0095e97dc: e0000000  udf	#0xe0
0xfffffff0095e97e0: 5f2403d5  bti	c
0xfffffff0095e97e4: e10300aa  mov	x1, x0
0xfffffff0095e97e8: 8030fff0  adrp	x0, #0xfffffff007bfc000
0xfffffff0095e97ec: 00003691  add	x0, x0, #0xd80
0xfffffff0095e97f0: c7b3b517  b	#0xfffffff00835670c
0xfffffff0095e97f4: 7f2303d5  pacibsp	
0xfffffff0095e97f8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0095e97fc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0095e9800: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0095e9804: fd830091  add	x29, sp, #0x20
0xfffffff0095e9808: 08204139  ldrb	w8, [x0, #0x48]
0xfffffff0095e980c: a8070035  cbnz	w8, #0xfffffff0095e9900
0xfffffff0095e9810: f30301aa  mov	x19, x1
0xfffffff0095e9814: 41060034  cbz	w1, #0xfffffff0095e98dc
0xfffffff0095e9818: f40300aa  mov	x20, x0
0xfffffff0095e981c: 083c40b9  ldr	w8, [x0, #0x3c]
0xfffffff0095e9820: 28060034  cbz	w8, #0xfffffff0095e98e4
0xfffffff0095e9824: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0095e9828: e80700f9  str	x8, [sp, #8]
0xfffffff0095e982c: ff0700b9  str	wzr, [sp, #4]
0xfffffff0095e9830: 803a40f9  ldr	x0, [x20, #0x70]
0xfffffff0095e9834: 100040f9  ldr	x16, [x0]
0xfffffff0095e9838: f10300aa  mov	x17, x0
0xfffffff0095e983c: 9103f6f2  movk	x17, #0xb01c, lsl #48
0xfffffff0095e9840: 301ac1da  autda	x16, x17
0xfffffff0095e9844: 114b80d2  mov	x17, #0x258
0xfffffff0095e9848: 1002118b  add	x16, x16, x17
0xfffffff0095e984c: 080240f9  ldr	x8, [x16]
0xfffffff0095e9850: e90310aa  mov	x9, x16
0xfffffff0095e9854: e10313aa  mov	x1, x19
0xfffffff0095e9858: f10309aa  mov	x17, x9
0xfffffff0095e985c: f173e8f2  movk	x17, #0x439f, lsl #48
0xfffffff0095e9860: 11093fd7  blraa	x8, x17
0xfffffff0095e9864: e8ff9f52  mov	w8, #0xffff
