; Candidate 6214
; ADRP+ADD at VM 0xfffffff00881ac60 (fileoff 0x1816c60): page=0x1fe9cf000 add_imm=0xe80

0xfffffff00881abe0: a9408152  mov	w9, #0xa05
0xfffffff00881abe4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881abe8: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881abec: 08911491  add	x8, x8, #0x524
0xfffffff00881abf0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881abf4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00881abf8: 880e8052  mov	w8, #0x74
0xfffffff00881abfc: 2050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881ac00: 002c1791  add	x0, x0, #0x5cb
0xfffffff00881ac04: c5000014  b	#0xfffffff00881af18
0xfffffff00881ac08: 69650294  bl	#0xfffffff0088b41ac
0xfffffff00881ac0c: f90300aa  mov	x25, x0
0xfffffff00881ac10: 80008052  mov	w0, #4
0xfffffff00881ac14: 0f830194  bl	#0xfffffff00887b850
0xfffffff00881ac18: e80318aa  mov	x8, x24
0xfffffff00881ac1c: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881ac20: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881ac24: e80316aa  mov	x8, x22
0xfffffff00881ac28: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881ac2c: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881ac30: a84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881ac34: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881ac38: c93e8152  mov	w9, #0x9f6
0xfffffff00881ac3c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881ac40: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881ac44: 08911491  add	x8, x8, #0x524
0xfffffff00881ac48: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881ac4c: 880e8052  mov	w8, #0x74
0xfffffff00881ac50: 6351fff0  adrp	x3, #0xfffffff007249000
0xfffffff00881ac54: 63381791  add	x3, x3, #0x5ce
0xfffffff00881ac58: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881ac5c: f90300f9  str	x25, [sp]
0xfffffff00881ac60: 604efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881ac64: 00003a91  add	x0, x0, #0xe80
0xfffffff00881ac68: 618fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881ac6c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881ac70: 02008052  mov	w2, #0
0xfffffff00881ac74: 2f61ec97  bl	#0xfffffff008333130
0xfffffff00881ac78: 11fdff17  b	#0xfffffff00881a0bc
0xfffffff00881ac7c: f80300aa  mov	x24, x0
0xfffffff00881ac80: 800e8052  mov	w0, #0x74
0xfffffff00881ac84: 81008052  mov	w1, #4
0xfffffff00881ac88: d2820194  bl	#0xfffffff00887b7d0
0xfffffff00881ac8c: 80a1ff34  cbz	w0, #0xfffffff00881a0bc
0xfffffff00881ac90: 800e8052  mov	w0, #0x74
0xfffffff00881ac94: e1820194  bl	#0xfffffff00887b818
0xfffffff00881ac98: fa0300aa  mov	x26, x0
0xfffffff00881ac9c: 44650294  bl	#0xfffffff0088b41ac
0xfffffff00881aca0: f90300aa  mov	x25, x0
0xfffffff00881aca4: 80008052  mov	w0, #4
0xfffffff00881aca8: ea820194  bl	#0xfffffff00887b850
0xfffffff00881acac: da130034  cbz	w26, #0xfffffff00881af24
0xfffffff00881acb0: 686a7bb8  ldr	w8, [x19, x27]
0xfffffff00881acb4: e90318aa  mov	x9, x24
0xfffffff00881acb8: 6a5a40b9  ldr	w10, [x19, #0x58]
0xfffffff00881acbc: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff00881acc0: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff00881acc4: a84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff00881acc8: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881accc: c93f8152  mov	w9, #0x9fe
0xfffffff00881acd0: e8f302a9  stp	x8, x28, [sp, #0x28]
0xfffffff00881acd4: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881acd8: 08911491  add	x8, x8, #0x524
0xfffffff00881acdc: e8a701a9  stp	x8, x9, [sp, #0x18]
