; Candidate 957
; ADRP+ADD at VM 0xfffffff00811f88c (fileoff 0x111b88c): page=0x1fef5c000 add_imm=0xcfe

0xfffffff00811f80c: 82058052  mov	w2, #0x2c
0xfffffff00811f810: 23058052  mov	w3, #0x29
0xfffffff00811f814: f4580494  bl	#0xfffffff008235be4
0xfffffff00811f818: c0feffb4  cbz	x0, #0xfffffff00811f7f0
0xfffffff00811f81c: e30300aa  mov	x3, x0
0xfffffff00811f820: 75a20191  add	x21, x19, #0x68
0xfffffff00811f824: e00315aa  mov	x0, x21
0xfffffff00811f828: e10314aa  mov	x1, x20
0xfffffff00811f82c: 020080d2  mov	x2, #0
0xfffffff00811f830: 040080d2  mov	x4, #0
0xfffffff00811f834: 4b560494  bl	#0xfffffff008235160
0xfffffff00811f838: c0fdff34  cbz	w0, #0xfffffff00811f7f0
0xfffffff00811f83c: 680641b9  ldr	w8, [x19, #0x104]
0xfffffff00811f840: 88000035  cbnz	w8, #0xfffffff00811f850
0xfffffff00811f844: 68a24339  ldrb	w8, [x19, #0xe8]
0xfffffff00811f848: 1f0d1d72  tst	w8, #0x78
0xfffffff00811f84c: 20fdff54  b.eq	#0xfffffff00811f7f0
0xfffffff00811f850: e00313aa  mov	x0, x19
0xfffffff00811f854: e10315aa  mov	x1, x21
0xfffffff00811f858: 020080d2  mov	x2, #0
0xfffffff00811f85c: a64a0494  bl	#0xfffffff0082322f4
0xfffffff00811f860: e4ffff17  b	#0xfffffff00811f7f0
0xfffffff00811f864: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00811f868: 48fcffb4  cbz	x8, #0xfffffff00811f7f0
0xfffffff00811f86c: 08454079  ldrh	w8, [x8, #0x22]
0xfffffff00811f870: 1f190071  cmp	w8, #6
0xfffffff00811f874: 01faff54  b.ne	#0xfffffff00811f7b4
0xfffffff00811f878: deffff17  b	#0xfffffff00811f7f0
0xfffffff00811f87c: e87aff90  adrp	x8, #0xfffffff00707b000
0xfffffff00811f880: 081d2e91  add	x8, x8, #0xb87
0xfffffff00811f884: 09068152  mov	w9, #0x830
0xfffffff00811f888: e82700a9  stp	x8, x9, [sp]
0xfffffff00811f88c: e07aff90  adrp	x0, #0xfffffff00707b000
0xfffffff00811f890: 00f83391  add	x0, x0, #0xcfe
0xfffffff00811f894: 1ed30d94  bl	#0xfffffff00849450c
0xfffffff00811f898: 5f2403d5  bti	c
0xfffffff00811f89c: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff00811f8a0: 3fa00071  cmp	w1, #0x28
0xfffffff00811f8a4: 61000054  b.ne	#0xfffffff00811f8b0
0xfffffff00811f8a8: 00190091  add	x0, x8, #6
0xfffffff00811f8ac: c0035fd6  ret	
0xfffffff00811f8b0: 3fa40071  cmp	w1, #0x29
0xfffffff00811f8b4: 8b020054  b.lt	#0xfffffff00811f904
0xfffffff00811f8b8: 00190091  add	x0, x8, #6
0xfffffff00811f8bc: 09058052  mov	w9, #0x28
0xfffffff00811f8c0: 4a008052  mov	w10, #2
0xfffffff00811f8c4: 6b008052  mov	w11, #3
0xfffffff00811f8c8: 09000014  b	#0xfffffff00811f8ec
0xfffffff00811f8cc: 9fcd0071  cmp	w12, #0x33
0xfffffff00811f8d0: 4c018b1a  csel	w12, w10, w11, eq
0xfffffff00811f8d4: 0d044039  ldrb	w13, [x0, #1]
0xfffffff00811f8d8: ac21cc1a  lsl	w12, w13, w12
0xfffffff00811f8dc: 8c210011  add	w12, w12, #8
0xfffffff00811f8e0: 8901090b  add	w9, w12, w9
0xfffffff00811f8e4: 3f01016b  cmp	w9, w1
0xfffffff00811f8e8: 0a010054  b.ge	#0xfffffff00811f908
0xfffffff00811f8ec: 0c004039  ldrb	w12, [x0]
0xfffffff00811f8f0: 00c1298b  add	x0, x8, w9, sxtw
0xfffffff00811f8f4: 9fb10071  cmp	w12, #0x2c
0xfffffff00811f8f8: a1feff54  b.ne	#0xfffffff00811f8cc
0xfffffff00811f8fc: 0c018052  mov	w12, #8
0xfffffff00811f900: f8ffff17  b	#0xfffffff00811f8e0
0xfffffff00811f904: 000080d2  mov	x0, #0
0xfffffff00811f908: c0035fd6  ret	
