; Candidate 16355
; ADRP+ADD at VM 0xfffffff009e6d020 (fileoff 0x2e69020): page=0x1fd9c2000 add_imm=0xd5f

0xfffffff009e6cfa0: fd830191  add	x29, sp, #0x60
0xfffffff009e6cfa4: ff8312d1  sub	sp, sp, #0x4a0
0xfffffff009e6cfa8: fb430c91  add	x27, sp, #0x310
0xfffffff009e6cfac: 08f6fed0  adrp	x8, #0xfffffff007d2e000
0xfffffff009e6cfb0: 08d147f9  ldr	x8, [x8, #0xfa0]
0xfffffff009e6cfb4: 080140f9  ldr	x8, [x8]
0xfffffff009e6cfb8: a88318f8  stur	x8, [x29, #-0x78]
0xfffffff009e6cfbc: 481840f9  ldr	x8, [x2, #0x30]
0xfffffff009e6cfc0: 562c40f9  ldr	x22, [x2, #0x58]
0xfffffff009e6cfc4: 137040f9  ldr	x19, [x0, #0xe0]
0xfffffff009e6cfc8: 190140f9  ldr	x25, [x8]
0xfffffff009e6cfcc: 170940b9  ldr	w23, [x8, #8]
0xfffffff009e6cfd0: ff1b01f9  str	xzr, [sp, #0x230]
0xfffffff009e6cfd4: ff2f02b9  str	wzr, [sp, #0x22c]
0xfffffff009e6cfd8: 7f7f11a9  stp	xzr, xzr, [x27, #0x110]
0xfffffff009e6cfdc: df0600f9  str	xzr, [x22, #8]
0xfffffff009e6cfe0: 57017837  tbnz	w23, #0xf, #0xfffffff009e6d008
0xfffffff009e6cfe4: 08cefef0  adrp	x8, #0xfffffff00782f000
0xfffffff009e6cfe8: 08f93791  add	x8, x8, #0xdfe
0xfffffff009e6cfec: 095e8252  mov	w9, #0x12f0
0xfffffff009e6cff0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e6cff4: 00cefef0  adrp	x0, #0xfffffff00782f000
0xfffffff009e6cff8: 00843691  add	x0, x0, #0xda1
0xfffffff009e6cffc: 114a0094  bl	#0xfffffff009e7f840
0xfffffff009e6d000: 18008052  mov	w24, #0
0xfffffff009e6d004: 0e000014  b	#0xfffffff009e6d03c
0xfffffff009e6d008: f87a1012  and	w24, w23, #0xffff7fff
0xfffffff009e6d00c: c85d8252  mov	w8, #0x12ee
0xfffffff009e6d010: 09cefed0  adrp	x9, #0xfffffff00782f000
0xfffffff009e6d014: 29f93791  add	x9, x9, #0xdfe
0xfffffff009e6d018: e92300a9  stp	x9, x8, [sp]
0xfffffff009e6d01c: f80b00f9  str	x24, [sp, #0x10]
0xfffffff009e6d020: 00cefed0  adrp	x0, #0xfffffff00782f000
0xfffffff009e6d024: 007c3591  add	x0, x0, #0xd5f
0xfffffff009e6d028: 064a0094  bl	#0xfffffff009e7f840
0xfffffff009e6d02c: 1f070071  cmp	w24, #1
0xfffffff009e6d030: 69000054  b.ls	#0xfffffff009e6d03c
0xfffffff009e6d034: c8029852  mov	w8, #0xc016
0xfffffff009e6d038: 38000014  b	#0xfffffff009e6d118
0xfffffff009e6d03c: a1cdfeb0  adrp	x1, #0xfffffff007822000
0xfffffff009e6d040: 21601a91  add	x1, x1, #0x698
0xfffffff009e6d044: e4b30891  add	x4, sp, #0x22c
0xfffffff009e6d048: e00313aa  mov	x0, x19
0xfffffff009e6d04c: 22008052  mov	w2, #1
0xfffffff009e6d050: 03008052  mov	w3, #0
0xfffffff009e6d054: 04dbff97  bl	#0xfffffff009e63c64
0xfffffff009e6d058: 200500b4  cbz	x0, #0xfffffff009e6d0fc
0xfffffff009e6d05c: f40300aa  mov	x20, x0
0xfffffff009e6d060: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff009e6d064: 212b00f0  adrp	x1, #0xfffffff00a3d4000
0xfffffff009e6d068: 21001a91  add	x1, x1, #0x680
0xfffffff009e6d06c: 22db9197  bl	#0xfffffff0082e3cf4
0xfffffff009e6d070: a00300b4  cbz	x0, #0xfffffff009e6d0e4
0xfffffff009e6d074: f50300aa  mov	x21, x0
0xfffffff009e6d078: 100040f9  ldr	x16, [x0]
0xfffffff009e6d07c: f10300aa  mov	x17, x0
0xfffffff009e6d080: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009e6d084: 301ac1da  autda	x16, x17
0xfffffff009e6d088: 116e80d2  mov	x17, #0x370
0xfffffff009e6d08c: 1002118b  add	x16, x16, x17
0xfffffff009e6d090: 080240f9  ldr	x8, [x16]
0xfffffff009e6d094: e90310aa  mov	x9, x16
0xfffffff009e6d098: f10309aa  mov	x17, x9
0xfffffff009e6d09c: f176f2f2  movk	x17, #0x93b7, lsl #48
