; Candidate 12926
; ADRP+ADD at VM 0xfffffff0091897f8 (fileoff 0x21857f8): page=0x1fe9f7000 add_imm=0xd88

0xfffffff009189778: 504ffff0  adrp	x16, #0xfffffff007b74000
0xfffffff00918977c: 10021e91  add	x16, x16, #0x780
0xfffffff009189780: 10420091  add	x16, x16, #0x10
0xfffffff009189784: f10308aa  mov	x17, x8
0xfffffff009189788: 317ae4f2  movk	x17, #0x23d1, lsl #48
0xfffffff00918978c: 300ac1da  pacda	x16, x17
0xfffffff009189790: 70ae2ef9  str	x16, [x19, #0x5d58]
0xfffffff009189794: 08c08b52  mov	w8, #0x5e00
0xfffffff009189798: 6802088b  add	x8, x19, x8
0xfffffff00918979c: 104ffff0  adrp	x16, #0xfffffff007b6c000
0xfffffff0091897a0: 10620491  add	x16, x16, #0x118
0xfffffff0091897a4: 10420091  add	x16, x16, #0x10
0xfffffff0091897a8: f10308aa  mov	x17, x8
0xfffffff0091897ac: 317ae4f2  movk	x17, #0x23d1, lsl #48
0xfffffff0091897b0: 300ac1da  pacda	x16, x17
0xfffffff0091897b4: 70022ff9  str	x16, [x19, #0x5e00]
0xfffffff0091897b8: e00313aa  mov	x0, x19
0xfffffff0091897bc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0091897c0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0091897c4: ff0f5fd6  retab	
0xfffffff0091897c8: 5f2403d5  bti	c
0xfffffff0091897cc: 9effff17  b	#0xfffffff009189644
0xfffffff0091897d0: 5f2403d5  bti	c
0xfffffff0091897d4: dbe9c717  b	#0xfffffff008383f40
0xfffffff0091897d8: 5f2403d5  bti	c
0xfffffff0091897dc: d9e9c717  b	#0xfffffff008383f40
0xfffffff0091897e0: 7f2303d5  pacibsp	
0xfffffff0091897e4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0091897e8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0091897ec: fd430091  add	x29, sp, #0x10
0xfffffff0091897f0: f30300aa  mov	x19, x0
0xfffffff0091897f4: d3e9c797  bl	#0xfffffff008383f40
0xfffffff0091897f8: a04ffff0  adrp	x0, #0xfffffff007b80000
0xfffffff0091897fc: 00203691  add	x0, x0, #0xd88
0xfffffff009189800: e10313aa  mov	x1, x19
0xfffffff009189804: 02e28b52  mov	w2, #0x5f10
0xfffffff009189808: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00918980c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009189810: ff2303d5  autibsp	
0xfffffff009189814: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009189818: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009189820
0xfffffff00918981c: 208e38d4  brk	#0xc471
0xfffffff009189820: 9f77c517  b	#0xfffffff0082e769c
0xfffffff009189824: 5f2403d5  bti	c
0xfffffff009189828: e20301aa  mov	x2, x1
0xfffffff00918982c: e10300aa  mov	x1, x0
0xfffffff009189830: a04ffff0  adrp	x0, #0xfffffff007b80000
0xfffffff009189834: 00203691  add	x0, x0, #0xd88
0xfffffff009189838: 9977c517  b	#0xfffffff0082e769c
0xfffffff00918983c: 5f2403d5  bti	c
0xfffffff009189840: 608c00b0  adrp	x0, #0xfffffff00a316000
0xfffffff009189844: 00c02991  add	x0, x0, #0xa70
0xfffffff009189848: c0035fd6  ret	
0xfffffff00918984c: 7f2303d5  pacibsp	
0xfffffff009189850: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009189854: fd030091  mov	x29, sp
0xfffffff009189858: 4118fff0  adrp	x1, #0xfffffff007494000
0xfffffff00918985c: 21583091  add	x1, x1, #0xc16
0xfffffff009189860: 024fffd0  adrp	x2, #0xfffffff007b6b000
0xfffffff009189864: 42b440f9  ldr	x2, [x2, #0x168]
0xfffffff009189868: 03e28b52  mov	w3, #0x5f10
0xfffffff00918986c: b368c597  bl	#0xfffffff0082e3b38
0xfffffff009189870: 104ffff0  adrp	x16, #0xfffffff007b6c000
0xfffffff009189874: 10823c91  add	x16, x16, #0xf20
