; Candidate 5036
; ADRP+ADD at VM 0xfffffff0087d39dc (fileoff 0x17cf9dc): page=0x1fea16000 add_imm=0xe80

0xfffffff0087d395c: 000a8052  mov	w0, #0x50
0xfffffff0087d3960: ae9f0294  bl	#0xfffffff00887b818
0xfffffff0087d3964: f50300aa  mov	x21, x0
0xfffffff0087d3968: 11820394  bl	#0xfffffff0088b41ac
0xfffffff0087d396c: f40300aa  mov	x20, x0
0xfffffff0087d3970: e0008052  mov	w0, #7
0xfffffff0087d3974: b79f0294  bl	#0xfffffff00887b850
0xfffffff0087d3978: b5010034  cbz	w21, #0xfffffff0087d39ac
0xfffffff0087d397c: e851ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087d3980: 08d91d91  add	x8, x8, #0x776
0xfffffff0087d3984: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d3988: e851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087d398c: 08712591  add	x8, x8, #0x95c
0xfffffff0087d3990: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d3994: 080a8052  mov	w8, #0x50
0xfffffff0087d3998: f42300a9  stp	x20, x8, [sp]
0xfffffff0087d399c: e051ffb0  adrp	x0, #0xfffffff007210000
0xfffffff0087d39a0: 008c2c91  add	x0, x0, #0xb23
0xfffffff0087d39a4: af8ed797  bl	#0xfffffff007db7460
0xfffffff0087d39a8: 15000014  b	#0xfffffff0087d39fc
0xfffffff0087d39ac: 00820394  bl	#0xfffffff0088b41ac
0xfffffff0087d39b0: f40300aa  mov	x20, x0
0xfffffff0087d39b4: e0008052  mov	w0, #7
0xfffffff0087d39b8: a69f0294  bl	#0xfffffff00887b850
0xfffffff0087d39bc: e851ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087d39c0: 08d91d91  add	x8, x8, #0x776
0xfffffff0087d39c4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d39c8: e851ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087d39cc: 08712591  add	x8, x8, #0x95c
0xfffffff0087d39d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d39d4: 080a8052  mov	w8, #0x50
0xfffffff0087d39d8: f42300a9  stp	x20, x8, [sp]
0xfffffff0087d39dc: a050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d39e0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d39e4: a191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d39e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d39ec: 4353ff90  adrp	x3, #0xfffffff00723b000
0xfffffff0087d39f0: 63180a91  add	x3, x3, #0x286
0xfffffff0087d39f4: 02008052  mov	w2, #0
0xfffffff0087d39f8: ce7ded97  bl	#0xfffffff008333130
0xfffffff0087d39fc: 95138052  mov	w21, #0x9c
0xfffffff0087d3a00: d574a572  movk	w21, #0x2ba6, lsl #16
0xfffffff0087d3a04: 80138052  mov	w0, #0x9c
0xfffffff0087d3a08: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d3a0c: 61008052  mov	w1, #3
0xfffffff0087d3a10: 020080d2  mov	x2, #0
0xfffffff0087d3a14: 030080d2  mov	x3, #0
0xfffffff0087d3a18: 040080d2  mov	x4, #0
0xfffffff0087d3a1c: 050080d2  mov	x5, #0
0xfffffff0087d3a20: 39a9e697  bl	#0xfffffff00817df04
0xfffffff0087d3a24: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087d3a28: 100040f9  ldr	x16, [x0]
0xfffffff0087d3a2c: f10300aa  mov	x17, x0
0xfffffff0087d3a30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d3a34: 301ac1da  autda	x16, x17
0xfffffff0087d3a38: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0087d3a3c: e90310aa  mov	x9, x16
0xfffffff0087d3a40: 700300d0  adrp	x16, #0xfffffff008841000
0xfffffff0087d3a44: 10a20791  add	x16, x16, #0x1e8
0xfffffff0087d3a48: 31a897d2  mov	x17, #0xbd41
0xfffffff0087d3a4c: 3002c1da  pacia	x16, x17
0xfffffff0087d3a50: e10310aa  mov	x1, x16
0xfffffff0087d3a54: 020080d2  mov	x2, #0
0xfffffff0087d3a58: 030080d2  mov	x3, #0
