; Candidate 16704
; ADRP+ADD at VM 0xfffffff009f30fd0 (fileoff 0x2f2cfd0): page=0x1fd92b000 add_imm=0xe20

0xfffffff009f30f50: e10317aa  mov	x1, x23
0xfffffff009f30f54: e23740f9  ldr	x2, [sp, #0x68]
0xfffffff009f30f58: 8e6e7897  bl	#0xfffffff007d4c990
0xfffffff009f30f5c: 086340f9  ldr	x8, [x24, #0xc0]
0xfffffff009f30f60: 082d40f9  ldr	x8, [x8, #0x58]
0xfffffff009f30f64: 096b40f9  ldr	x9, [x24, #0xd0]
0xfffffff009f30f68: 28c500f9  str	x8, [x9, #0x188]
0xfffffff009f30f6c: e00318aa  mov	x0, x24
0xfffffff009f30f70: 010080d2  mov	x1, #0
0xfffffff009f30f74: 42008052  mov	w2, #2
0xfffffff009f30f78: 620cfe97  bl	#0xfffffff009eb4100
0xfffffff009f30f7c: c0380035  cbnz	w0, #0xfffffff009f31694
0xfffffff009f30f80: 08b34439  ldrb	w8, [x24, #0x12c]
0xfffffff009f30f84: e8040034  cbz	w8, #0xfffffff009f31020
0xfffffff009f30f88: 086740f9  ldr	x8, [x24, #0xc8]
0xfffffff009f30f8c: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f30f90: e99f40b9  ldr	w9, [sp, #0x9c]
0xfffffff009f30f94: e9020036  tbz	w9, #0, #0xfffffff009f30ff0
0xfffffff009f30f98: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f30f9c: 88c68052  mov	w8, #0x634
0xfffffff009f30fa0: 74c9fe90  adrp	x20, #0xfffffff00785c000
0xfffffff009f30fa4: 94560e91  add	x20, x20, #0x395
0xfffffff009f30fa8: f42300a9  stp	x20, x8, [sp]
0xfffffff009f30fac: 40c9fef0  adrp	x0, #0xfffffff00785b000
0xfffffff009f30fb0: 00683791  add	x0, x0, #0xdda
0xfffffff009f30fb4: 2e3afd97  bl	#0xfffffff009e7f86c
0xfffffff009f30fb8: f80316aa  mov	x24, x22
0xfffffff009f30fbc: c86640f9  ldr	x8, [x22, #0xc8]
0xfffffff009f30fc0: 098942f9  ldr	x9, [x8, #0x510]
0xfffffff009f30fc4: 08c78052  mov	w8, #0x638
0xfffffff009f30fc8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009f30fcc: f40300f9  str	x20, [sp]
0xfffffff009f30fd0: 40c9fef0  adrp	x0, #0xfffffff00785b000
0xfffffff009f30fd4: 00803891  add	x0, x0, #0xe20
0xfffffff009f30fd8: 253afd97  bl	#0xfffffff009e7f86c
0xfffffff009f30fdc: c82241f9  ldr	x8, [x22, #0x240]
0xfffffff009f30fe0: 080200b4  cbz	x8, #0xfffffff009f31020
0xfffffff009f30fe4: 29008052  mov	w9, #1
0xfffffff009f30fe8: 09811c39  strb	w9, [x8, #0x720]
0xfffffff009f30fec: 0d000014  b	#0xfffffff009f31020
0xfffffff009f30ff0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f30ff4: 89c78052  mov	w9, #0x63c
0xfffffff009f30ff8: 68c9fe90  adrp	x8, #0xfffffff00785c000
0xfffffff009f30ffc: 08550e91  add	x8, x8, #0x395
0xfffffff009f31000: e82700a9  stp	x8, x9, [sp]
0xfffffff009f31004: 40c9fed0  adrp	x0, #0xfffffff00785b000
0xfffffff009f31008: 00443991  add	x0, x0, #0xe51
0xfffffff009f3100c: 183afd97  bl	#0xfffffff009e7f86c
0xfffffff009f31010: f80316aa  mov	x24, x22
0xfffffff009f31014: e00316aa  mov	x0, x22
0xfffffff009f31018: 45b10094  bl	#0xfffffff009f5d52c
0xfffffff009f3101c: 403c0035  cbnz	w0, #0xfffffff009f317a4
0xfffffff009f31020: e1030491  add	x1, sp, #0x100
0xfffffff009f31024: e00318aa  mov	x0, x24
0xfffffff009f31028: af590094  bl	#0xfffffff009f476e4
0xfffffff009f3102c: a0340035  cbnz	w0, #0xfffffff009f316c0
0xfffffff009f31030: f88340f9  ldr	x24, [sp, #0x100]
0xfffffff009f31034: 086340f9  ldr	x8, [x24, #0xc0]
0xfffffff009f31038: 015540f9  ldr	x1, [x8, #0xa8]
0xfffffff009f3103c: 08a540b9  ldr	w8, [x8, #0xa4]
0xfffffff009f31040: 02794092  and	x2, x8, #0x7fffffff
0xfffffff009f31044: 037d5fd3  ubfx	x3, x8, #0x1f, #1
0xfffffff009f31048: e00316aa  mov	x0, x22
0xfffffff009f3104c: 04008052  mov	w4, #0
