; Candidate 14890
; ADRP+ADD at VM 0xfffffff0099ded10 (fileoff 0x29dad10): page=0x1fdc1f000 add_imm=0xdf4

0xfffffff0099dec90: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0099dec94: e90310aa  mov	x9, x16
0xfffffff0099dec98: e00314aa  mov	x0, x20
0xfffffff0099dec9c: f10309aa  mov	x17, x9
0xfffffff0099deca0: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0099deca4: 11093fd7  blraa	x8, x17
0xfffffff0099deca8: 02000014  b	#0xfffffff0099decb0
0xfffffff0099decac: 00008052  mov	w0, #0
0xfffffff0099decb0: f30300a9  stp	x19, x0, [sp]
0xfffffff0099decb4: e0e0fef0  adrp	x0, #0xfffffff0075fd000
0xfffffff0099decb8: 00083791  add	x0, x0, #0xdc2
0xfffffff0099decbc: d9e0a597  bl	#0xfffffff008357020
0xfffffff0099decc0: 00008052  mov	w0, #0
0xfffffff0099decc4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0099decc8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0099deccc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0099decd0: ff030191  add	sp, sp, #0x40
0xfffffff0099decd4: ff0f5fd6  retab	
0xfffffff0099decd8: 7f2303d5  pacibsp	
0xfffffff0099decdc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0099dece0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099dece4: fd430091  add	x29, sp, #0x10
0xfffffff0099dece8: f30300aa  mov	x19, x0
0xfffffff0099decec: d44e0090  adrp	x20, #0xfffffff00a3b6000
0xfffffff0099decf0: 94a22291  add	x20, x20, #0x8a8
0xfffffff0099decf4: 880240b9  ldr	w8, [x20]
0xfffffff0099decf8: a8000036  tbz	w8, #0, #0xfffffff0099ded0c
0xfffffff0099decfc: e0e0fef0  adrp	x0, #0xfffffff0075fd000
0xfffffff0099ded00: 00d03791  add	x0, x0, #0xdf4
0xfffffff0099ded04: 1342aa97  bl	#0xfffffff00846f550
0xfffffff0099ded08: 880240b9  ldr	w8, [x20]
0xfffffff0099ded0c: 88000836  tbz	w8, #1, #0xfffffff0099ded1c
0xfffffff0099ded10: e0e0fef0  adrp	x0, #0xfffffff0075fd000
0xfffffff0099ded14: 00d03791  add	x0, x0, #0xdf4
0xfffffff0099ded18: c2e0a597  bl	#0xfffffff008357020
0xfffffff0099ded1c: 609640f9  ldr	x0, [x19, #0x128]
0xfffffff0099ded20: 600100b4  cbz	x0, #0xfffffff0099ded4c
0xfffffff0099ded24: 100040f9  ldr	x16, [x0]
0xfffffff0099ded28: f10300aa  mov	x17, x0
0xfffffff0099ded2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099ded30: 301ac1da  autda	x16, x17
0xfffffff0099ded34: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0099ded38: e90310aa  mov	x9, x16
0xfffffff0099ded3c: f10309aa  mov	x17, x9
0xfffffff0099ded40: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0099ded44: 11093fd7  blraa	x8, x17
0xfffffff0099ded48: 7f9600f9  str	xzr, [x19, #0x128]
0xfffffff0099ded4c: 609a40f9  ldr	x0, [x19, #0x130]
0xfffffff0099ded50: 600100b4  cbz	x0, #0xfffffff0099ded7c
0xfffffff0099ded54: 100040f9  ldr	x16, [x0]
0xfffffff0099ded58: f10300aa  mov	x17, x0
0xfffffff0099ded5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099ded60: 301ac1da  autda	x16, x17
0xfffffff0099ded64: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0099ded68: e90310aa  mov	x9, x16
0xfffffff0099ded6c: f10309aa  mov	x17, x9
0xfffffff0099ded70: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0099ded74: 11093fd7  blraa	x8, x17
0xfffffff0099ded78: 7f9a00f9  str	xzr, [x19, #0x130]
0xfffffff0099ded7c: 609240f9  ldr	x0, [x19, #0x120]
0xfffffff0099ded80: 600100b4  cbz	x0, #0xfffffff0099dedac
0xfffffff0099ded84: 100040f9  ldr	x16, [x0]
0xfffffff0099ded88: f10300aa  mov	x17, x0
0xfffffff0099ded8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
