; Candidate 656
; ADRP+ADD at VM 0xfffffff00800bf34 (fileoff 0x1007f34): page=0x1ff96a000 add_imm=0xcf0

0xfffffff00800beb4: 02028052  mov	w2, #0x10
0xfffffff00800beb8: b602f597  bl	#0xfffffff007d4c990
0xfffffff00800bebc: c84240f9  ldr	x8, [x22, #0x80]
0xfffffff00800bec0: 15d140b9  ldr	w21, [x8, #0xd0]
0xfffffff00800bec4: e3bf0091  add	x3, sp, #0x2f
0xfffffff00800bec8: e00313aa  mov	x0, x19
0xfffffff00800becc: e10316aa  mov	x1, x22
0xfffffff00800bed0: e20317aa  mov	x2, x23
0xfffffff00800bed4: 04008052  mov	w4, #0
0xfffffff00800bed8: e8020094  bl	#0xfffffff00800ca78
0xfffffff00800bedc: 40110034  cbz	w0, #0xfffffff00800c104
0xfffffff00800bee0: f40300aa  mov	x20, x0
0xfffffff00800bee4: e00318aa  mov	x0, x24
0xfffffff00800bee8: b286f697  bl	#0xfffffff007dad9b0
0xfffffff00800beec: e00318aa  mov	x0, x24
0xfffffff00800bef0: ce89f697  bl	#0xfffffff007dae628
0xfffffff00800bef4: 810d01f0  adrp	x1, #0xfffffff00a1be000
0xfffffff00800bef8: 21200f91  add	x1, x1, #0x3c8
0xfffffff00800befc: e00318aa  mov	x0, x24
0xfffffff00800bf00: c384f697  bl	#0xfffffff007dad20c
0xfffffff00800bf04: c14240f9  ldr	x1, [x22, #0x80]
0xfffffff00800bf08: 28d440b9  ldr	w8, [x1, #0xd4]
0xfffffff00800bf0c: 02610391  add	x2, x8, #0xd8
0xfffffff00800bf10: df4200f9  str	xzr, [x22, #0x80]
0xfffffff00800bf14: 20cbff90  adrp	x0, #0xfffffff00796f000
0xfffffff00800bf18: 00201a91  add	x0, x0, #0x688
0xfffffff00800bf1c: d46af697  bl	#0xfffffff007da6a6c
0xfffffff00800bf20: 40cbffd0  adrp	x0, #0xfffffff007975000
0xfffffff00800bf24: 00c03791  add	x0, x0, #0xdf0
0xfffffff00800bf28: e10316aa  mov	x1, x22
0xfffffff00800bf2c: 38f7f797  bl	#0xfffffff007e09c0c
0xfffffff00800bf30: bbfcff17  b	#0xfffffff00800b21c
0xfffffff00800bf34: 40cbffd0  adrp	x0, #0xfffffff007975000
0xfffffff00800bf38: 00c03391  add	x0, x0, #0xcf0
0xfffffff00800bf3c: 81009052  mov	w1, #0x8004
0xfffffff00800bf40: e56bf697  bl	#0xfffffff007da6ed4
0xfffffff00800bf44: f80300aa  mov	x24, x0
0xfffffff00800bf48: 20cbff90  adrp	x0, #0xfffffff00796f000
0xfffffff00800bf4c: 00201a91  add	x0, x0, #0x688
0xfffffff00800bf50: e10314aa  mov	x1, x20
0xfffffff00800bf54: 02009052  mov	w2, #0x8000
0xfffffff00800bf58: 030080d2  mov	x3, #0
0xfffffff00800bf5c: 6969f697  bl	#0xfffffff007da6500
0xfffffff00800bf60: 000f00f9  str	x0, [x24, #0x18]
0xfffffff00800bf64: 141300b9  str	w20, [x24, #0x10]
0xfffffff00800bf68: e10315aa  mov	x1, x21
0xfffffff00800bf6c: e20314aa  mov	x2, x20
0xfffffff00800bf70: 8802f597  bl	#0xfffffff007d4c990
0xfffffff00800bf74: 1f0300f9  str	xzr, [x24]
0xfffffff00800bf78: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00800bf7c: 083940f9  ldr	x8, [x8, #0x70]
0xfffffff00800bf80: 080700f9  str	x8, [x24, #8]
0xfffffff00800bf84: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00800bf88: 083940f9  ldr	x8, [x8, #0x70]
0xfffffff00800bf8c: 180100f9  str	x24, [x8]
0xfffffff00800bf90: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00800bf94: 183900f9  str	x24, [x8, #0x70]
0xfffffff00800bf98: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00800bf9c: 095140b9  ldr	w9, [x8, #0x50]
0xfffffff00800bfa0: 29050011  add	w9, w9, #1
0xfffffff00800bfa4: 095100b9  str	w9, [x8, #0x50]
0xfffffff00800bfa8: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00800bfac: 1f2500f9  str	xzr, [x8, #0x48]
0xfffffff00800bfb0: 680e40f9  ldr	x8, [x19, #0x18]
