; Candidate 8303
; ADRP+ADD at VM 0xfffffff0088a21a0 (fileoff 0x189e1a0): page=0x1fe947000 add_imm=0xe80

0xfffffff0088a2120: 63442191  add	x3, x3, #0x851
0xfffffff0088a2124: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a2128: 204afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a212c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a2130: 218bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a2134: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a2138: 02008052  mov	w2, #0
0xfffffff0088a213c: fd43ea97  bl	#0xfffffff008333130
0xfffffff0088a2140: 17008052  mov	w23, #0
0xfffffff0088a2144: 1e000014  b	#0xfffffff0088a21bc
0xfffffff0088a2148: 19480094  bl	#0xfffffff0088b41ac
0xfffffff0088a214c: f60300aa  mov	x22, x0
0xfffffff0088a2150: 80008052  mov	w0, #4
0xfffffff0088a2154: bf65ff97  bl	#0xfffffff00887b850
0xfffffff0088a2158: e80315aa  mov	x8, x21
0xfffffff0088a215c: 690240b9  ldr	w9, [x19]
0xfffffff0088a2160: f4a304a9  stp	x20, x8, [sp, #0x48]
0xfffffff0088a2164: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff0088a2168: 684cffd0  adrp	x8, #0xfffffff007230000
0xfffffff0088a216c: 0a511691  add	x10, x8, #0x594
0xfffffff0088a2170: 88b08052  mov	w8, #0x584
0xfffffff0088a2174: 694cfff0  adrp	x9, #0xfffffff007231000
0xfffffff0088a2178: 29b51b91  add	x9, x9, #0x6ed
0xfffffff0088a217c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a2180: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a2184: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a2188: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a218c: a80f8052  mov	w8, #0x7d
0xfffffff0088a2190: e34dfff0  adrp	x3, #0xfffffff007261000
0xfffffff0088a2194: 63502291  add	x3, x3, #0x894
0xfffffff0088a2198: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a219c: f60300f9  str	x22, [sp]
0xfffffff0088a21a0: 204afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a21a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a21a8: 218bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a21ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a21b0: 02008052  mov	w2, #0
0xfffffff0088a21b4: df43ea97  bl	#0xfffffff008333130
0xfffffff0088a21b8: 177d8012  mov	w23, #-0x3e9
0xfffffff0088a21bc: a00f8052  mov	w0, #0x7d
0xfffffff0088a21c0: e1008052  mov	w1, #7
0xfffffff0088a21c4: 8365ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a21c8: 20060034  cbz	w0, #0xfffffff0088a228c
0xfffffff0088a21cc: a00f8052  mov	w0, #0x7d
0xfffffff0088a21d0: 9265ff97  bl	#0xfffffff00887b818
0xfffffff0088a21d4: f80300aa  mov	x24, x0
0xfffffff0088a21d8: f5470094  bl	#0xfffffff0088b41ac
0xfffffff0088a21dc: f60300aa  mov	x22, x0
0xfffffff0088a21e0: e0008052  mov	w0, #7
0xfffffff0088a21e4: 9b65ff97  bl	#0xfffffff00887b850
0xfffffff0088a21e8: 38020034  cbz	w24, #0xfffffff0088a222c
0xfffffff0088a21ec: e80317aa  mov	x8, x23
0xfffffff0088a21f0: 690240b9  ldr	w9, [x19]
0xfffffff0088a21f4: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0088a21f8: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0088a21fc: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a2200: 08b51b91  add	x8, x8, #0x6ed
0xfffffff0088a2204: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a2208: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a220c: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a2210: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a2214: a80f8052  mov	w8, #0x7d
0xfffffff0088a2218: 604cfff0  adrp	x0, #0xfffffff007231000
0xfffffff0088a221c: 00fc2491  add	x0, x0, #0x93f
