; Candidate 649
; ADRP+ADD at VM 0xfffffff007fcd12c (fileoff 0xfc912c): page=0x1ff9af000 add_imm=0xd70

0xfffffff007fcd0ac: c184ffd0  adrp	x1, #0xfffffff007067000
0xfffffff007fcd0b0: 21300791  add	x1, x1, #0x1cc
0xfffffff007fcd0b4: 82908152  mov	w2, #0xc84
0xfffffff007fcd0b8: d7491394  bl	#0xfffffff00849f814
0xfffffff007fcd0bc: 801301d0  adrp	x0, #0xfffffff00a23f000
0xfffffff007fcd0c0: 00000991  add	x0, x0, #0x240
0xfffffff007fcd0c4: e1031aaa  mov	x1, x26
0xfffffff007fcd0c8: a77df797  bl	#0xfffffff007dac764
0xfffffff007fcd0cc: 15fdff17  b	#0xfffffff007fcc520
0xfffffff007fcd0d0: 97230035  cbnz	w23, #0xfffffff007fcd540
0xfffffff007fcd0d4: 60cdfff0  adrp	x0, #0xfffffff00797c000
0xfffffff007fcd0d8: 00c03591  add	x0, x0, #0xd70
0xfffffff007fcd0dc: e10316aa  mov	x1, x22
0xfffffff007fcd0e0: cbf2f897  bl	#0xfffffff007e09c0c
0xfffffff007fcd0e4: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff007fcd0e8: 171140f9  ldr	x23, [x8, #0x20]
0xfffffff007fcd0ec: ff0f01f9  str	xzr, [sp, #0x218]
0xfffffff007fcd0f0: ff0b01f9  str	xzr, [sp, #0x210]
0xfffffff007fcd0f4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007fcd0f8: e08313ad  stp	q0, q0, [sp, #0x270]
0xfffffff007fcd0fc: e08312ad  stp	q0, q0, [sp, #0x250]
0xfffffff007fcd100: e0430891  add	x0, sp, #0x210
0xfffffff007fcd104: 01008052  mov	w1, #0
0xfffffff007fcd108: 02028052  mov	w2, #0x10
0xfffffff007fcd10c: adfef597  bl	#0xfffffff007d4cbc0
0xfffffff007fcd110: 481201d0  adrp	x8, #0xfffffff00a217000
0xfffffff007fcd114: 082544f9  ldr	x8, [x8, #0x848]
0xfffffff007fcd118: 280900b4  cbz	x8, #0xfffffff007fcd23c
0xfffffff007fcd11c: 01410191  add	x1, x8, #0x50
0xfffffff007fcd120: e0430891  add	x0, sp, #0x210
0xfffffff007fcd124: 02028052  mov	w2, #0x10
0xfffffff007fcd128: 1afef597  bl	#0xfffffff007d4c990
0xfffffff007fcd12c: 60cdfff0  adrp	x0, #0xfffffff00797c000
0xfffffff007fcd130: 00c03591  add	x0, x0, #0xd70
0xfffffff007fcd134: 81008052  mov	w1, #4
0xfffffff007fcd138: 6767f797  bl	#0xfffffff007da6ed4
0xfffffff007fcd13c: e02000b4  cbz	x0, #0xfffffff007fcd558
0xfffffff007fcd140: f60300aa  mov	x22, x0
0xfffffff007fcd144: 75120491  add	x21, x19, #0x104
0xfffffff007fcd148: 683242b9  ldr	w8, [x19, #0x230]
0xfffffff007fcd14c: 090040f9  ldr	x9, [x0]
0xfffffff007fcd150: 2a017cb2  orr	x10, x9, #0x10
0xfffffff007fcd154: 0a0000f9  str	x10, [x0]
0xfffffff007fcd158: 081400f9  str	x8, [x0, #0x28]
0xfffffff007fcd15c: 683a42b9  ldr	w8, [x19, #0x238]
0xfffffff007fcd160: 8a028052  mov	w10, #0x14
0xfffffff007fcd164: 2a010aaa  orr	x10, x9, x10
0xfffffff007fcd168: 0a0000f9  str	x10, [x0]
0xfffffff007fcd16c: 080c00f9  str	x8, [x0, #0x18]
0xfffffff007fcd170: 683e42b9  ldr	w8, [x19, #0x23c]
0xfffffff007fcd174: 081000f9  str	x8, [x0, #0x20]
0xfffffff007fcd178: 480f0190  adrp	x8, #0xfffffff00a1b5000
0xfffffff007fcd17c: 08954eb9  ldr	w8, [x8, #0xe94]
0xfffffff007fcd180: 1f010071  cmp	w8, #0
0xfffffff007fcd184: 08088052  mov	w8, #0x40
0xfffffff007fcd188: 08159f9a  csinc	x8, x8, xzr, ne
0xfffffff007fcd18c: 8a038052  mov	w10, #0x1c
0xfffffff007fcd190: 0a01a072  movk	w10, #8, lsl #16
0xfffffff007fcd194: 29010aaa  orr	x9, x9, x10
0xfffffff007fcd198: 090000f9  str	x9, [x0]
0xfffffff007fcd19c: 084c00f9  str	x8, [x0, #0x98]
0xfffffff007fcd1a0: 3886ffb0  adrp	x24, #0xfffffff007092000
0xfffffff007fcd1a4: 185f0891  add	x24, x24, #0x217
0xfffffff007fcd1a8: f85f00a9  stp	x24, x23, [sp]
