; Candidate 14768
; ADRP+ADD at VM 0xfffffff009909078 (fileoff 0x2905078): page=0xa8c000 add_imm=0xe20

0xfffffff009908ff8: 21541c91  add	x1, x1, #0x715
0xfffffff009908ffc: e20314aa  mov	x2, x20
0xfffffff009909000: 03058052  mov	w3, #0x28
0xfffffff009909004: cd6aa797  bl	#0xfffffff0082e3b38
0xfffffff009909008: 701bffb0  adrp	x16, #0xfffffff007c76000
0xfffffff00990900c: 10423891  add	x16, x16, #0xe10
0xfffffff009909010: 10420091  add	x16, x16, #0x10
0xfffffff009909014: f10300aa  mov	x17, x0
0xfffffff009909018: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00990901c: 300ac1da  pacda	x16, x17
0xfffffff009909020: 100000f9  str	x16, [x0]
0xfffffff009909024: 60540090  adrp	x0, #0xfffffff00a395000
0xfffffff009909028: 00803891  add	x0, x0, #0xe20
0xfffffff00990902c: a1e6feb0  adrp	x1, #0xfffffff0075de000
0xfffffff009909030: 21001d91  add	x1, x1, #0x740
0xfffffff009909034: 62540090  adrp	x2, #0xfffffff00a395000
0xfffffff009909038: 42002f91  add	x2, x2, #0xbc0
0xfffffff00990903c: 03218052  mov	w3, #0x108
0xfffffff009909040: be6aa797  bl	#0xfffffff0082e3b38
0xfffffff009909044: 701bffd0  adrp	x16, #0xfffffff007c77000
0xfffffff009909048: 10621691  add	x16, x16, #0x598
0xfffffff00990904c: 10420091  add	x16, x16, #0x10
0xfffffff009909050: f10300aa  mov	x17, x0
0xfffffff009909054: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009909058: 300ac1da  pacda	x16, x17
0xfffffff00990905c: 100000f9  str	x16, [x0]
0xfffffff009909060: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009909064: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009909068: ff0f5fd6  retab	
0xfffffff00990906c: 7f2303d5  pacibsp	
0xfffffff009909070: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009909074: fd030091  mov	x29, sp
0xfffffff009909078: 60540090  adrp	x0, #0xfffffff00a395000
0xfffffff00990907c: 00803891  add	x0, x0, #0xe20
0xfffffff009909080: 9d6da797  bl	#0xfffffff0082e46f4
0xfffffff009909084: 60540090  adrp	x0, #0xfffffff00a395000
0xfffffff009909088: 00e03791  add	x0, x0, #0xdf8
0xfffffff00990908c: 9a6da797  bl	#0xfffffff0082e46f4
0xfffffff009909090: 60540090  adrp	x0, #0xfffffff00a395000
0xfffffff009909094: 00403791  add	x0, x0, #0xdd0
0xfffffff009909098: 976da797  bl	#0xfffffff0082e46f4
0xfffffff00990909c: 60540090  adrp	x0, #0xfffffff00a395000
0xfffffff0099090a0: 00a03691  add	x0, x0, #0xda8
0xfffffff0099090a4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0099090a8: ff2303d5  autibsp	
0xfffffff0099090ac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0099090b0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0099090b8
0xfffffff0099090b4: 208e38d4  brk	#0xc471
0xfffffff0099090b8: 8f6da717  b	#0xfffffff0082e46f4
0xfffffff0099090bc: 7f2303d5  pacibsp	
0xfffffff0099090c0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0099090c4: fd030091  mov	x29, sp
0xfffffff0099090c8: a1e6feb0  adrp	x1, #0xfffffff0075de000
0xfffffff0099090cc: 21d02491  add	x1, x1, #0x934
0xfffffff0099090d0: 421bff90  adrp	x2, #0xfffffff007c71000
0xfffffff0099090d4: 424842f9  ldr	x2, [x2, #0x490]
0xfffffff0099090d8: 030a8052  mov	w3, #0x50
0xfffffff0099090dc: 976aa797  bl	#0xfffffff0082e3b38
0xfffffff0099090e0: 701bffd0  adrp	x16, #0xfffffff007c77000
0xfffffff0099090e4: 10422291  add	x16, x16, #0x890
0xfffffff0099090e8: 10420091  add	x16, x16, #0x10
0xfffffff0099090ec: f10300aa  mov	x17, x0
0xfffffff0099090f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099090f4: 300ac1da  pacda	x16, x17
