; Candidate 4908
; ADRP+ADD at VM 0xfffffff0087cca44 (fileoff 0x17c8a44): page=0x1fea1d000 add_imm=0xe80

0xfffffff0087cc9c4: f40300aa  mov	x20, x0
0xfffffff0087cc9c8: f99d0394  bl	#0xfffffff0088b41ac
0xfffffff0087cc9cc: f30300aa  mov	x19, x0
0xfffffff0087cc9d0: 80008052  mov	w0, #4
0xfffffff0087cc9d4: 9fbb0294  bl	#0xfffffff00887b850
0xfffffff0087cc9d8: 943d0034  cbz	w20, #0xfffffff0087cd188
0xfffffff0087cc9dc: 4a0740b9  ldr	w10, [x26, #4]
0xfffffff0087cc9e0: 0852ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087cc9e4: 08691291  add	x8, x8, #0x49a
0xfffffff0087cc9e8: 09c88052  mov	w9, #0x640
0xfffffff0087cc9ec: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087cc9f0: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cc9f4: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cc9f8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cc9fc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087cca00: 68008052  mov	w8, #3
0xfffffff0087cca04: 2052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087cca08: 00680891  add	x0, x0, #0x21a
0xfffffff0087cca0c: 04010014  b	#0xfffffff0087cce1c
0xfffffff0087cca10: e79d0394  bl	#0xfffffff0088b41ac
0xfffffff0087cca14: f30300aa  mov	x19, x0
0xfffffff0087cca18: 80008052  mov	w0, #4
0xfffffff0087cca1c: 8dbb0294  bl	#0xfffffff00887b850
0xfffffff0087cca20: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cca24: 08413c91  add	x8, x8, #0xf10
0xfffffff0087cca28: c9b58052  mov	w9, #0x5ae
0xfffffff0087cca2c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cca30: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cca34: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cca38: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cca3c: 68008052  mov	w8, #3
0xfffffff0087cca40: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cca44: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cca48: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cca4c: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087cca50: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cca54: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087cca58: 63641491  add	x3, x3, #0x519
0xfffffff0087cca5c: 02008052  mov	w2, #0
0xfffffff0087cca60: b499ed97  bl	#0xfffffff008333130
0xfffffff0087cca64: f0000014  b	#0xfffffff0087cce24
0xfffffff0087cca68: d19d0394  bl	#0xfffffff0088b41ac
0xfffffff0087cca6c: f30300aa  mov	x19, x0
0xfffffff0087cca70: 80008052  mov	w0, #4
0xfffffff0087cca74: 77bb0294  bl	#0xfffffff00887b850
0xfffffff0087cca78: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cca7c: 08f92f91  add	x8, x8, #0xbfe
0xfffffff0087cca80: a99f8052  mov	w9, #0x4fd
0xfffffff0087cca84: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cca88: 0852fff0  adrp	x8, #0xfffffff00720f000
0xfffffff0087cca8c: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cca90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cca94: 68008052  mov	w8, #3
0xfffffff0087cca98: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cca9c: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ccaa0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ccaa4: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087ccaa8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ccaac: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087ccab0: 63a00791  add	x3, x3, #0x1e8
0xfffffff0087ccab4: 02008052  mov	w2, #0
0xfffffff0087ccab8: 9e99ed97  bl	#0xfffffff008333130
0xfffffff0087ccabc: 3afdff17  b	#0xfffffff0087cbfa4
0xfffffff0087ccac0: bb9d0394  bl	#0xfffffff0088b41ac
