; Candidate 16468
; ADRP+ADD at VM 0xfffffff009eb51b8 (fileoff 0x2eb11b8): page=0x1fd989000 add_imm=0xdaf

0xfffffff009eb5138: e30314aa  mov	x3, x20
0xfffffff009eb513c: 8a290294  bl	#0xfffffff009f3f764
0xfffffff009eb5140: e0040034  cbz	w0, #0xfffffff009eb51dc
0xfffffff009eb5144: a13301d1  sub	x1, x29, #0x4c
0xfffffff009eb5148: e2c30091  add	x2, sp, #0x30
0xfffffff009eb514c: e00319aa  mov	x0, x25
0xfffffff009eb5150: cbfd0194  bl	#0xfffffff009f3487c
0xfffffff009eb5154: f90300aa  mov	x25, x0
0xfffffff009eb5158: 00020035  cbnz	w0, #0xfffffff009eb5198
0xfffffff009eb515c: a1435bb8  ldur	w1, [x29, #-0x4c]
0xfffffff009eb5160: 3f000272  tst	w1, #0x40000000
0xfffffff009eb5164: e803959a  csel	x8, xzr, x21, eq
0xfffffff009eb5168: c06a40f9  ldr	x0, [x22, #0xd0]
0xfffffff009eb516c: ffd300a9  stp	xzr, x20, [sp, #8]
0xfffffff009eb5170: e3c30091  add	x3, sp, #0x30
0xfffffff009eb5174: e80300f9  str	x8, [sp]
0xfffffff009eb5178: e20315aa  mov	x2, x21
0xfffffff009eb517c: 040080d2  mov	x4, #0
0xfffffff009eb5180: e50317aa  mov	x5, x23
0xfffffff009eb5184: e60318aa  mov	x6, x24
0xfffffff009eb5188: 070080d2  mov	x7, #0
0xfffffff009eb518c: 5a150294  bl	#0xfffffff009f3a6f4
0xfffffff009eb5190: f90300aa  mov	x25, x0
0xfffffff009eb5194: 60020034  cbz	w0, #0xfffffff009eb51e0
0xfffffff009eb5198: c86640f9  ldr	x8, [x22, #0xc8]
0xfffffff009eb519c: 0a8942f9  ldr	x10, [x8, #0x510]
0xfffffff009eb51a0: f5e701a9  stp	x21, x25, [sp, #0x18]
0xfffffff009eb51a4: 48ccfeb0  adrp	x8, #0xfffffff00783e000
0xfffffff009eb51a8: 08753691  add	x8, x8, #0xd9d
0xfffffff009eb51ac: a9918052  mov	w9, #0x48d
0xfffffff009eb51b0: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009eb51b4: e80300f9  str	x8, [sp]
0xfffffff009eb51b8: 40ccfeb0  adrp	x0, #0xfffffff00783e000
0xfffffff009eb51bc: 00bc3691  add	x0, x0, #0xdaf
0xfffffff009eb51c0: c129ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eb51c4: 780000b4  cbz	x24, #0xfffffff009eb51d0
0xfffffff009eb51c8: e00318aa  mov	x0, x24
0xfffffff009eb51cc: 9d070294  bl	#0xfffffff009f37040
0xfffffff009eb51d0: 9f0200f9  str	xzr, [x20]
0xfffffff009eb51d4: 7f0200f9  str	xzr, [x19]
0xfffffff009eb51d8: 02000014  b	#0xfffffff009eb51e0
0xfffffff009eb51dc: 19008052  mov	w25, #0
0xfffffff009eb51e0: e00319aa  mov	x0, x25
0xfffffff009eb51e4: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff009eb51e8: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff009eb51ec: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff009eb51f0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff009eb51f4: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff009eb51f8: ff030391  add	sp, sp, #0xc0
0xfffffff009eb51fc: ff0f5fd6  retab	
0xfffffff009eb5200: 7f2303d5  pacibsp	
0xfffffff009eb5204: ff4304d1  sub	sp, sp, #0x110
0xfffffff009eb5208: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff009eb520c: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff009eb5210: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff009eb5214: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff009eb5218: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff009eb521c: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff009eb5220: fd030491  add	x29, sp, #0x100
0xfffffff009eb5224: f60307aa  mov	x22, x7
0xfffffff009eb5228: fc0306aa  mov	x28, x6
0xfffffff009eb522c: f70305aa  mov	x23, x5
0xfffffff009eb5230: f30304aa  mov	x19, x4
0xfffffff009eb5234: fa0303aa  mov	x26, x3
