; Candidate 8307
; ADRP+ADD at VM 0xfffffff0088a2510 (fileoff 0x189e510): page=0x1fe947000 add_imm=0xe80

0xfffffff0088a2490: 63d02a91  add	x3, x3, #0xab4
0xfffffff0088a2494: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a2498: f80300f9  str	x24, [sp]
0xfffffff0088a249c: 204afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a24a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a24a4: 218bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a24a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a24ac: 02008052  mov	w2, #0
0xfffffff0088a24b0: 2043ea97  bl	#0xfffffff008333130
0xfffffff0088a24b4: b5f8ffb5  cbnz	x21, #0xfffffff0088a23c8
0xfffffff0088a24b8: c7ffff17  b	#0xfffffff0088a23d4
0xfffffff0088a24bc: 3c470094  bl	#0xfffffff0088b41ac
0xfffffff0088a24c0: f80300aa  mov	x24, x0
0xfffffff0088a24c4: 80008052  mov	w0, #4
0xfffffff0088a24c8: e264ff97  bl	#0xfffffff00887b850
0xfffffff0088a24cc: 68264029  ldp	w8, w9, [x19]
0xfffffff0088a24d0: f72705a9  stp	x23, x9, [sp, #0x50]
0xfffffff0088a24d4: e85704a9  stp	x8, x21, [sp, #0x40]
0xfffffff0088a24d8: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a24dc: 08d52791  add	x8, x8, #0x9f5
0xfffffff0088a24e0: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a24e4: 28c38052  mov	w8, #0x619
0xfffffff0088a24e8: 694cfff0  adrp	x9, #0xfffffff007231000
0xfffffff0088a24ec: 297d2691  add	x9, x9, #0x99f
0xfffffff0088a24f0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a24f4: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a24f8: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a24fc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a2500: a80f8052  mov	w8, #0x7d
0xfffffff0088a2504: e34dfff0  adrp	x3, #0xfffffff007261000
0xfffffff0088a2508: 63942b91  add	x3, x3, #0xae5
0xfffffff0088a250c: f82300a9  stp	x24, x8, [sp]
0xfffffff0088a2510: 204afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a2514: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a2518: 218bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a251c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a2520: 02008052  mov	w2, #0
0xfffffff0088a2524: 0343ea97  bl	#0xfffffff008333130
0xfffffff0088a2528: 187d8012  mov	w24, #-0x3e9
0xfffffff0088a252c: a00f8052  mov	w0, #0x7d
0xfffffff0088a2530: e1008052  mov	w1, #7
0xfffffff0088a2534: a764ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a2538: 40060034  cbz	w0, #0xfffffff0088a2600
0xfffffff0088a253c: a00f8052  mov	w0, #0x7d
0xfffffff0088a2540: b664ff97  bl	#0xfffffff00887b818
0xfffffff0088a2544: fa0300aa  mov	x26, x0
0xfffffff0088a2548: 19470094  bl	#0xfffffff0088b41ac
0xfffffff0088a254c: f90300aa  mov	x25, x0
0xfffffff0088a2550: e0008052  mov	w0, #7
0xfffffff0088a2554: bf64ff97  bl	#0xfffffff00887b850
0xfffffff0088a2558: 3a020034  cbz	w26, #0xfffffff0088a259c
0xfffffff0088a255c: 680240b9  ldr	w8, [x19]
0xfffffff0088a2560: f76305a9  stp	x23, x24, [sp, #0x50]
0xfffffff0088a2564: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088a2568: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088a256c: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a2570: 087d2691  add	x8, x8, #0x99f
0xfffffff0088a2574: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a2578: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a257c: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a2580: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a2584: a80f8052  mov	w8, #0x7d
0xfffffff0088a2588: 604cfff0  adrp	x0, #0xfffffff007231000
0xfffffff0088a258c: 007c2b91  add	x0, x0, #0xadf
