; Candidate 12448
; ADRP+ADD at VM 0xfffffff0090a1f58 (fileoff 0x209df58): page=0x1fe3b8000 add_imm=0xe24

0xfffffff0090a1ed8: ea0300f9  str	x10, [sp]
0xfffffff0090a1edc: c01dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090a1ee0: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a1ee4: 4fd4ca97  bl	#0xfffffff008357020
0xfffffff0090a1ee8: c8088052  mov	w8, #0x46
0xfffffff0090a1eec: 93008012  mov	w19, #-5
0xfffffff0090a1ef0: c3ffff17  b	#0xfffffff0090a1dfc
0xfffffff0090a1ef4: 7f2303d5  pacibsp	
0xfffffff0090a1ef8: ff4301d1  sub	sp, sp, #0x50
0xfffffff0090a1efc: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0090a1f00: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0090a1f04: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0090a1f08: fd030191  add	x29, sp, #0x40
0xfffffff0090a1f0c: 759300d0  adrp	x21, #0xfffffff00a30f000
0xfffffff0090a1f10: b5420c91  add	x21, x21, #0x310
0xfffffff0090a1f14: a8024039  ldrb	w8, [x21]
0xfffffff0090a1f18: 131effb0  adrp	x19, #0xfffffff007462000
0xfffffff0090a1f1c: 739e2b91  add	x19, x19, #0xae7
0xfffffff0090a1f20: f41dff90  adrp	x20, #0xfffffff00745d000
0xfffffff0090a1f24: 94423c91  add	x20, x20, #0xf10
0xfffffff0090a1f28: 1f290071  cmp	w8, #0xa
0xfffffff0090a1f2c: c8000054  b.hi	#0xfffffff0090a1f44
0xfffffff0090a1f30: f44f00a9  stp	x20, x19, [sp]
0xfffffff0090a1f34: c01dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090a1f38: 00583191  add	x0, x0, #0xc56
0xfffffff0090a1f3c: 39d4ca97  bl	#0xfffffff008357020
0xfffffff0090a1f40: a8024039  ldrb	w8, [x21]
0xfffffff0090a1f44: 1f190171  cmp	w8, #0x46
0xfffffff0090a1f48: e8000054  b.hi	#0xfffffff0090a1f64
0xfffffff0090a1f4c: 68018092  mov	x8, #-0xc
0xfffffff0090a1f50: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff0090a1f54: f40300f9  str	x20, [sp]
0xfffffff0090a1f58: c01dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090a1f5c: 00903891  add	x0, x0, #0xe24
0xfffffff0090a1f60: 30d4ca97  bl	#0xfffffff008357020
0xfffffff0090a1f64: 60018012  mov	w0, #-0xc
0xfffffff0090a1f68: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0090a1f6c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0090a1f70: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0090a1f74: ff430191  add	sp, sp, #0x50
0xfffffff0090a1f78: ff0f5fd6  retab	
0xfffffff0090a1f7c: 7f2303d5  pacibsp	
0xfffffff0090a1f80: ff4301d1  sub	sp, sp, #0x50
0xfffffff0090a1f84: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0090a1f88: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0090a1f8c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0090a1f90: fd030191  add	x29, sp, #0x40
0xfffffff0090a1f94: 759300d0  adrp	x21, #0xfffffff00a30f000
0xfffffff0090a1f98: b5420c91  add	x21, x21, #0x310
0xfffffff0090a1f9c: a8024039  ldrb	w8, [x21]
0xfffffff0090a1fa0: 131effb0  adrp	x19, #0xfffffff007462000
0xfffffff0090a1fa4: 73ee2b91  add	x19, x19, #0xafb
0xfffffff0090a1fa8: f41dff90  adrp	x20, #0xfffffff00745d000
0xfffffff0090a1fac: 94423c91  add	x20, x20, #0xf10
0xfffffff0090a1fb0: 1f290071  cmp	w8, #0xa
0xfffffff0090a1fb4: c8000054  b.hi	#0xfffffff0090a1fcc
0xfffffff0090a1fb8: f44f00a9  stp	x20, x19, [sp]
0xfffffff0090a1fbc: c01dff90  adrp	x0, #0xfffffff007459000
0xfffffff0090a1fc0: 00583191  add	x0, x0, #0xc56
0xfffffff0090a1fc4: 17d4ca97  bl	#0xfffffff008357020
0xfffffff0090a1fc8: a8024039  ldrb	w8, [x21]
0xfffffff0090a1fcc: 1f190171  cmp	w8, #0x46
0xfffffff0090a1fd0: e8000054  b.hi	#0xfffffff0090a1fec
0xfffffff0090a1fd4: 88008092  mov	x8, #-5
