; Candidate 14546
; ADRP+ADD at VM 0xfffffff00980bc0c (fileoff 0x2807c0c): page=0x1fe443000 add_imm=0xde0

0xfffffff00980bb8c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00980bb90: ff0f5fd6  retab	
0xfffffff00980bb94: 7f2303d5  pacibsp	
0xfffffff00980bb98: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00980bb9c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00980bba0: fd430091  add	x29, sp, #0x10
0xfffffff00980bba4: 0022fff0  adrp	x0, #0xfffffff007c4e000
0xfffffff00980bba8: 00803791  add	x0, x0, #0xde0
0xfffffff00980bbac: 01118052  mov	w1, #0x88
0xfffffff00980bbb0: a26eab97  bl	#0xfffffff0082e7638
0xfffffff00980bbb4: f30300aa  mov	x19, x0
0xfffffff00980bbb8: 545c0090  adrp	x20, #0xfffffff00a393000
0xfffffff00980bbbc: 94020791  add	x20, x20, #0x1c0
0xfffffff00980bbc0: e10314aa  mov	x1, x20
0xfffffff00980bbc4: ea6eab97  bl	#0xfffffff0082e776c
0xfffffff00980bbc8: 1022ffd0  adrp	x16, #0xfffffff007c4d000
0xfffffff00980bbcc: 10423a91  add	x16, x16, #0xe90
0xfffffff00980bbd0: 10420091  add	x16, x16, #0x10
0xfffffff00980bbd4: f10300aa  mov	x17, x0
0xfffffff00980bbd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00980bbdc: 300ac1da  pacda	x16, x17
0xfffffff00980bbe0: 100000f9  str	x16, [x0]
0xfffffff00980bbe4: 1fe00139  strb	wzr, [x0, #0x78]
0xfffffff00980bbe8: 1f4000f9  str	xzr, [x0, #0x80]
0xfffffff00980bbec: e00314aa  mov	x0, x20
0xfffffff00980bbf0: 5165ab97  bl	#0xfffffff0082e5134
0xfffffff00980bbf4: e00313aa  mov	x0, x19
0xfffffff00980bbf8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00980bbfc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00980bc00: ff0f5fd6  retab	
0xfffffff00980bc04: 5f2403d5  bti	c
0xfffffff00980bc08: e10300aa  mov	x1, x0
0xfffffff00980bc0c: 0022fff0  adrp	x0, #0xfffffff007c4e000
0xfffffff00980bc10: 00803791  add	x0, x0, #0xde0
0xfffffff00980bc14: 896eab17  b	#0xfffffff0082e7638
0xfffffff00980bc18: 7f2303d5  pacibsp	
0xfffffff00980bc1c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00980bc20: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00980bc24: fd430091  add	x29, sp, #0x10
0xfffffff00980bc28: f30300aa  mov	x19, x0
0xfffffff00980bc2c: 545c0090  adrp	x20, #0xfffffff00a393000
0xfffffff00980bc30: 94020791  add	x20, x20, #0x1c0
0xfffffff00980bc34: e10314aa  mov	x1, x20
0xfffffff00980bc38: cd6eab97  bl	#0xfffffff0082e776c
0xfffffff00980bc3c: 1022ffd0  adrp	x16, #0xfffffff007c4d000
0xfffffff00980bc40: 10423a91  add	x16, x16, #0xe90
0xfffffff00980bc44: 10420091  add	x16, x16, #0x10
0xfffffff00980bc48: f10300aa  mov	x17, x0
0xfffffff00980bc4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00980bc50: 300ac1da  pacda	x16, x17
0xfffffff00980bc54: 100000f9  str	x16, [x0]
0xfffffff00980bc58: 1fe00139  strb	wzr, [x0, #0x78]
0xfffffff00980bc5c: 1f4000f9  str	xzr, [x0, #0x80]
0xfffffff00980bc60: e00314aa  mov	x0, x20
0xfffffff00980bc64: 3465ab97  bl	#0xfffffff0082e5134
0xfffffff00980bc68: e00313aa  mov	x0, x19
0xfffffff00980bc6c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00980bc70: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00980bc74: ff0f5fd6  retab	
0xfffffff00980bc78: 7f2303d5  pacibsp	
0xfffffff00980bc7c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00980bc80: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00980bc84: fd430091  add	x29, sp, #0x10
0xfffffff00980bc88: f30300aa  mov	x19, x0
