; Candidate 15921
; ADRP+ADD at VM 0xfffffff009de5ca0 (fileoff 0x2de1ca0): page=0x5d9000 add_imm=0xd00

0xfffffff009de5c20: 10420c91  add	x16, x16, #0x310
0xfffffff009de5c24: 10420091  add	x16, x16, #0x10
0xfffffff009de5c28: f10300aa  mov	x17, x0
0xfffffff009de5c2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de5c30: 300ac1da  pacda	x16, x17
0xfffffff009de5c34: 100000f9  str	x16, [x0]
0xfffffff009de5c38: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009de5c3c: 00808c3c  stur	q0, [x0, #0xc8]
0xfffffff009de5c40: 1f6c00f9  str	xzr, [x0, #0xd8]
0xfffffff009de5c44: 08200491  add	x8, x0, #0x108
0xfffffff009de5c48: 0001803d  str	q0, [x8]
0xfffffff009de5c4c: 1f8c00f9  str	xzr, [x0, #0x118]
0xfffffff009de5c50: 08840491  add	x8, x0, #0x121
0xfffffff009de5c54: 1f010079  strh	wzr, [x8]
0xfffffff009de5c58: 08900491  add	x8, x0, #0x124
0xfffffff009de5c5c: e9c5fed0  adrp	x9, #0xfffffff0076a3000
0xfffffff009de5c60: 20cd46fd  ldr	d0, [x9, #0xd98]
0xfffffff009de5c64: 000100fd  str	d0, [x8]
0xfffffff009de5c68: e00314aa  mov	x0, x20
0xfffffff009de5c6c: 32fd9397  bl	#0xfffffff0082e5134
0xfffffff009de5c70: e00313aa  mov	x0, x19
0xfffffff009de5c74: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009de5c78: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009de5c7c: ff0f5fd6  retab	
0xfffffff009de5c80: 7f2303d5  pacibsp	
0xfffffff009de5c84: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009de5c88: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009de5c8c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009de5c90: fd830091  add	x29, sp, #0x20
0xfffffff009de5c94: f30302aa  mov	x19, x2
0xfffffff009de5c98: f40301aa  mov	x20, x1
0xfffffff009de5c9c: f50300aa  mov	x21, x0
0xfffffff009de5ca0: c02e00b0  adrp	x0, #0xfffffff00a3be000
0xfffffff009de5ca4: 00003491  add	x0, x0, #0xd00
0xfffffff009de5ca8: 100040f9  ldr	x16, [x0]
0xfffffff009de5cac: f10300aa  mov	x17, x0
0xfffffff009de5cb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de5cb4: 301ac1da  autda	x16, x17
0xfffffff009de5cb8: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009de5cbc: e90310aa  mov	x9, x16
0xfffffff009de5cc0: f10309aa  mov	x17, x9
0xfffffff009de5cc4: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff009de5cc8: 11093fd7  blraa	x8, x17
0xfffffff009de5ccc: f60300aa  mov	x22, x0
0xfffffff009de5cd0: c00000b4  cbz	x0, #0xfffffff009de5ce8
0xfffffff009de5cd4: e00316aa  mov	x0, x22
0xfffffff009de5cd8: e10315aa  mov	x1, x21
0xfffffff009de5cdc: e20314aa  mov	x2, x20
0xfffffff009de5ce0: e30313aa  mov	x3, x19
0xfffffff009de5ce4: 06000094  bl	#0xfffffff009de5cfc
0xfffffff009de5ce8: e00316aa  mov	x0, x22
0xfffffff009de5cec: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009de5cf0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009de5cf4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009de5cf8: ff0f5fd6  retab	
0xfffffff009de5cfc: 7f2303d5  pacibsp	
0xfffffff009de5d00: ff4302d1  sub	sp, sp, #0x90
0xfffffff009de5d04: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009de5d08: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009de5d0c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009de5d10: fd030291  add	x29, sp, #0x80
0xfffffff009de5d14: f40303aa  mov	x20, x3
0xfffffff009de5d18: e40302aa  mov	x4, x2
0xfffffff009de5d1c: f50301aa  mov	x21, x1
