; Candidate 16540
; ADRP+ADD at VM 0xfffffff009ed612c (fileoff 0x2ed212c): page=0x1fd970000 add_imm=0xd28

0xfffffff009ed60ac: 9f2403d5  bti	j
0xfffffff009ed60b0: e00313aa  mov	x0, x19
0xfffffff009ed60b4: 811eff97  bl	#0xfffffff009e9dab8
0xfffffff009ed60b8: f50300aa  mov	x21, x0
0xfffffff009ed60bc: 1f380171  cmp	w0, #0x4e
0xfffffff009ed60c0: 61f5ff54  b.ne	#0xfffffff009ed5f6c
0xfffffff009ed60c4: 083e8452  mov	w8, #0x21f0
0xfffffff009ed60c8: 6802088b  add	x8, x19, x8
0xfffffff009ed60cc: a9528652  mov	w9, #0x3295
0xfffffff009ed60d0: 8acbfeb0  adrp	x10, #0xfffffff007847000
0xfffffff009ed60d4: 4a9d0591  add	x10, x10, #0x167
0xfffffff009ed60d8: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ed60dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ed60e0: 80cbfeb0  adrp	x0, #0xfffffff007847000
0xfffffff009ed60e4: 005c0491  add	x0, x0, #0x117
0xfffffff009ed60e8: f7a5fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed60ec: d5098052  mov	w21, #0x4e
0xfffffff009ed60f0: 9fffff17  b	#0xfffffff009ed5f6c
0xfffffff009ed60f4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009ed60f8: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff009ed60fc: 960640f9  ldr	x22, [x20, #8]
0xfffffff009ed6100: e00313aa  mov	x0, x19
0xfffffff009ed6104: a264ff97  bl	#0xfffffff009eaf38c
0xfffffff009ed6108: 80070034  cbz	w0, #0xfffffff009ed61f8
0xfffffff009ed610c: f50300aa  mov	x21, x0
0xfffffff009ed6110: 083e8452  mov	w8, #0x21f0
0xfffffff009ed6114: 6802088b  add	x8, x19, x8
0xfffffff009ed6118: a96b8652  mov	w9, #0x335d
0xfffffff009ed611c: 8acbfeb0  adrp	x10, #0xfffffff007847000
0xfffffff009ed6120: 4a3d0691  add	x10, x10, #0x18f
0xfffffff009ed6124: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ed6128: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff009ed612c: 80cbfe90  adrp	x0, #0xfffffff007846000
0xfffffff009ed6130: 00a03491  add	x0, x0, #0xd28
0xfffffff009ed6134: c3a5fe97  bl	#0xfffffff009e7f840
0xfffffff009ed6138: 8dffff17  b	#0xfffffff009ed5f6c
0xfffffff009ed613c: 55008052  mov	w21, #2
0xfffffff009ed6140: e00317aa  mov	x0, x23
0xfffffff009ed6144: 99617b97  bl	#0xfffffff007dae7a8
0xfffffff009ed6148: e00313aa  mov	x0, x19
0xfffffff009ed614c: 4d2a0094  bl	#0xfffffff009ee0a80
0xfffffff009ed6150: f4f0ffb4  cbz	x20, #0xfffffff009ed5f6c
0xfffffff009ed6154: e0c30091  add	x0, sp, #0x30
0xfffffff009ed6158: e10316aa  mov	x1, x22
0xfffffff009ed615c: 02038052  mov	w2, #0x18
0xfffffff009ed6160: d7ae7f97  bl	#0xfffffff007ec1cbc
0xfffffff009ed6164: f50300aa  mov	x21, x0
0xfffffff009ed6168: 81ffff17  b	#0xfffffff009ed5f6c
0xfffffff009ed616c: 1b008052  mov	w27, #0
0xfffffff009ed6170: 98820291  add	x24, x20, #0xa0
0xfffffff009ed6174: 97020691  add	x23, x20, #0x180
0xfffffff009ed6178: 96c20591  add	x22, x20, #0x170
0xfffffff009ed617c: 95ccfe90  adrp	x21, #0xfffffff007866000
0xfffffff009ed6180: b5920a91  add	x21, x21, #0x2a4
0xfffffff009ed6184: 9c4641b9  ldr	w28, [x20, #0x144]
0xfffffff009ed6188: 61aa43b9  ldr	w1, [x19, #0x3a8]
0xfffffff009ed618c: 820640f9  ldr	x2, [x20, #8]
0xfffffff009ed6190: e00313aa  mov	x0, x19
0xfffffff009ed6194: e30315aa  mov	x3, x21
0xfffffff009ed6198: e7270094  bl	#0xfffffff009ee0134
0xfffffff009ed619c: fa0300aa  mov	x26, x0
0xfffffff009ed61a0: e00313aa  mov	x0, x19
0xfffffff009ed61a4: 762a0094  bl	#0xfffffff009ee0b7c
0xfffffff009ed61a8: e00314aa  mov	x0, x20
